Marker.Symbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Gm11127	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	6.25358	5.04375	1.05921e-80	1.14951e-76
H2-K2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	4.26167	6.60906	1.89577e-69	1.37159e-65
H2-M2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	5.18183	4.00284	6.34287e-58	3.4418e-54
Gm8909	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.83257	5.51366	2.10266e-57	9.12763e-54
Alpl	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.59344	4.86239	2.18566e-54	7.90662e-51
Gm4956	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.47351	4.93011	7.92198e-37	2.45638e-33
Gm7030	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	4.30326	4.03723	1.47348e-35	3.99773e-32
Cldn4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-6.0613	2.25063	1.7663e-29	4.0673e-26
Stbd1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.74463	5.62741	1.8739e-29	4.0673e-26
H2-Bl	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.90093	3.55075	4.85504e-28	9.57989e-25
H2-Q10	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.17321	6.04764	4.38254e-26	7.92692e-23
