gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
TACSTD2	KDpooled_vs_negctrl	8.72187	11.8837	-3.16182	-20.7999	-39.1089	2.1472e-12	3.85337e-08	0.0003996	6	9
GRB2	KDpooled_vs_negctrl	13.9576	13.2829	0.674712	10.0547	19.6329	6.94112e-11	6.22826e-07	0.0003996	6	9
MRPL50	KDpooled_vs_negctrl	13.4668	12.8214	0.645393	8.18307	16.1109	6.03937e-10	3.61275e-06	0.0003996	6	9
KIAA0329	KDpooled_vs_negctrl	11.9817	10.5648	1.41681	8.74311	16.8299	1.11335e-09	4.99502e-06	0.0003996	6	9
LOC400236	KDpooled_vs_negctrl	10.2545	9.77217	0.482319	7.80923	15.9958	3.61739e-09	1.29835e-05	0.0003996	6	9
CSNK2A2	KDpooled_vs_negctrl	12.7091	12.087	0.622096	7.81529	14.9296	7.79718e-09	2.18844e-05	0.0003996	6	9
ALB	KDpooled_vs_negctrl	10.3721	7.99216	2.37994	8.69034	16.4029	8.53622e-09	2.18844e-05	0.0003996	6	9
PLEK2	KDpooled_vs_negctrl	12.9824	12.3819	0.600524	6.97375	13.4482	1.27713e-08	2.86491e-05	0.0003996	6	9
POLA2	KDpooled_vs_negctrl	11.6921	12.2182	-0.526073	-6.21684	-12.095	2.76701e-08	5.51742e-05	0.0003996	6	9
MPZL3	KDpooled_vs_negctrl	10.0599	9.43638	0.623553	5.56589	10.9756	6.17954e-08	0.000110898	0.0003996	6	9
DRAM	KDpooled_vs_negctrl	10.1585	9.33208	0.826444	6.07527	11.5886	1.30144e-07	0.000199961	0.0003996	6	9
LIMA1	KDpooled_vs_negctrl	11.0747	11.7236	-0.648894	-7.09816	-13.2918	1.36049e-07	0.000199961	0.0003996	6	9
S1PR2	KDpooled_vs_negctrl	10.6903	10.1215	0.568839	5.85185	11.2068	1.44851e-07	0.000199961	0.0003996	6	9
