component	var_explained	genotype_t	genotype_p	prepgroup_RESUB_t	prepgroup_RESUB_p	n_KO	n_WT	n_RESUB	n_nonRESUB
PC1	0.382713	0.749922	0.480245	-1.18347	0.283819	5	5	5	5
PC2	0.203241	-3.24852	0.0246157	0.506415	0.628841	5	5	5	5
PC3	0.109441	1.13467	0.295504	-0.92767	0.383485	5	5	5	5
