contrast	set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
KDpooled_vs_matchedreps	TIGHT_JUNCTION_CORE	36	31	6	3	TACSTD2_KD	control	-0.0126841	0.0415711	-0.0542552	-0.592983	0.577214	-0.399729	-0.232778	-0.0220439	0.682855	31	-0.0476767	0.983103	0.945173
KDpooled_vs_matchedreps	CLAUDIN_FAMILY	22	17	6	3	TACSTD2_KD	control	0.108044	0.0109087	0.0971355	0.656892	0.534332	0.428136	-0.184841	-0.0221521	0.85734	17	-0.0192983	0.983103	0.945173
KDpooled_vs_matchedreps	DESMOSOME_ADHERENS	17	14	6	3	TACSTD2_KD	control	-0.157356	-0.0864208	-0.0709354	-0.367543	0.725178	-0.220021	-0.219748	-0.0222253	0.741044	14	-0.00983667	0.983103	0.945173
KDpooled_vs_matchedreps	IFN_ALPHA_TYPE1	40	36	6	3	TACSTD2_KD	control	0.289784	-0.246523	0.536308	3.48142	0.0542243	2.70935	0.853267	-0.0244738	0.00129658	36	0.0868842	0.577887	0.0207452
KDpooled_vs_matchedreps	IFN_GAMMA_TYPE2	31	28	6	3	TACSTD2_KD	control	0.244448	0.135894	0.108553	0.499263	0.634496	0.298707	0.00229175	-0.0222253	0.609274	28	0.00870917	0.983103	0.945173
KDpooled_vs_matchedreps	ANTIGEN_PRESENTATION_MHC1	19	19	6	3	TACSTD2_KD	control	0.134906	0.233421	-0.0985147	-0.196521	0.852732	-0.136618	-0.395816	-0.0220683	0.592376	19	-0.065935	0.983103	0.945173
KDpooled_vs_matchedreps	T_CELL_CYTOTOXICITY	26	23	6	3	TACSTD2_KD	control	0.195471	-0.000360007	0.195831	0.818548	0.440931	0.523555	0.249478	-0.0224499	0.322501	23	0.0503717	0.983103	0.945173
KDpooled_vs_matchedreps	T_CELL_INFILTRATION_BROAD	24	20	6	3	TACSTD2_KD	control	-0.0973917	0.192034	-0.289426	-0.707947	0.519415	-0.505728	-0.475259	-0.0217335	0.242574	20	-0.0331417	0.983103	0.945173
KDpooled_vs_matchedreps	ICI_CHECKPOINT_GENES	18	15	6	3	TACSTD2_KD	control	0.0553463	0.0489375	0.00640876	0.0229904	0.983103	0.0171914	-0.188797	-0.0220683	0.940303	15	-0.0352817	0.983103	0.945173
KDpooled_vs_matchedreps	TIS_18GENE_AYERS	18	16	6	3	TACSTD2_KD	control	0.0165921	0.0639407	-0.0473487	-0.154178	0.882304	-0.100739	-0.255316	-0.0220561	0.702536	16	-0.0551858	0.983103	0.945173
KDpooled_vs_matchedreps	IFNG_6GENE_AYERS	6	4	6	3	TACSTD2_KD	control	0.191873	0.210813	-0.0189397	-0.036952	0.972832	-0.0275965	-0.502506	-0.0221102	0.945173	4	-0.0355533	0.983103	0.945173
KDpooled_vs_matchedreps	CHEMOKINE_T_RECRUITMENT	12	10	6	3	TACSTD2_KD	control	-0.0213595	0.0682056	-0.089565	-0.266832	0.800078	-0.181727	-0.280095	-0.0220561	0.741046	10	-0.0179883	0.983103	0.945173
KDpooled_vs_matchedreps	EMT_CORE	20	20	6	3	TACSTD2_KD	control	0.224095	-0.0654712	0.289566	2.16682	0.0722359	1.42243	0.709068	-0.0228189	0.191584	20	0.0756458	0.577887	0.945173
KDpooled_vs_matchedreps	EPITHELIAL_IDENTITY	16	13	6	3	TACSTD2_KD	control	-0.157767	-0.0732195	-0.0845478	-0.78498	0.464255	-0.460391	0.0165445	-0.0222986	0.77719	13	0.00278167	0.983103	0.945173
KDpooled_vs_matchedreps	NFKB_INFLAMMATORY	20	17	6	3	TACSTD2_KD	control	0.223892	0.196071	0.0278209	0.107894	0.91724	0.0654779	-0.0900549	-0.0221521	0.836176	17	-0.0110967	0.983103	0.945173
KDpooled_vs_matchedreps	TARGET_GENES	6	6	6	3	TACSTD2_KD	control	0.0103129	-0.050317	0.0606299	0.71741	0.496808	0.455965	0.683436	-0.0222253	0.843754	6	0.06701	0.983103	0.945173
