gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
PYGL	siRNA1_vs_negctrl	12.718	12.7612	-0.0432167	-0.664581	-1.13611	0.299168	0.641588	0.727273	3	9
LOC100131650	siRNA1_vs_negctrl	7.96532	8.06475	-0.0994267	-0.736947	-1.17612	0.299199	0.641588	0.372727	3	9
MBOAT7	siRNA1_vs_negctrl	13.2797	13.4304	-0.150671	-0.957802	-1.29973	0.29922	0.641588	0.209091	3	9
GPR19	siRNA1_vs_negctrl	8.4188	8.29231	0.126484	0.900986	1.26871	0.299305	0.641588	0.209091	3	9
PMCHL1	siRNA1_vs_negctrl	7.18052	6.60753	0.572991	1.12851	1.38621	0.299324	0.641588	0.1	3	9
IMPDH2	siRNA1_vs_negctrl	13.2653	13.1648	0.1005	0.963849	1.30266	0.299363	0.641588	0.1	3	9
TIRAP	siRNA1_vs_negctrl	8.30991	8.47785	-0.167942	-1.01982	-1.332	0.299365	0.641588	0.281818	3	9
THOC7	siRNA1_vs_negctrl	13.9327	13.8182	0.114509	0.818918	1.22255	0.299389	0.641588	0.372727	3	9
WBSCR19	siRNA1_vs_negctrl	7.52567	7.45107	0.0746067	0.771206	1.19533	0.299389	0.641588	0.481818	3	9
UBE2C	siRNA1_vs_negctrl	15.0521	15.224	-0.171947	-0.957617	-1.29923	0.299415	0.641588	0.281818	3	9
PRCC	siRNA1_vs_negctrl	9.2463	9.308	-0.0617011	-0.721001	-1.16587	0.29988	0.642509	0.281818	3	9
C10orf72	siRNA1_vs_negctrl	6.64894	6.69189	-0.0429467	-0.707986	-1.15819	0.300086	0.642872	0.372727	3	9
LOC645726	siRNA1_vs_negctrl	9.97335	10.1432	-0.169869	-0.9859	-1.31265	0.300163	0.642961	0.209091	3	9
ZNF235	siRNA1_vs_negctrl	8.29088	8.58004	-0.289162	-1.02373	-1.33211	0.30024	0.643049	0.281818	3	9
PRSS27	siRNA1_vs_negctrl	6.95205	6.8826	0.0694544	0.796022	1.20762	0.300419	0.643255	0.372727	3	9
LOC439911	siRNA1_vs_negctrl	7.90341	8.08767	-0.184259	-1.00897	-1.32409	0.300435	0.643255	0.372727	3	9
NEK2	siRNA1_vs_negctrl	10.4154	10.7375	-0.322107	-1.0672	-1.35363	0.300444	0.643255	0.145455	3	9
RGS14	siRNA1_vs_negctrl	9.29823	9.45263	-0.154397	-0.980386	-1.30902	0.300514	0.643329	0.145455	3	9
PEX5L	siRNA1_vs_negctrl	6.78693	6.84526	-0.0583256	-0.864316	-1.24574	0.300658	0.643559	0.372727	3	9
CMTM5	siRNA1_vs_negctrl	7.04644	7.09365	-0.0472067	-0.908797	-1.27021	0.300713	0.6436	0.281818	3	9
TSEN15	siRNA1_vs_negctrl	12.17	12.4173	-0.247304	-1.0203	-1.32918	0.300779	0.643666	0.281818	3	9
SEPT5	siRNA1_vs_negctrl	7.82864	7.60066	0.227981	0.969446	1.30235	0.300943	0.643939	0.209091	3	9
LRRC29	siRNA1_vs_negctrl	6.78242	6.70684	0.0755767	0.865625	1.24574	0.30104	0.644055	0.281818	3	9
PCSK5	siRNA1_vs_negctrl	12.418	12.5247	-0.106673	-0.886509	-1.25724	0.301078	0.644055	0.281818	3	9
TEX15	siRNA1_vs_negctrl	6.62863	6.73938	-0.110756	-1.01736	-1.3269	0.301135	0.644055	0.145455	3	9
MTHFD2L	siRNA1_vs_negctrl	6.68194	6.52709	0.154853	0.925771	1.27855	0.301158	0.644055	0.145455	3	9
CCDC89	siRNA1_vs_negctrl	6.58627	6.14902	0.437249	1.12031	1.3779	0.301182	0.644055	0.00909091	3	9
FOXP1	siRNA1_vs_negctrl	8.34283	8.76764	-0.42481	-0.965419	-1.29961	0.301241	0.644055	0.281818	3	9
PDIA2	siRNA1_vs_negctrl	6.54058	6.62472	-0.0841356	-0.89901	-1.26375	0.301268	0.644055	0.209091	3	9
BZRAP1	siRNA1_vs_negctrl	10.1723	9.81661	0.355732	0.938546	1.28517	0.301294	0.644055	0.281818	3	9
ITPKC	siRNA1_vs_negctrl	12.2676	12.1679	0.0997033	0.897326	1.26267	0.301347	0.644055	0.372727	3	9
GLIS3	siRNA1_vs_negctrl	8.61773	8.45856	0.159166	0.791466	1.20331	0.301356	0.644055	0.145455	3	9
RAMP3	siRNA1_vs_negctrl	6.6623	6.82419	-0.16189	-0.901862	-1.26507	0.301395	0.644061	0.145455	3	9
ZNF518B	siRNA1_vs_negctrl	7.08608	7.04297	0.0431078	0.538179	1.09145	0.301458	0.644121	0.481818	3	9
SPAG4	siRNA1_vs_negctrl	8.80953	8.70282	0.106712	0.6935	1.14751	0.301568	0.644241	0.281818	3	9
POU5F1P3	siRNA1_vs_negctrl	7.34309	7.42411	-0.0810144	-0.742004	-1.17465	0.30163	0.644241	0.281818	3	9
CCND1	siRNA1_vs_negctrl	13.9006	14.1094	-0.208836	-0.924984	-1.27715	0.301647	0.644241	0.372727	3	9
MBD1	siRNA1_vs_negctrl	10.9523	10.7071	0.245214	0.979481	1.30612	0.30167	0.644241	0.281818	3	9
EPS8	siRNA1_vs_negctrl	11.1285	11.2405	-0.112014	-0.662799	-1.13064	0.301714	0.644241	0.372727	3	9
IRX5	siRNA1_vs_negctrl	11.6632	10.0643	1.59895	1.09837	1.36604	0.30173	0.644241	0.1	3	9
C16orf14	siRNA1_vs_negctrl	14.2454	14.1774	0.0680067	0.82054	1.21904	0.30177	0.64425	0.209091	3	9
LOC100133121	siRNA1_vs_negctrl	10.9889	11.1161	-0.12727	-0.864151	-1.24299	0.302042	0.644754	0.0636364	3	9
SCTR	siRNA1_vs_negctrl	6.99702	7.16214	-0.165116	-1.07267	-1.35258	0.302113	0.644829	0.145455	3	9
TNFRSF10C	siRNA1_vs_negctrl	7.42615	7.54069	-0.11454	-0.817495	-1.21661	0.302154	0.644841	0.145455	3	9
LILRB1	siRNA1_vs_negctrl	6.05466	6.16626	-0.1116	-0.527964	-1.09398	0.302289	0.64505	0.6	3	9
MAGEA11	siRNA1_vs_negctrl	6.91028	6.87178	0.0385011	0.571858	1.09038	0.302327	0.645055	0.281818	3	9
LEPR	siRNA1_vs_negctrl	6.90757	6.76358	0.143992	0.848707	1.2337	0.302398	0.645086	0.145455	3	9
SLC16A6	siRNA1_vs_negctrl	9.18664	9.45533	-0.268689	-0.85941	-1.23965	0.302413	0.645086	0.209091	3	9
TMEM20	siRNA1_vs_negctrl	7.43442	7.64441	-0.209993	-1.03571	-1.33331	0.302484	0.64516	0.281818	3	9
IL2RA	siRNA1_vs_negctrl	6.71163	6.53754	0.174093	1.06369	1.34663	0.302786	0.645727	0.145455	3	9
ANAPC7	siRNA1_vs_negctrl	9.65236	9.89363	-0.241269	-1.01317	-1.32104	0.30286	0.645736	0.209091	3	9
CASP9	siRNA1_vs_negctrl	11.6247	11.3687	0.256031	0.978997	1.30337	0.302862	0.645736	0.209091	3	9
GIPC3	siRNA1_vs_negctrl	6.68059	6.61466	0.0659311	0.827627	1.22091	0.302916	0.645774	0.372727	3	9
