	PC1	PC2	PC3	genotype	prep_group	gsm
KO162	0.30081838268276373	-0.025286567442111576	0.2515452515456356	KO	original	GSM9789678
KO164	0.034624912505466586	-0.47521627993802873	-0.10843554868553669	KO	original	GSM9789679
KO165	0.3533733203924302	-0.007413163957261255	0.3776900940247672	KO	original	GSM9789680
KO172	-0.10246196243391618	-0.011896287384504066	0.2458581305178809	KO	original	GSM9789681
RESUB-KO163R	-0.18113641375157843	-0.6726648341949839	-0.1779640915214502	KO	RESUB	GSM9789682
RESUB-171R	-0.05496525964298643	0.0745749530328859	-0.1009138027691907	WT	RESUB	GSM9789683
RESUB-170R	-0.7134557567308726	0.29351161034736967	-0.15684929390956734	WT	RESUB	GSM9789684
RESUB-169R	0.461145883036423	0.3129153540084671	-0.5664580402457016	WT	RESUB	GSM9789685
RESUB-168R	-0.12189483580860684	0.27032638976086404	0.5094286286293144	WT	RESUB	GSM9789686
control170	0.02395172975087642	0.24114882576730198	-0.2739013275861508	WT	original	GSM9789687
