contrast	set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
siRNA4_vs_negctrl	TIGHT_JUNCTION_CORE	36	31	3	9	TACSTD2_KD	control	0.040723	0.041308	-0.000584953	-0.015263	0.988214	-0.00849192	-0.192286	-0.0450922	0.831074	31	-0.0120011	0.988214	0.955707
siRNA4_vs_negctrl	CLAUDIN_FAMILY	22	17	3	9	TACSTD2_KD	control	0.00932431	-0.0523917	0.061716	0.425609	0.706993	0.326125	0.0291835	-0.0451959	0.540057	17	0.00135	0.927953	0.788903
siRNA4_vs_negctrl	DESMOSOME_ADHERENS	17	14	3	9	TACSTD2_KD	control	-0.0365779	0.0523109	-0.0888887	-0.268688	0.811959	-0.212774	-0.457493	-0.0449371	0.509262	14	-0.0588894	0.927953	0.788903
siRNA4_vs_negctrl	IFN_ALPHA_TYPE1	40	36	3	9	TACSTD2_KD	control	0.358795	-0.18288	0.541674	7.69446	1.98397e-05	3.79312	1.02165	-0.046808	0.00120443	36	0.116891	0.000317435	0.0192708
siRNA4_vs_negctrl	IFN_GAMMA_TYPE2	31	28	3	9	TACSTD2_KD	control	0.420485	0.0179774	0.402507	1.50172	0.26132	1.17385	0.870431	-0.0458509	0.0321608	28	0.104558	0.696854	0.171525
siRNA4_vs_negctrl	ANTIGEN_PRESENTATION_MHC1	19	19	3	9	TACSTD2_KD	control	0.68517	0.122921	0.562248	1.63063	0.213107	1.18185	0.923103	-0.046418	0.00507644	19	0.128998	0.681944	0.0406115
siRNA4_vs_negctrl	T_CELL_CYTOTOXICITY	26	23	3	9	TACSTD2_KD	control	-0.209201	-0.142589	-0.0666118	-0.92987	0.374902	-0.459532	-0.107505	-0.0450922	0.806466	23	-0.0297478	0.856918	0.955707
siRNA4_vs_negctrl	T_CELL_INFILTRATION_BROAD	24	20	3	9	TACSTD2_KD	control	-0.343043	0.0169793	-0.360022	-1.63097	0.160485	-0.97985	-0.775463	-0.0438716	0.0475495	20	-0.0713461	0.681944	0.18035
siRNA4_vs_negctrl	ICI_CHECKPOINT_GENES	18	15	3	9	TACSTD2_KD	control	-0.161033	-0.033306	-0.127727	-0.709727	0.515603	-0.450741	0.106433	-0.0451959	0.542371	15	0.00990889	0.881141	0.788903
siRNA4_vs_negctrl	TIS_18GENE_AYERS	18	16	3	9	TACSTD2_KD	control	-0.237954	-0.0391931	-0.19876	-0.782542	0.491864	-0.547225	-0.725036	-0.044542	0.305407	16	-0.0542278	0.881141	0.698074
siRNA4_vs_negctrl	IFNG_6GENE_AYERS	6	4	3	9	TACSTD2_KD	control	0.0249963	-0.0917767	0.116773	0.475331	0.648987	0.269189	-0.46853	-0.045144	0.977601	4	-0.0161372	0.927953	0.977601
siRNA4_vs_negctrl	CHEMOKINE_T_RECRUITMENT	12	10	3	9	TACSTD2_KD	control	0.181108	-0.00151781	0.182626	0.678568	0.550713	0.487895	0.0657811	-0.045144	0.863081	10	0.0263739	0.881141	0.955707
siRNA4_vs_negctrl	EMT_CORE	20	20	3	9	TACSTD2_KD	control	0.271136	-0.113642	0.384778	1.9424	0.16544	1.43904	0.493491	-0.0458509	0.101962	20	0.05186	0.681944	0.2719
siRNA4_vs_negctrl	EPITHELIAL_IDENTITY	16	13	3	9	TACSTD2_KD	control	0.00138591	-0.0291555	0.0305414	0.312829	0.774898	0.217593	0.48028	-0.0454992	0.470313	13	0.0431789	0.927953	0.788903
siRNA4_vs_negctrl	NFKB_INFLAMMATORY	20	17	3	9	TACSTD2_KD	control	0.43841	0.0743916	0.364019	1.9289	0.172805	1.45695	0.712181	-0.0456442	0.0563593	17	0.0786411	0.681944	0.18035
siRNA4_vs_negctrl	TARGET_GENES	6	6	3	9	TACSTD2_KD	control	-0.0127708	-0.0286065	0.0158357	0.134803	0.897371	0.0796293	0.182918	-0.045144	0.895976	6	-0.00940722	0.957195	0.955707
