contrast	set_name	n_genes_measured	median_stat_in_set	median_stat_background	mannwhitney_p	auc	q_BH
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	TIGHT_JUNCTION_CORE	26	0.215552	0.0868441	0.543589	0.53442	0.724785
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	CLAUDIN_FAMILY	12	0.888152	0.0868441	0.265032	0.592924	0.691332
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	DESMOSOME_ADHERENS	13	0.52391	0.0868441	0.947632	0.505264	0.947632
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	IFN_ALPHA_TYPE1	37	2.81005	0.0868441	3.19476e-13	0.846224	5.11162e-12
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	IFN_GAMMA_TYPE2	25	0.527016	0.0868441	0.0069109	0.656087	0.0552872
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	ANTIGEN_PRESENTATION_MHC1	19	1.09856	0.0868441	0.0569368	0.626168	0.227747
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	T_CELL_CYTOTOXICITY	4	-0.0977954	0.0868441	0.657123	0.435912	0.808767
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	T_CELL_INFILTRATION_BROAD	8	-0.0741855	0.0868441	0.475291	0.427113	0.691332
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	ICI_CHECKPOINT_GENES	8	0.12701	0.0868441	0.921838	0.510021	0.947632
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	TIS_18GENE_AYERS	10	0.832476	0.0868441	0.409734	0.575284	0.691332
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	IFNG_6GENE_AYERS	3	2.59744	0.0868441	0.0456069	0.833217	0.227747
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	CHEMOKINE_T_RECRUITMENT	6	0.260671	0.0868441	0.380413	0.603399	0.691332
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	EMT_CORE	18	0.442839	0.0868441	0.342977	0.564566	0.691332
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	EPITHELIAL_IDENTITY	14	0.442839	0.0868441	0.218382	0.595011	0.691332
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	NFKB_INFLAMMATORY	14	0.219446	0.0868441	0.868131	0.512819	0.947632
DSG2_KO_vs_WT_cells_COMPARATOR_not_TACSTD2	TARGET_GENES	6	0.896906	0.0868441	0.433431	0.592342	0.691332
