contrast	accession	target_gene	query_symbol	log2FC	p	q	symbol_used	present
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	TACSTD2	-3.82117	0.00107924	0.63289	Tacstd2	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	CLDN4	-0.817228	0.252919	0.935805	Cldn4	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	ISG15	-0.0907416	0.838755	0.983695	Isg15	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	STAT1	0.460048	0.287201	0.945578	Stat1	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	STAT2				Stat2	False
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	IRF7	-0.18262	0.616518	0.974721	Irf7	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	IFIT1	-0.0212087	0.942788	0.993698	Ifit1	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	IFIT3	0.149143	0.678011	0.974875	Ifit3	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	MX1	0.159588	0.666451	0.974721	Mx1	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	OAS1				Oas1	False
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	B2M	0.410187	0.0401605	0.849062	B2m	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	HLA-A	0.132821	0.461415	0.96528	H2-K1	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	TAP1	0.280048	0.366788	0.957541	Tap1	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	PSMB9	0.24154	0.378308	0.958487	Psmb9	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	NLRC5	0.507383	0.309488	0.950997	Nlrc5	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	CXCL9	1.08151	0.00621311	0.712889	Cxcl9	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	CXCL10	0.564195	0.067462	0.882073	Cxcl10	True
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	CD274	0.771833	0.104802	0.886708	Cd274	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	TACSTD2	-3.26327	1.62271e-65	1.94564e-61	TACSTD2	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	CLDN4	0.28444	0.129174	0.466374	CLDN4	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	ISG15	1.44017	9.96962e-06	0.00123233	ISG15	True
