contrast	set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
KDpooled_vs_mock	TIGHT_JUNCTION_CORE	36	31	6	3	TACSTD2_KD	control	-0.0126841	-0.0985559	0.0858718	1.2789	0.246162	0.764151	0.107079	-0.177057	0.396948	31	0.0212533	0.437622	0.577379
KDpooled_vs_mock	CLAUDIN_FAMILY	22	17	6	3	TACSTD2_KD	control	0.108044	-0.0589132	0.166957	1.28231	0.240643	0.794999	0.257256	-0.176247	0.382662	17	0.0274433	0.437622	0.577379
KDpooled_vs_mock	DESMOSOME_ADHERENS	17	14	6	3	TACSTD2_KD	control	-0.157356	0.15778	-0.315136	-1.75717	0.138808	-1.01542	-0.673764	-0.174511	0.327362	14	-0.0920108	0.317276	0.577379
KDpooled_vs_mock	IFN_ALPHA_TYPE1	40	36	6	3	TACSTD2_KD	control	0.289784	-0.0309296	0.320714	6.04955	0.000719819	3.63084	0.56401	-0.178163	0.0310306	36	0.0674592	0.0115171	0.124122
KDpooled_vs_mock	IFN_GAMMA_TYPE2	31	28	6	3	TACSTD2_KD	control	0.244448	-0.542827	0.787275	3.79796	0.0105358	2.22135	1.45452	-0.178361	0.000217441	28	0.186816	0.0435514	0.00347906
KDpooled_vs_mock	ANTIGEN_PRESENTATION_MHC1	19	19	6	3	TACSTD2_KD	control	0.134906	-0.638575	0.773481	2.45398	0.053984	1.43126	1.41638	-0.177644	0.00324499	19	0.128413	0.143957	0.0173066
KDpooled_vs_mock	T_CELL_CYTOTOXICITY	26	23	6	3	TACSTD2_KD	control	0.195471	0.0368262	0.158644	0.82379	0.445631	0.479025	-0.189606	-0.174533	0.336097	23	-0.0318817	0.614836	0.577379
KDpooled_vs_mock	T_CELL_INFILTRATION_BROAD	24	20	6	3	TACSTD2_KD	control	-0.0973917	0.143846	-0.241237	-0.786087	0.461127	-0.516575	-0.518442	-0.174481	0.542108	20	-0.031655	0.614836	0.722811
KDpooled_vs_mock	ICI_CHECKPOINT_GENES	18	15	6	3	TACSTD2_KD	control	0.0553463	-0.0107747	0.066121	0.415349	0.691243	0.268986	-0.00659198	-0.176191	0.706999	15	-0.000281667	0.797072	0.855444
KDpooled_vs_mock	TIS_18GENE_AYERS	18	16	6	3	TACSTD2_KD	control	0.0165921	0.0843952	-0.0678031	-0.267745	0.797072	-0.161785	-0.164247	-0.175014	0.965054	16	-0.01006	0.797072	0.965054
KDpooled_vs_mock	IFNG_6GENE_AYERS	6	4	6	3	TACSTD2_KD	control	0.191873	-0.108416	0.300289	1.06383	0.323542	0.67746	0.306125	-0.175843	0.317091	4	0.0325617	0.517668	0.577379
KDpooled_vs_mock	CHEMOKINE_T_RECRUITMENT	12	10	6	3	TACSTD2_KD	control	-0.0213595	0.0472724	-0.0686318	-0.303731	0.772788	-0.176917	-0.37504	-0.175014	0.950269	10	-0.0256625	0.797072	0.965054
KDpooled_vs_mock	EMT_CORE	20	20	6	3	TACSTD2_KD	control	0.224095	-0.107262	0.331357	3.06487	0.0198516	1.84697	0.536501	-0.176652	0.143699	20	0.0521767	0.0635252	0.383198
KDpooled_vs_mock	EPITHELIAL_IDENTITY	16	13	6	3	TACSTD2_KD	control	-0.157767	0.403001	-0.560768	-5.17356	0.00236527	-3.04358	-1.80275	-0.174474	0.0911674	13	-0.126237	0.0189222	0.291736
KDpooled_vs_mock	NFKB_INFLAMMATORY	20	17	6	3	TACSTD2_KD	control	0.223892	-0.670958	0.894849	3.51348	0.0108878	2.1204	1.46408	-0.177395	0.00162306	17	0.229137	0.0435514	0.0129844
KDpooled_vs_mock	TARGET_GENES	6	6	6	3	TACSTD2_KD	control	0.0103129	0.0651937	-0.0548808	-0.358942	0.743122	-0.267684	-0.565175	-0.174511	0.748514	6	-0.056445	0.797072	0.855444
