set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
TIGHT_JUNCTION_CORE	36	27	5	5	Trop2_KO	WT	-0.325086	0.325086	-0.650172	-2.57528	0.0351023	-1.62875	-1.35603	-0.0406794	2.42639e-06	27	-0.348326	0.0709353	1.05931e-05
CLAUDIN_FAMILY	20	11	5	5	Trop2_KO	WT	-0.285504	0.285504	-0.571007	-2.49837	0.0370526	-1.58011	-1.35603	-0.0419331	0.0107019	11	-0.697748	0.0709353	0.0155663
DESMOSOME_ADHERENS	17	15	5	5	Trop2_KO	WT	-0.4461	0.4461	-0.892199	-3.02021	0.0265699	-1.91015	-2.41391	-0.0411724	4.18358e-06	15	-0.959145	0.0709353	1.33875e-05
IFN_ALPHA_TYPE1	39	32	5	5	Trop2_KO	WT	0.085627	-0.085627	0.171254	0.425687	0.686692	0.269228	0.26184	-0.0427942	0.059949	32	0.0774913	0.686692	0.0685132
IFN_GAMMA_TYPE2	32	32	5	5	Trop2_KO	WT	0.353917	-0.353917	0.707833	2.48234	0.0399011	1.56997	1.22526	-0.0439981	4.61512e-09	32	0.403521	0.0709353	3.6921e-08
ANTIGEN_PRESENTATION_MHC1	17	17	5	5	Trop2_KO	WT	0.143645	-0.143645	0.287289	0.738216	0.484256	0.466889	0.508309	-0.0431362	0.03602	17	0.132821	0.51654	0.0443323
T_CELL_CYTOTOXICITY	25	22	5	5	Trop2_KO	WT	0.343015	-0.343015	0.68603	1.88194	0.097354	1.19024	1.76387	-0.0436823	2.64827e-06	22	0.664037	0.153681	1.05931e-05
T_CELL_INFILTRATION_BROAD	24	20	5	5	Trop2_KO	WT	0.303641	-0.303641	0.607282	2.5346	0.0367749	1.60302	1.07032	-0.0435303	8.01392e-05	20	0.421133	0.0709353	0.000169765
ICI_CHECKPOINT_GENES	18	17	5	5	Trop2_KO	WT	0.347032	-0.347032	0.694065	3.95207	0.00474059	2.49951	1.50309	-0.0433146	4.96027e-05	17	0.425427	0.0496783	0.000132274
TIS_18GENE_AYERS	20	20	5	5	Trop2_KO	WT	0.319501	-0.319501	0.639001	1.93331	0.105656	1.22273	1.45488	-0.0431649	8.48826e-05	20	0.419673	0.153681	0.000169765
IFNG_6GENE_AYERS	7	7	5	5	Trop2_KO	WT	0.520543	-0.520543	1.04109	3.5865	0.00931467	2.2683	2.14848	-0.0429041	0.000480363	7	0.650254	0.0496783	0.000768581
CHEMOKINE_T_RECRUITMENT	12	10	5	5	Trop2_KO	WT	0.278318	-0.278318	0.556636	1.62252	0.157878	1.02617	1.42659	-0.0428976	0.0219855	10	0.502242	0.210505	0.0293141
EMT_CORE	20	20	5	5	Trop2_KO	WT	-0.132821	0.132821	-0.265642	-0.927232	0.392752	-0.586433	-0.388138	-0.0418678	0.105915	20	-0.15137	0.448859	0.105915
EPITHELIAL_IDENTITY	16	16	5	5	Trop2_KO	WT	-0.585256	0.585256	-1.17051	-3.61536	0.00687666	-2.28656	-2.14307	-0.0410656	4.83222e-10	16	-0.951715	0.0496783	7.73155e-09
NFKB_INFLAMMATORY	19	16	5	5	Trop2_KO	WT	0.135077	-0.135077	0.270153	1.00483	0.350102	0.635507	0.623498	-0.0429106	0.0777616	16	0.183034	0.430895	0.0829457
TARGET_GENES	6	6	5	5	Trop2_KO	WT	-0.610358	0.610358	-1.22072	-3.20225	0.0154511	-2.02528	-2.33592	-0.0418678	0.000121418	6	-1.34979	0.0618043	0.000215855
