gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Tacstd2	Trop2_KO_vs_WT	3.24833	7.0695	-3.82117	-3.35034	-5.29735	0.00107924	0.63289	0.00793651	5	5
Cldn4	Trop2_KO_vs_WT	10.3431	11.1604	-0.817228	-0.787956	-1.24587	0.252919	0.935805	0.420635	5	5
Cldn3	Trop2_KO_vs_WT	6.4642	7.90192	-1.43772	-1.26778	-2.00453	0.0820525	0.882073	0.0952381	5	5
Cldn7	Trop2_KO_vs_WT	7.11706	7.93994	-0.822884	-1.34206	-2.12198	0.0906337	0.886708	0.015873	5	5
Cldn1	Trop2_KO_vs_WT	3.85494	6.03564	-2.18071	-1.61267	-2.54985	0.0349882	0.838975	0.031746	5	5
Epcam	Trop2_KO_vs_WT	10.2046	11.4664	-1.26186	-1.89444	-2.99537	0.0214571	0.813477	0.015873	5	5
Cd274	Trop2_KO_vs_WT	9.81347	9.04164	0.771833	1.22506	1.937	0.104802	0.886708	0.150794	5	5
Cd8a	Trop2_KO_vs_WT	7.3525	6.67822	0.674278	1.14857	1.81604	0.108421	0.888887	0.150794	5	5
Gzmb	Trop2_KO_vs_WT	6.54566	5.78244	0.763226	0.794553	1.2563	0.259898	0.935805	0.420635	5	5
Prf1	Trop2_KO_vs_WT	6.1921	5.15778	1.03432	1.5221	2.40665	0.0427724	0.849886	0.0952381	5	5
Ifng	Trop2_KO_vs_WT	4.5145	3.62578	0.888718	1.08258	1.7117	0.131588	0.906131	0.0952381	5	5
Cxcl9	Trop2_KO_vs_WT	11.1197	10.0382	1.08151	2.34192	3.7029	0.00621311	0.712889	0.015873	5	5
Cxcl10	Trop2_KO_vs_WT	8.16112	7.59692	0.564195	1.35882	2.14848	0.067462	0.882073	0.031746	5	5
Stat1	Trop2_KO_vs_WT	11.4391	10.9791	0.460048	0.7547	1.19329	0.287201	0.945578	0.420635	5	5
B2m	Trop2_KO_vs_WT	15.1088	14.6986	0.410187	1.81963	2.87709	0.0401605	0.849062	0.0952381	5	5
Tap1	Trop2_KO_vs_WT	10.8545	10.5745	0.280048	0.630749	0.997302	0.366788	0.957541	0.690476	5	5
H2-K1	Trop2_KO_vs_WT	12.8107	12.6779	0.132821	0.49108	0.776466	0.461415	0.96528	0.690476	5	5
Psmb9	Trop2_KO_vs_WT	10.1075	9.86592	0.24154	0.591592	0.93539	0.378308	0.958487	0.420635	5	5
Nlrc5	Trop2_KO_vs_WT	11.4789	10.9715	0.507383	0.68631	1.08515	0.309488	0.950997	0.547619	5	5
Isg15	Trop2_KO_vs_WT	7.96354	8.05428	-0.0907416	-0.132962	-0.210231	0.838755	0.983695	0.690476	5	5
Ifit1	Trop2_KO_vs_WT	8.66205	8.68326	-0.0212087	-0.0468483	-0.0740737	0.942788	0.993698	1	5	5
Ifit3	Trop2_KO_vs_WT	7.57356	7.42442	0.149143	0.27271	0.431192	0.678011	0.974875	0.547619	5	5
Mx1	Trop2_KO_vs_WT	6.98674	6.82715	0.159588	0.286612	0.453174	0.666451	0.974721	0.420635	5	5
Oasl2	Trop2_KO_vs_WT	9.97264	10.1237	-0.151018	-0.213578	-0.337696	0.7478	0.980237	1	5	5
Irf7	Trop2_KO_vs_WT	8.68643	8.86905	-0.18262	-0.33494	-0.529586	0.616518	0.974721	0.84127	5	5
Gbp2	Trop2_KO_vs_WT	12.1495	11.7442	0.405202	1.06244	1.67987	0.131574	0.906131	0.0952381	5	5
Ptprc	Trop2_KO_vs_WT	11.7449	11.3457	0.399152	1.80764	2.85813	0.0386323	0.849062	0.015873	5	5
Ccl5	Trop2_KO_vs_WT	4.78227	5.44995	-0.667685	-0.867674	-1.37191	0.232911	0.935805	0.690476	5	5
Nkg7	Trop2_KO_vs_WT	6.45629	5.43483	1.02146	1.48384	2.34615	0.0500525	0.873896	0.0952381	5	5
Klrd1	Trop2_KO_vs_WT	6.24576	5.19707	1.04869	2.17256	3.43512	0.00973478	0.737407	0.015873	5	5
Ido1	Trop2_KO_vs_WT	5.67088	5.77082	-0.0999462	-0.166653	-0.263502	0.799983	0.982857	0.84127	5	5
Lag3	Trop2_KO_vs_WT	6.08232	5.50299	0.579332	0.849389	1.343	0.217483	0.931818	0.309524	5	5
Pdcd1	Trop2_KO_vs_WT	5.9653	5.2834	0.681894	0.950637	1.50309	0.175529	0.912847	0.150794	5	5
Ctla4	Trop2_KO_vs_WT	4.53331	3.91233	0.620976	2.48774	3.93346	0.00434133	0.712889	0.00793651	5	5
Ocln	Trop2_KO_vs_WT	6.81377	7.47505	-0.661276	-1.39667	-2.20833	0.077773	0.882073	0.0952381	5	5
Tjp1	Trop2_KO_vs_WT	10.911	10.9847	-0.0736741	-0.103693	-0.163954	0.874658	0.986564	0.84127	5	5
Dsg2	Trop2_KO_vs_WT	8.08556	9.42753	-1.34197	-1.62892	-2.57556	0.0384801	0.849062	0.0555556	5	5
Cdh1	Trop2_KO_vs_WT	10.2211	11.1802	-0.959145	-1.16627	-1.84404	0.113264	0.893417	0.0952381	5	5
Vim	Trop2_KO_vs_WT	14.6562	14.5798	0.0764469	0.207948	0.328795	0.751594	0.980237	0.547619	5	5
