gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
mt-Nd5	Trop2_KO_vs_WT	15.4233	15.2106	0.212658	0.946439	1.49645	0.172939	0.912847	0.150794	5	5
Cmc2	Trop2_KO_vs_WT	6.25157	6.63004	-0.378471	-0.964776	-1.52544	0.172948	0.912847	0.150794	5	5
Mepce	Trop2_KO_vs_WT	8.73976	9.00203	-0.26227	-0.964587	-1.52515	0.172971	0.912847	0.0952381	5	5
Gm26813	Trop2_KO_vs_WT	3.37012	3.86111	-0.490989	-0.987314	-1.56108	0.17308	0.912847	0.150794	5	5
Gcfc2	Trop2_KO_vs_WT	7.90507	7.66091	0.244156	0.981443	1.5518	0.173148	0.912847	0.309524	5	5
Lyz2	Trop2_KO_vs_WT	14.5218	13.7983	0.723521	0.972029	1.53691	0.173169	0.912847	0.309524	5	5
2700049A03Rik	Trop2_KO_vs_WT	8.63378	8.24796	0.385818	0.974909	1.54147	0.173191	0.912847	0.150794	5	5
Slc39a10	Trop2_KO_vs_WT	10.1097	10.6936	-0.583917	-0.9584	-1.51536	0.173218	0.912847	0.222222	5	5
Eif1ax	Trop2_KO_vs_WT	9.95343	10.2987	-0.345285	-0.946525	-1.49659	0.173229	0.912847	0.222222	5	5
Adsl	Trop2_KO_vs_WT	8.17141	8.46309	-0.291677	-0.955287	-1.51044	0.173311	0.912847	0.222222	5	5
Cd209c	Trop2_KO_vs_WT	3.48151	4.48476	-1.00325	-0.955971	-1.51152	0.173313	0.912847	0.420635	5	5
Gm15549	Trop2_KO_vs_WT	3.95977	3.37283	0.586937	0.944992	1.49416	0.173498	0.912847	0.309524	5	5
Zfp111	Trop2_KO_vs_WT	8.32416	8.52203	-0.197875	-0.945044	-1.49425	0.173511	0.912847	0.309524	5	5
Or2v2	Trop2_KO_vs_WT	5.15422	4.27402	0.880197	0.968751	1.53173	0.173531	0.912847	0.222222	5	5
Acy3	Trop2_KO_vs_WT	4.18906	4.66763	-0.478568	-0.949869	-1.50187	0.173599	0.912847	0.222222	5	5
Gm13835	Trop2_KO_vs_WT	7.36061	6.87589	0.484716	0.944966	1.49412	0.17362	0.912847	0.150794	5	5
6030443J06Rik	Trop2_KO_vs_WT	4.8407	5.27962	-0.438928	-0.959269	-1.51674	0.173628	0.912847	0.309524	5	5
Gamt	Trop2_KO_vs_WT	5.79356	6.45301	-0.659448	-0.983449	-1.55497	0.173672	0.912847	0.0952381	5	5
Rabggta	Trop2_KO_vs_WT	7.83464	7.55933	0.275303	0.982163	1.55294	0.173696	0.912847	0.420635	5	5
Srl	Trop2_KO_vs_WT	6.5636	7.87821	-1.31461	-1.03213	-1.63195	0.17371	0.912847	0.150794	5	5
Saraf	Trop2_KO_vs_WT	9.3472	9.5127	-0.165494	-0.946653	-1.49679	0.17375	0.912847	0.222222	5	5
Dixdc1	Trop2_KO_vs_WT	7.73074	7.34229	0.388449	0.949361	1.50107	0.173813	0.912847	0.222222	5	5
Arhgap44	Trop2_KO_vs_WT	4.68517	5.20141	-0.516245	-0.957868	-1.51452	0.173963	0.912847	0.222222	5	5
Tspan18	Trop2_KO_vs_WT	6.13094	6.68891	-0.557971	-0.973822	-1.53975	0.173991	0.912847	0.0952381	5	5
Nat8l	Trop2_KO_vs_WT	3.78376	4.63483	-0.85107	-0.951878	-1.50505	0.17401	0.912847	0.150794	5	5
Cemip2	Trop2_KO_vs_WT	10.5286	10.9962	-0.46762	-0.973095	-1.5386	0.174022	0.912847	0.150794	5	5
AU041133	Trop2_KO_vs_WT	8.24946	7.80968	0.43978	0.998279	1.57842	0.174089	0.912847	0.420635	5	5
Bank1	Trop2_KO_vs_WT	5.73934	5.10822	0.631121	0.969234	1.53249	0.17418	0.912847	0.0952381	5	5
Ckap2	Trop2_KO_vs_WT	9.09821	9.41135	-0.313137	-0.94623	-1.49612	0.174206	0.912847	0.222222	5	5
H4c17	Trop2_KO_vs_WT	4.87806	5.4344	-0.556335	-0.943191	-1.49132	0.174218	0.912847	0.420635	5	5
Pih1d2	Trop2_KO_vs_WT	4.31327	4.7308	-0.417537	-0.96556	-1.52668	0.174219	0.912847	0.222222	5	5
Hsf1	Trop2_KO_vs_WT	8.19716	8.40722	-0.210056	-0.943996	-1.49259	0.174337	0.912847	0.222222	5	5
2810002D19Rik	Trop2_KO_vs_WT	5.6904	5.97699	-0.286592	-0.96262	-1.52204	0.174351	0.912847	0.222222	5	5
Gm43692	Trop2_KO_vs_WT	3.44106	4.19902	-0.757954	-0.946198	-1.49607	0.174369	0.912847	0.150794	5	5
Arsb	Trop2_KO_vs_WT	7.95614	8.43722	-0.48108	-0.944947	-1.49409	0.174411	0.912847	0.309524	5	5
Pde5a	Trop2_KO_vs_WT	7.41973	7.80904	-0.389312	-0.958555	-1.51561	0.174469	0.912847	0.309524	5	5
Rin3	Trop2_KO_vs_WT	8.61296	9.02389	-0.410927	-0.963602	-1.52359	0.174546	0.912847	0.222222	5	5
Vwa7	Trop2_KO_vs_WT	6.1356	6.63182	-0.496214	-0.943988	-1.49258	0.174552	0.912847	0.0952381	5	5
Gpr160	Trop2_KO_vs_WT	6.35702	6.57621	-0.219188	-0.9467	-1.49686	0.174588	0.912847	0.309524	5	5
Rpl32-ps1	Trop2_KO_vs_WT	4.61793	4.11833	0.499603	0.943173	1.49129	0.174705	0.912847	0.0952381	5	5
Gm7380	Trop2_KO_vs_WT	3.93845	3.32317	0.615275	0.976427	1.54387	0.17471	0.912847	0.309524	5	5
Cr2	Trop2_KO_vs_WT	5.36808	4.80212	0.565963	0.957886	1.51455	0.174737	0.912847	0.420635	5	5
Niban1	Trop2_KO_vs_WT	8.72601	8.40522	0.32079	0.945227	1.49454	0.174751	0.912847	0.222222	5	5
Obscn	Trop2_KO_vs_WT	5.72879	7.92197	-2.19318	-0.946651	-1.49679	0.174786	0.912847	0.222222	5	5
Ctdnep1	Trop2_KO_vs_WT	9.1786	9.53862	-0.360022	-0.992563	-1.56938	0.174808	0.912847	0.420635	5	5
Gm43693	Trop2_KO_vs_WT	3.54388	3.8208	-0.276922	-0.943584	-1.49194	0.174826	0.912847	0.150794	5	5
Cetn4	Trop2_KO_vs_WT	5.85263	6.22735	-0.374719	-0.946749	-1.49694	0.17483	0.912847	0.0952381	5	5
Itga4	Trop2_KO_vs_WT	9.55548	9.26202	0.293462	0.979057	1.54802	0.174835	0.912847	0.309524	5	5
Wdr5b	Trop2_KO_vs_WT	5.94551	5.74757	0.197939	0.980564	1.55041	0.174856	0.912847	0.222222	5	5
Cyp4b1	Trop2_KO_vs_WT	4.04188	5.26354	-1.22165	-0.971875	-1.53667	0.174865	0.912847	0.222222	5	5
B430010I23Rik	Trop2_KO_vs_WT	5.57842	5.05431	0.524118	0.941936	1.48933	0.174873	0.912847	0.309524	5	5
Gm37048	Trop2_KO_vs_WT	6.02696	5.48899	0.537967	0.941406	1.48849	0.17496	0.912847	0.0952381	5	5
4930558J18Rik	Trop2_KO_vs_WT	3.21081	3.73784	-0.527031	-0.942066	-1.48954	0.175021	0.912847	0.150794	5	5
Gm15190	Trop2_KO_vs_WT	3.35909	3.83314	-0.474043	-0.972206	-1.53719	0.175095	0.912847	0.222222	5	5
E130102H24Rik	Trop2_KO_vs_WT	5.79746	5.29496	0.502501	0.959525	1.51714	0.175174	0.912847	0.222222	5	5
Ulk4	Trop2_KO_vs_WT	6.84671	7.05423	-0.207525	-0.941522	-1.48868	0.175214	0.912847	0.0555556	5	5
Cog8	Trop2_KO_vs_WT	8.55819	8.69933	-0.141138	-0.96792	-1.53042	0.175279	0.912847	0.222222	5	5
Mmp2	Trop2_KO_vs_WT	10.2437	10.5284	-0.284703	-0.941374	-1.48844	0.175324	0.912847	0.0555556	5	5
Gm14414	Trop2_KO_vs_WT	6.48749	6.24492	0.242573	0.945946	1.49567	0.175411	0.912847	0.222222	5	5
Ubc	Trop2_KO_vs_WT	6.83673	7.32528	-0.488554	-0.976305	-1.54367	0.175453	0.912847	0.0952381	5	5
Pdcd1	Trop2_KO_vs_WT	5.9653	5.2834	0.681894	0.950637	1.50309	0.175529	0.912847	0.150794	5	5
Fbxo31	Trop2_KO_vs_WT	7.92745	8.36424	-0.436783	-0.978954	-1.54786	0.175757	0.912847	0.222222	5	5
Zfp984	Trop2_KO_vs_WT	8.45224	8.13546	0.316783	0.959121	1.5165	0.175759	0.912847	0.222222	5	5
Susd6	Trop2_KO_vs_WT	11.1249	10.7823	0.342518	0.952457	1.50597	0.175794	0.912847	0.222222	5	5
Gjb2	Trop2_KO_vs_WT	1.28004	3.60746	-2.32742	-0.986665	-1.56005	0.175798	0.912847	0.142457	5	5
Entpd7	Trop2_KO_vs_WT	8.42661	8.67096	-0.244353	-0.978307	-1.54684	0.175801	0.912847	0.150794	5	5
H2-DMb2	Trop2_KO_vs_WT	9.04322	8.60963	0.433587	0.943563	1.4919	0.175817	0.912847	0.150794	5	5
C030037D09Rik	Trop2_KO_vs_WT	5.61846	5.21675	0.401705	0.945643	1.49519	0.175829	0.912847	0.222222	5	5
Zswim1	Trop2_KO_vs_WT	5.85341	6.30653	-0.453114	-0.959404	-1.51695	0.175922	0.912847	0.309524	5	5
Irak1bp1	Trop2_KO_vs_WT	5.87234	6.43708	-0.564745	-0.973271	-1.53888	0.175969	0.912847	0.150794	5	5
Fsd2	Trop2_KO_vs_WT	4.17924	5.43314	-1.2539	-1.03403	-1.63495	0.176053	0.912847	0.0555556	5	5
Egflam	Trop2_KO_vs_WT	4.33522	4.87157	-0.536353	-0.940876	-1.48766	0.176147	0.912847	0.222222	5	5
Ift38	Trop2_KO_vs_WT	7.48087	7.34007	0.140802	0.938845	1.48444	0.176227	0.912847	0.150794	5	5
Etfbkmt	Trop2_KO_vs_WT	6.87786	6.72259	0.15527	0.947494	1.49812	0.176236	0.912847	0.222222	5	5
B230217C12Rik	Trop2_KO_vs_WT	4.09492	3.39462	0.700298	0.948757	1.50012	0.176303	0.912847	0.222222	5	5
Trak1	Trop2_KO_vs_WT	9.62704	9.9662	-0.339154	-0.941166	-1.48811	0.176314	0.912847	0.150794	5	5
Commd6	Trop2_KO_vs_WT	7.36882	6.88	0.488816	0.948515	1.49973	0.176325	0.912847	0.150794	5	5
Gm28892	Trop2_KO_vs_WT	4.34342	3.69349	0.649926	0.93892	1.48456	0.176418	0.912847	0.0952381	5	5
Prkaa2	Trop2_KO_vs_WT	4.58556	6.3313	-1.74574	-0.961695	-1.52057	0.176475	0.912847	0.222222	5	5
Rps6kc1	Trop2_KO_vs_WT	9.10484	8.92559	0.179251	0.943687	1.4921	0.176556	0.912847	0.222222	5	5
Gm37183	Trop2_KO_vs_WT	6.04744	5.38126	0.666183	0.950352	1.50264	0.176665	0.912847	0.150794	5	5
Irag1	Trop2_KO_vs_WT	4.99921	5.47465	-0.475441	-0.939187	-1.48499	0.176759	0.912847	0.309524	5	5
Mybph	Trop2_KO_vs_WT	2.65647	4.39839	-1.74191	-0.937776	-1.48275	0.176931	0.912847	0.222222	5	5
Gpr18	Trop2_KO_vs_WT	5.98303	5.58131	0.401721	0.945318	1.49468	0.176931	0.912847	0.222222	5	5
Fv1	Trop2_KO_vs_WT	5.71613	5.91873	-0.202592	-0.949283	-1.50095	0.176933	0.912847	0.309524	5	5
Raet1d	Trop2_KO_vs_WT	4.95959	4.28545	0.674142	0.96155	1.52034	0.177037	0.912847	0.420635	5	5
Gm43058	Trop2_KO_vs_WT	4.19677	3.38474	0.812035	0.941177	1.48813	0.177054	0.912847	0.150794	5	5
Haus7	Trop2_KO_vs_WT	6.79118	7.06311	-0.271934	-0.940609	-1.48723	0.177058	0.912847	0.309524	5	5
Cyld	Trop2_KO_vs_WT	10.3385	10.5596	-0.221137	-0.961976	-1.52102	0.177061	0.912847	0.222222	5	5
Natd1	Trop2_KO_vs_WT	7.93718	8.26441	-0.327232	-0.940982	-1.48782	0.177066	0.912847	0.222222	5	5
4932442E05Rik	Trop2_KO_vs_WT	4.92611	4.49821	0.427893	0.951357	1.50423	0.177077	0.912847	0.309524	5	5
Trmt11	Trop2_KO_vs_WT	8.42103	8.15288	0.268149	0.972846	1.5382	0.1771	0.912847	0.309524	5	5
Gm13370	Trop2_KO_vs_WT	4.45072	3.53807	0.912651	0.949708	1.50162	0.177208	0.912847	0.222222	5	5
Idh3g	Trop2_KO_vs_WT	9.90579	10.1546	-0.248832	-0.9526	-1.50619	0.177283	0.912847	0.0952381	5	5
Etv3	Trop2_KO_vs_WT	9.1828	9.3573	-0.174498	-0.987692	-1.56168	0.177299	0.912847	0.222222	5	5
Niban3	Trop2_KO_vs_WT	5.6584	5.28287	0.375536	0.940533	1.48711	0.177313	0.912847	0.547619	5	5
Rbm15	Trop2_KO_vs_WT	10.3016	10.5329	-0.231296	-0.956812	-1.51285	0.177313	0.912847	0.547619	5	5
Hspe1-ps2	Trop2_KO_vs_WT	4.98068	4.22698	0.753698	0.954229	1.50877	0.177321	0.912847	0.150794	5	5
Copb2	Trop2_KO_vs_WT	11.6163	11.4005	0.215842	0.936187	1.48024	0.177329	0.912847	0.547619	5	5
Cfap74	Trop2_KO_vs_WT	7.29752	6.87204	0.425479	0.954364	1.50898	0.17737	0.912847	0.222222	5	5
Lias	Trop2_KO_vs_WT	7.74127	7.92514	-0.183873	-0.948638	-1.49993	0.177428	0.912847	0.309524	5	5
Tnfaip3	Trop2_KO_vs_WT	9.97781	9.74267	0.235144	0.994156	1.5719	0.177474	0.912847	0.309524	5	5
Gm12751	Trop2_KO_vs_WT	6.69382	6.36174	0.33208	0.952597	1.50619	0.177504	0.912847	0.309524	5	5
Gm38377	Trop2_KO_vs_WT	6.46252	5.59614	0.866374	0.982423	1.55335	0.177531	0.912847	0.222222	5	5
Apom	Trop2_KO_vs_WT	4.51504	3.98885	0.526188	0.976837	1.54451	0.177608	0.912847	0.222222	5	5
Naf1	Trop2_KO_vs_WT	8.30001	8.62286	-0.322849	-0.983113	-1.55444	0.177619	0.912847	0.150794	5	5
Aopep	Trop2_KO_vs_WT	9.7517	9.52532	0.226377	0.977595	1.54571	0.177658	0.912847	0.222222	5	5
Hspb6	Trop2_KO_vs_WT	6.28041	7.47692	-1.1965	-1.02381	-1.61879	0.177661	0.912847	0.0952381	5	5
Sh2d2a	Trop2_KO_vs_WT	5.56344	5.09488	0.468559	0.940667	1.48733	0.177815	0.913373	0.222222	5	5
Spop	Trop2_KO_vs_WT	9.67473	9.91357	-0.238842	-0.934419	-1.47745	0.177936	0.913731	0.309524	5	5
Apobec2	Trop2_KO_vs_WT	4.09014	5.91574	-1.82561	-0.983304	-1.55474	0.178021	0.913902	0.222222	5	5
Hbegf	Trop2_KO_vs_WT	10.2052	9.95696	0.248214	0.949172	1.50077	0.178237	0.914742	0.150794	5	5
Pet100	Trop2_KO_vs_WT	6.96463	6.44848	0.516153	0.935427	1.47904	0.17842	0.915049	0.222222	5	5
Pou4f1	Trop2_KO_vs_WT	5.18502	5.43841	-0.253394	-0.933068	-1.47531	0.178483	0.915049	0.0952381	5	5
Abcd4	Trop2_KO_vs_WT	7.95523	7.709	0.246228	0.942797	1.49069	0.178502	0.915049	0.309524	5	5
Gm42923	Trop2_KO_vs_WT	3.63501	4.56122	-0.926214	-0.96671	-1.5285	0.178504	0.915049	0.309524	5	5
Dusp11	Trop2_KO_vs_WT	11.0348	10.8125	0.222359	0.937148	1.48176	0.178651	0.915105	0.0952381	5	5
Tmtc4	Trop2_KO_vs_WT	9.22068	9.05474	0.16594	0.940612	1.48724	0.178739	0.915105	0.150794	5	5
Rps15a	Trop2_KO_vs_WT	11.8754	11.431	0.444322	0.935253	1.47877	0.178787	0.915105	0.222222	5	5
Ifi202b	Trop2_KO_vs_WT	11.6043	11.2424	0.361888	0.935057	1.47846	0.178804	0.915105	0.222222	5	5
Myom1	Trop2_KO_vs_WT	5.61828	7.28669	-1.66841	-0.978296	-1.54682	0.178891	0.915105	0.309524	5	5
Kpna6	Trop2_KO_vs_WT	9.79564	10.0735	-0.277897	-0.943963	-1.49254	0.178899	0.915105	0.420635	5	5
Irf1	Trop2_KO_vs_WT	11.1266	10.8578	0.268755	1.00181	1.58399	0.178961	0.915105	0.547619	5	5
Gins3	Trop2_KO_vs_WT	6.35964	6.72596	-0.366318	-0.990857	-1.56668	0.178998	0.915105	0.222222	5	5
Gm12319	Trop2_KO_vs_WT	4.06459	4.79207	-0.727484	-0.945796	-1.49544	0.179024	0.915105	0.222222	5	5
Zfp759	Trop2_KO_vs_WT	6.68287	6.33541	0.347454	0.984006	1.55585	0.179034	0.915105	0.150794	5	5
Gm9531	Trop2_KO_vs_WT	4.26639	4.94472	-0.678333	-0.943694	-1.49211	0.179123	0.915293	0.150794	5	5
Tbl1xr1	Trop2_KO_vs_WT	11.1493	11.438	-0.28869	-0.951243	-1.50405	0.179226	0.915552	0.309524	5	5
Tbkbp1	Trop2_KO_vs_WT	7.76997	7.34377	0.426203	0.933379	1.4758	0.179378	0.915597	0.222222	5	5
Zc4h2	Trop2_KO_vs_WT	5.25898	4.83645	0.422528	0.958236	1.5151	0.17938	0.915597	0.150794	5	5
Trim35	Trop2_KO_vs_WT	10.2675	10.1101	0.157392	0.981016	1.55112	0.179569	0.915597	0.420635	5	5
Kif7	Trop2_KO_vs_WT	5.58527	5.12158	0.463687	0.948079	1.49905	0.179592	0.915597	0.309524	5	5
Phf14	Trop2_KO_vs_WT	10.674	10.3415	0.332512	0.979868	1.54931	0.179719	0.915597	0.309524	5	5
Rps29	Trop2_KO_vs_WT	11.3103	10.8649	0.445434	0.939088	1.48483	0.179728	0.915597	0.222222	5	5
Zbtb47	Trop2_KO_vs_WT	8.446	8.8993	-0.453295	-0.951811	-1.50495	0.17976	0.915597	0.309524	5	5
Kbtbd12	Trop2_KO_vs_WT	2.69732	3.99194	-1.29463	-0.930533	-1.4713	0.179774	0.915597	0.150794	5	5
Thoc7	Trop2_KO_vs_WT	8.59915	8.17965	0.419491	0.93146	1.47277	0.179789	0.915597	0.309524	5	5
Chfr	Trop2_KO_vs_WT	8.92336	8.82087	0.102487	0.985388	1.55804	0.179812	0.915597	0.150794	5	5
Togaram1	Trop2_KO_vs_WT	10.5439	10.2737	0.270165	0.971917	1.53674	0.179837	0.915597	0.222222	5	5
Med26	Trop2_KO_vs_WT	7.28489	7.63586	-0.350964	-0.941417	-1.48851	0.179958	0.915597	0.222222	5	5
Gtpbp1	Trop2_KO_vs_WT	8.52226	8.84414	-0.321879	-0.9379	-1.48295	0.179988	0.915597	0.309524	5	5
Tuba4a	Trop2_KO_vs_WT	9.13609	9.74719	-0.611094	-0.977684	-1.54585	0.180072	0.915597	0.0952381	5	5
Adgrf4	Trop2_KO_vs_WT	1.20027	3.17605	-1.97578	-0.996199	-1.57513	0.180082	0.915597	0.463344	5	5
Fbxw11	Trop2_KO_vs_WT	10.541	10.7296	-0.188647	-0.933055	-1.47529	0.180116	0.915597	0.222222	5	5
Hoxa10	Trop2_KO_vs_WT	8.43194	8.13017	0.301769	0.930471	1.4712	0.180117	0.915597	0.150794	5	5
Nppb	Trop2_KO_vs_WT	3.83398	2.53542	1.29856	0.989004	1.56375	0.180287	0.915989	0.150794	5	5
Hif1a	Trop2_KO_vs_WT	12.5178	12.2102	0.307568	0.931958	1.47355	0.180392	0.915989	0.309524	5	5
Dmtn	Trop2_KO_vs_WT	9.0302	8.6093	0.420901	0.95915	1.51655	0.180393	0.915989	0.420635	5	5
Spcs1	Trop2_KO_vs_WT	10.6215	10.0928	0.528685	0.928201	1.46762	0.180402	0.915989	0.309524	5	5
Cd163	Trop2_KO_vs_WT	8.10167	9.27327	-1.1716	-0.945089	-1.49432	0.180496	0.91599	0.222222	5	5
D130017N08Rik	Trop2_KO_vs_WT	3.79025	4.26589	-0.475639	-0.95066	-1.50313	0.180663	0.91599	0.222222	5	5
Chl1	Trop2_KO_vs_WT	8.01914	8.78174	-0.762598	-0.928485	-1.46806	0.180696	0.91599	0.309524	5	5
Phka1	Trop2_KO_vs_WT	8.40928	8.82093	-0.411651	-0.928505	-1.46809	0.180743	0.91599	0.309524	5	5
Pcdhga11	Trop2_KO_vs_WT	3.95327	3.42672	0.526553	0.932029	1.47367	0.180751	0.91599	0.150794	5	5
C330011M18Rik	Trop2_KO_vs_WT	3.95207	4.39829	-0.446219	-0.946898	-1.49718	0.180798	0.91599	0.309524	5	5
Myoc	Trop2_KO_vs_WT	1.74005	3.37773	-1.63768	-0.934091	-1.47693	0.180839	0.91599	0.222222	5	5
Zfp719	Trop2_KO_vs_WT	8.9566	8.6953	0.261304	0.929599	1.46983	0.180928	0.91599	0.150794	5	5
Aldh3a2	Trop2_KO_vs_WT	9.81481	10.0827	-0.267924	-0.978136	-1.54657	0.181106	0.91599	0.222222	5	5
Larp7	Trop2_KO_vs_WT	8.7578	9.00236	-0.244562	-0.931777	-1.47327	0.181152	0.91599	0.222222	5	5
Ppp1r12b	Trop2_KO_vs_WT	10.0475	10.4249	-0.377367	-0.92704	-1.46578	0.181206	0.91599	0.222222	5	5
Uqcc5	Trop2_KO_vs_WT	6.71698	6.44837	0.268615	0.970956	1.53522	0.181222	0.91599	0.309524	5	5
Rpia	Trop2_KO_vs_WT	8.27116	8.47895	-0.207793	-0.943351	-1.49157	0.181223	0.91599	0.150794	5	5
Rragc	Trop2_KO_vs_WT	9.58689	9.78913	-0.202247	-0.94099	-1.48784	0.181225	0.91599	0.222222	5	5
Tnnc1	Trop2_KO_vs_WT	3.74235	4.91146	-1.16912	-0.954936	-1.50989	0.181288	0.91599	0.150794	5	5
Nlrp12	Trop2_KO_vs_WT	4.31737	3.81206	0.50531	0.972795	1.53812	0.181294	0.91599	0.150794	5	5
Gm16170	Trop2_KO_vs_WT	3.59009	4.15484	-0.56475	-0.943379	-1.49161	0.181363	0.91599	0.222222	5	5
Smg9	Trop2_KO_vs_WT	7.39979	7.7443	-0.344511	-0.95055	-1.50295	0.181409	0.91599	0.309524	5	5
Zfp800	Trop2_KO_vs_WT	9.3392	9.08223	0.256964	0.974605	1.54099	0.181482	0.91599	0.309524	5	5
Lrrc27	Trop2_KO_vs_WT	5.88097	5.68886	0.192107	0.928449	1.46801	0.181511	0.91599	0.309524	5	5
Ywhae	Trop2_KO_vs_WT	12.081	12.4613	-0.380222	-0.92889	-1.4687	0.181563	0.91599	0.309524	5	5
Espl1	Trop2_KO_vs_WT	8.10536	8.50661	-0.401242	-0.925078	-1.46268	0.181724	0.91599	0.309524	5	5
Pura	Trop2_KO_vs_WT	9.56821	9.76886	-0.200645	-0.927188	-1.46601	0.181734	0.91599	0.0952381	5	5
Gle1	Trop2_KO_vs_WT	8.54705	8.72735	-0.1803	-0.947062	-1.49744	0.181755	0.91599	0.420635	5	5
Pdia6	Trop2_KO_vs_WT	12.0997	11.7019	0.397813	0.937414	1.48218	0.181874	0.91599	0.420635	5	5
Rps23	Trop2_KO_vs_WT	11.9931	11.573	0.420024	0.924759	1.46217	0.181891	0.91599	0.222222	5	5
Gm44511	Trop2_KO_vs_WT	4.94759	4.51794	0.429645	0.928929	1.46877	0.181962	0.91599	0.150794	5	5
Exosc7	Trop2_KO_vs_WT	8.52067	8.32758	0.193091	0.932606	1.47458	0.182006	0.91599	0.309524	5	5
Cdk16	Trop2_KO_vs_WT	9.97815	10.2396	-0.261433	-1.00224	-1.58468	0.182037	0.91599	0.420635	5	5
Pitpnm2	Trop2_KO_vs_WT	7.46744	7.86918	-0.401736	-0.924436	-1.46166	0.182083	0.91599	0.309524	5	5
mt-Tn	Trop2_KO_vs_WT	9.8781	9.23534	0.64277	0.934281	1.47723	0.182127	0.91599	0.222222	5	5
Gm44101	Trop2_KO_vs_WT	4.12758	3.39044	0.737133	0.92571	1.46368	0.182183	0.91599	0.150794	5	5
Rab3d	Trop2_KO_vs_WT	7.91044	8.19841	-0.287965	-0.925525	-1.46338	0.182195	0.91599	0.309524	5	5
Dtx3	Trop2_KO_vs_WT	9.15826	8.77703	0.381227	0.925821	1.46385	0.182222	0.91599	0.222222	5	5
Gm16185	Trop2_KO_vs_WT	9.07035	8.45297	0.617383	0.994283	1.5721	0.182303	0.91599	0.420635	5	5
Cspg4b	Trop2_KO_vs_WT	3.53901	4.1105	-0.571497	-0.928236	-1.46767	0.182314	0.91599	0.222222	5	5
Pdha1	Trop2_KO_vs_WT	10.6966	10.9864	-0.289849	-0.944982	-1.49415	0.182325	0.91599	0.309524	5	5
Prelid2	Trop2_KO_vs_WT	5.82679	5.3073	0.519495	0.965496	1.52658	0.18248	0.916109	0.309524	5	5
Gm15246	Trop2_KO_vs_WT	3.14746	3.64007	-0.492605	-0.988621	-1.56315	0.182489	0.916109	0.222222	5	5
Exosc2	Trop2_KO_vs_WT	7.25134	7.53643	-0.285087	-0.923783	-1.46063	0.182623	0.916109	0.150794	5	5
Trip11	Trop2_KO_vs_WT	11.0979	10.7666	0.331301	0.986531	1.55984	0.182719	0.916109	0.309524	5	5
Gm20470	Trop2_KO_vs_WT	4.00577	3.33262	0.673148	0.959391	1.51693	0.182755	0.916109	0.222222	5	5
Bend3	Trop2_KO_vs_WT	7.94613	8.22481	-0.278675	-0.961464	-1.52021	0.182875	0.916109	0.309524	5	5
Snrnp35	Trop2_KO_vs_WT	5.21048	5.65613	-0.445646	-0.945635	-1.49518	0.182911	0.916109	0.309524	5	5
Cited1	Trop2_KO_vs_WT	2.21539	3.84858	-1.63319	-0.922124	-1.45801	0.183011	0.916109	0.150794	5	5
Bacc1	Trop2_KO_vs_WT	5.08254	5.47268	-0.390134	-0.922997	-1.45939	0.183014	0.916109	0.222222	5	5
Gm16973	Trop2_KO_vs_WT	7.01451	6.53486	0.479647	0.990556	1.56621	0.18305	0.916109	0.309524	5	5
Gm12097	Trop2_KO_vs_WT	4.30845	3.84633	0.462113	0.932722	1.47476	0.183276	0.916109	0.150794	5	5
Gpr180	Trop2_KO_vs_WT	8.10368	7.75375	0.349926	0.934732	1.47794	0.183343	0.916109	0.222222	5	5
Gm19126	Trop2_KO_vs_WT	2.49814	3.98153	-1.48339	-0.968854	-1.53189	0.183368	0.916109	0.309524	5	5
Gm20554	Trop2_KO_vs_WT	5.77138	6.10168	-0.330304	-0.931575	-1.47295	0.183508	0.916109	0.150794	5	5
Il4	Trop2_KO_vs_WT	4.91568	5.2663	-0.35062	-0.925724	-1.4637	0.183551	0.916109	0.309524	5	5
H2-Bl	Trop2_KO_vs_WT	5.42496	4.83927	0.58569	0.929029	1.46892	0.183558	0.916109	0.222222	5	5
Sp110-ps1	Trop2_KO_vs_WT	2.61332	3.51596	-0.902646	-0.940608	-1.48723	0.183564	0.916109	0.150794	5	5
Amot	Trop2_KO_vs_WT	8.35323	8.78149	-0.428263	-0.920948	-1.45615	0.183683	0.916109	0.222222	5	5
Sord	Trop2_KO_vs_WT	6.39053	6.92188	-0.531353	-0.933555	-1.47608	0.183712	0.916109	0.222222	5	5
Dusp22	Trop2_KO_vs_WT	6.23908	6.58992	-0.350843	-0.968197	-1.53085	0.183732	0.916109	0.222222	5	5
Ttc39a	Trop2_KO_vs_WT	6.43963	6.75349	-0.313858	-0.940844	-1.4876	0.183736	0.916109	0.420635	5	5
Tmem9	Trop2_KO_vs_WT	9.28956	8.89328	0.396285	0.942133	1.48964	0.18375	0.916109	0.309524	5	5
Gm37802	Trop2_KO_vs_WT	2.80644	3.67452	-0.868073	-0.924904	-1.4624	0.183759	0.916109	0.150794	5	5
Gm29123	Trop2_KO_vs_WT	4.00841	3.44058	0.567823	0.95124	1.50404	0.183791	0.916109	0.309524	5	5
Scx	Trop2_KO_vs_WT	7.97673	7.59763	0.379098	0.924644	1.46199	0.183814	0.916109	0.309524	5	5
