gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Rnf34	Trop2_KO_vs_WT	8.70359	8.48773	0.215855	2.89109	4.57121	0.00191714	0.704809	0.00793651	5	5
Pilra	Trop2_KO_vs_WT	8.82505	8.25717	0.567875	2.88354	4.55928	0.00191904	0.704809	0.00793651	5	5
Gm15927	Trop2_KO_vs_WT	4.44292	3.80323	0.639688	2.84664	4.50094	0.00200461	0.706102	0.00793651	5	5
Mid2	Trop2_KO_vs_WT	6.77891	8.03435	-1.25544	-3.01883	-4.77318	0.00206597	0.706102	0.00793651	5	5
Slc35d2	Trop2_KO_vs_WT	7.22953	6.85902	0.370512	2.83961	4.48981	0.00212891	0.706102	0.00793651	5	5
Gpr183	Trop2_KO_vs_WT	7.4712	7.11757	0.353632	3.05533	4.8309	0.00213369	0.706102	0.00793651	5	5
Perp	Trop2_KO_vs_WT	8.51747	10.1708	-1.65333	-2.83686	-4.48547	0.00216881	0.706102	0.00793651	5	5
Inpp1	Trop2_KO_vs_WT	8.06392	8.2966	-0.232683	-3.00452	-4.75057	0.00219325	0.706102	0.00793651	5	5
Wnk2	Trop2_KO_vs_WT	1.96052	4.58548	-2.62496	-2.79044	-4.41207	0.00225575	0.706102	0.00793651	5	5
Syt8	Trop2_KO_vs_WT	9.78455	9.02364	0.760917	2.83974	4.49002	0.00229076	0.706102	0.00793651	5	5
4930578I06Rik	Trop2_KO_vs_WT	5.20899	3.54131	1.66769	2.93174	4.6355	0.00233606	0.706102	0.00793651	5	5
Trim16	Trop2_KO_vs_WT	7.44359	7.75024	-0.306654	-3.3023	-5.2214	0.00236311	0.706102	0.00793651	5	5
Cyp39a1	Trop2_KO_vs_WT	6.65646	7.06869	-0.412235	-2.769	-4.37818	0.00236315	0.706102	0.00793651	5	5
Samd10	Trop2_KO_vs_WT	6.89363	7.74171	-0.848076	-2.8441	-4.49691	0.00255656	0.712889	0.00793651	5	5
Myo5b	Trop2_KO_vs_WT	5.16812	7.34267	-2.17455	-2.95829	-4.67747	0.00256635	0.712889	0.00793651	5	5
Setd7	Trop2_KO_vs_WT	10.0477	10.6045	-0.556833	-2.75117	-4.34998	0.00273812	0.712889	0.00793651	5	5
Gramd2a	Trop2_KO_vs_WT	5.62646	6.49197	-0.865509	-2.77511	-4.38784	0.00274437	0.712889	0.00793651	5	5
Tgds	Trop2_KO_vs_WT	8.30012	7.62053	0.679586	2.7026	4.27318	0.00277312	0.712889	0.00793651	5	5
Ptpn5	Trop2_KO_vs_WT	5.12031	3.39237	1.72794	2.73615	4.32623	0.0028015	0.712889	0.00793651	5	5
Adra1b	Trop2_KO_vs_WT	1.99152	3.93808	-1.94655	-2.69405	-4.25967	0.00284394	0.712889	0.00793651	5	5
Ankle1	Trop2_KO_vs_WT	5.64797	6.17847	-0.530501	-2.69578	-4.26241	0.00286327	0.712889	0.015873	5	5
Il18bp	Trop2_KO_vs_WT	9.28787	8.67095	0.61692	2.68162	4.24002	0.00288753	0.712889	0.00793651	5	5
Mpeg1	Trop2_KO_vs_WT	12.3867	11.858	0.528727	3.04194	4.80973	0.00291149	0.712889	0.00793651	5	5
Zfp146	Trop2_KO_vs_WT	9.56501	9.22853	0.336476	2.67893	4.23576	0.00292154	0.712889	0.00793651	5	5
Slfn3	Trop2_KO_vs_WT	7.84812	8.42	-0.571884	-2.95376	-4.67031	0.00293003	0.712889	0.015873	5	5
Cd99l2	Trop2_KO_vs_WT	9.20693	9.47635	-0.269422	-2.68315	-4.24244	0.00300523	0.712889	0.00793651	5	5
Clip1	Trop2_KO_vs_WT	9.18814	9.76284	-0.574699	-2.86763	-4.53413	0.00302082	0.712889	0.00793651	5	5
Ikbke	Trop2_KO_vs_WT	9.08676	8.60817	0.478587	2.65798	4.20263	0.00303566	0.712889	0.00793651	5	5
