gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
KIAA0329	KDpooled_vs_matchedreps	11.9817	10.4077	1.57392	14.1178	23.3811	1.40222e-07	0.00250239	0.0238095	6	3
ASB7	KDpooled_vs_matchedreps	8.45364	8.0228	0.430838	13.062	21.8382	3.47813e-07	0.00250239	0.0238095	6	3
PLEK2	KDpooled_vs_matchedreps	12.9824	12.3201	0.662285	11.1079	18.1509	4.75296e-07	0.00250239	0.0238095	6	3
ALB	KDpooled_vs_matchedreps	10.3721	7.88718	2.48492	11.1437	17.5738	5.5776e-07	0.00250239	0.0238095	6	3
DCUN1D1	KDpooled_vs_matchedreps	11.0647	10.3289	0.73575	9.76197	15.8859	1.07439e-06	0.00385618	0.0238095	6	3
TACSTD2	KDpooled_vs_matchedreps	8.72187	11.8612	-3.13937	-20.7069	-29.7707	2.40282e-06	0.00718683	0.0238095	6	3
S1PR2	KDpooled_vs_matchedreps	10.6903	10.0886	0.601777	8.39216	13.4624	2.92909e-06	0.00750934	0.0238095	6	3
PRELID1	KDpooled_vs_matchedreps	14.5148	15.0155	-0.500638	-8.33983	-13.0123	5.13726e-06	0.0115242	0.0238095	6	3
POLA2	KDpooled_vs_matchedreps	11.6921	12.2301	-0.538023	-8.74447	-13.3591	8.04415e-06	0.0159226	0.0238095	6	3
ELF1	KDpooled_vs_matchedreps	10.3869	10.1525	0.234402	9.31588	15.9571	8.87253e-06	0.0159226	0.0238095	6	3
XIRP1	KDpooled_vs_matchedreps	6.85219	7.08129	-0.229097	-7.12005	-11.698	9.84929e-06	0.0160687	0.0238095	6	3
OXGR1	KDpooled_vs_matchedreps	7.44595	6.89519	0.550763	6.69705	10.688	1.39034e-05	0.0197732	0.0238095	6	3
PPAP2B	KDpooled_vs_matchedreps	10.3337	9.77357	0.560108	6.61766	10.6266	1.43236e-05	0.0197732	0.0238095	6	3
CHGB	KDpooled_vs_matchedreps	9.08947	7.6963	1.39317	6.18178	10.2727	2.98566e-05	0.0382299	0.0238095	6	3
METT11D1	KDpooled_vs_matchedreps	10.9576	11.2852	-0.327597	-6.0402	-9.53456	3.19541e-05	0.0382299	0.0238095	6	3
ZNF318	KDpooled_vs_matchedreps	8.91058	9.49901	-0.588425	-5.6042	-8.99351	4.28663e-05	0.0404886	0.0238095	6	3
STX6	KDpooled_vs_matchedreps	10.2143	9.68271	0.531562	10.9127	15.6709	4.43512e-05	0.0404886	0.0238095	6	3
INHBA	KDpooled_vs_matchedreps	9.17505	8.17363	1.00141	6.94298	10.5077	4.49337e-05	0.0404886	0.0238095	6	3
IDE	KDpooled_vs_matchedreps	11.6212	10.8559	0.765355	5.57963	8.91131	4.57472e-05	0.0404886	0.0238095	6	3
C3orf63	KDpooled_vs_matchedreps	11.3953	11.1394	0.25588	5.52648	9.00386	4.65404e-05	0.0404886	0.0238095	6	3
CSTA	KDpooled_vs_matchedreps	7.30182	6.67678	0.625035	5.56463	8.8702	4.74495e-05	0.0404886	0.0238095	6	3
CLPTM1L	KDpooled_vs_matchedreps	14.0475	14.394	-0.346478	-5.83552	-9.76306	4.96349e-05	0.0404886	0.0238095	6	3
CNO	KDpooled_vs_matchedreps	11.0438	10.7158	0.327982	5.57612	9.24383	5.36576e-05	0.041867	0.0238095	6	3
TNRC6C	KDpooled_vs_matchedreps	11.739	11.195	0.544018	5.37339	8.56311	5.96432e-05	0.043425	0.0238095	6	3
LRP12	KDpooled_vs_matchedreps	9.27738	8.73739	0.539997	5.4275	8.59492	6.0494e-05	0.043425	0.0238095	6	3
CHI3L1	KDpooled_vs_matchedreps	9.38664	8.05735	1.32929	5.24959	8.50543	6.3755e-05	0.0440056	0.0238095	6	3
DCUN1D3	KDpooled_vs_matchedreps	12.1809	11.4227	0.75827	6.39549	9.6713	7.36818e-05	0.0489738	0.0238095	6	3
CCDC50	KDpooled_vs_matchedreps	12.1212	11.5872	0.533988	5.13899	8.17258	8.12366e-05	0.0520669	0.0238095	6	3
GPR64	KDpooled_vs_matchedreps	8.55865	7.81783	0.740825	4.94892	8.0532	9.35593e-05	0.0577491	0.0238095	6	3
BTN2A1	KDpooled_vs_matchedreps	9.59389	9.04445	0.549438	6.28504	9.44643	0.000100365	0.0577491	0.0238095	6	3
BAT3	KDpooled_vs_matchedreps	14.9863	14.7265	0.259875	4.90432	8.00855	0.000100506	0.0577491	0.0238095	6	3
CCDC90B	KDpooled_vs_matchedreps	13.0938	12.5726	0.521187	5.96512	9.02757	0.000106202	0.0577491	0.0238095	6	3
GTSE1	KDpooled_vs_matchedreps	10.7755	11.3402	-0.564632	-5.85913	-8.89421	0.000106536	0.0577491	0.0238095	6	3
OCRL	KDpooled_vs_matchedreps	12.6127	12.1031	0.509542	5.18155	8.70223	0.00010941	0.0577491	0.0238095	6	3
KIF22	KDpooled_vs_matchedreps	12.2297	12.5684	-0.3387	-5.47014	-8.35737	0.000129968	0.066446	0.0238095	6	3
INPP5A	KDpooled_vs_matchedreps	10.1619	9.4306	0.731287	4.83332	7.62512	0.000133292	0.066446	0.0238095	6	3
SFRS1	KDpooled_vs_matchedreps	14.2425	14.5326	-0.290072	-5.57246	-8.45567	0.000143267	0.0669918	0.0238095	6	3
PAXIP1	KDpooled_vs_matchedreps	11.8238	12.1011	-0.27728	-5.63555	-8.53258	0.000143964	0.0669918	0.0238095	6	3
ELMO2	KDpooled_vs_matchedreps	12.3385	11.8412	0.497378	4.72458	7.82779	0.000145586	0.0669918	0.0238095	6	3
ADI1	KDpooled_vs_matchedreps	13.8862	13.5326	0.3536	5.14094	7.89861	0.000159937	0.0717559	0.0238095	6	3
PLA2G16	KDpooled_vs_matchedreps	13.0488	14.0914	-1.04254	-4.48001	-7.34268	0.000180069	0.0750077	0.0238095	6	3
NSUN2	KDpooled_vs_matchedreps	14.5243	14.6691	-0.14485	-4.71708	-7.36331	0.000186192	0.0750077	0.0238095	6	3
SCNM1	KDpooled_vs_matchedreps	13.5523	13.1067	0.445545	4.8783	7.53606	0.000190324	0.0750077	0.0238095	6	3
ZNF71	KDpooled_vs_matchedreps	11.4291	11.1127	0.316432	5.30503	9.11771	0.000193219	0.0750077	0.0238095	6	3
DISP2	KDpooled_vs_matchedreps	12.0628	11.0007	1.06214	4.47928	7.40371	0.000194494	0.0750077	0.0275319	6	3
IKZF4	KDpooled_vs_matchedreps	8.4059	7.74963	0.656268	4.67736	7.86174	0.000199855	0.0750077	0.0238095	6	3
LOC162632	KDpooled_vs_matchedreps	11.236	10.9357	0.300343	4.6685	7.28131	0.000201533	0.0750077	0.0238095	6	3
KCNC1	KDpooled_vs_matchedreps	7.43937	6.47611	0.963268	4.81632	8.16376	0.000208381	0.0750077	0.0238095	6	3
CHCHD3	KDpooled_vs_matchedreps	13.4404	13.0852	0.355185	5.99973	8.88244	0.000216224	0.0750077	0.0238095	6	3
HEXIM2	KDpooled_vs_matchedreps	11.6936	11.3297	0.363927	4.36228	7.17239	0.000216691	0.0750077	0.0238095	6	3
ZNF643	KDpooled_vs_matchedreps	8.5503	7.93305	0.617248	4.58175	7.70069	0.000224344	0.0750077	0.0238095	6	3
TNFRSF11B	KDpooled_vs_matchedreps	11.0372	10.0202	1.01698	4.30021	6.93083	0.000226569	0.0750077	0.0238095	6	3
GTPBP8	KDpooled_vs_matchedreps	13.0295	12.6856	0.34398	4.33255	6.92266	0.000227434	0.0750077	0.0238095	6	3
IRAK4	KDpooled_vs_matchedreps	8.32793	7.90917	0.418767	4.5351	7.06701	0.000244132	0.0750077	0.0238095	6	3
GMDS	KDpooled_vs_matchedreps	10.1641	10.4821	-0.318032	-4.82755	-7.38701	0.000255599	0.0750077	0.0238095	6	3
HOXA5	KDpooled_vs_matchedreps	10.5893	10.1543	0.434957	4.81507	8.22326	0.00025804	0.0750077	0.0238095	6	3
