contrast	accession	target_gene	species	system	n	set_name	inference	n_genes_measured	effect	effect_label	p	q	cohens_d	comp_median_log2FC	comp_p
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	mouse	4T1 mammary tumour, BALB/c immunocompetent	5 KO vs 5 WT	IFN_ALPHA_TYPE1	sample	32	0.171254	Δ mean-z set score (pert − control)	0.686692	0.686692	0.269228	0.0774913	0.059949
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	mouse	4T1 mammary tumour, BALB/c immunocompetent	5 KO vs 5 WT	IFN_GAMMA_TYPE2	sample	32	0.707833	Δ mean-z set score (pert − control)	0.0399011	0.0709353	1.56997	0.403521	4.61512e-09
GSE334497_4T1_Trop2KO	GSE334497	TACSTD2	mouse	4T1 mammary tumour, BALB/c immunocompetent	5 KO vs 5 WT	ANTIGEN_PRESENTATION_MHC1	sample	17	0.287289	Δ mean-z set score (pert − control)	0.484256	0.51654	0.466889	0.132821	0.03602
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	human	T-47D xenograft, NRG immunodeficient	4 KO vs 3 WT	IFN_ALPHA_TYPE1	sample	37	0.870404	Δ mean-z set score (pert − control)	0.207502	0.714455	1.10239	0.689966	6.58777e-18
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	human	T-47D xenograft, NRG immunodeficient	4 KO vs 3 WT	IFN_GAMMA_TYPE2	sample	23	-0.274771	Δ mean-z set score (pert − control)	0.476303	0.714455	-0.567437	-0.242354	0.431882
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	human	T-47D xenograft, NRG immunodeficient	4 KO vs 3 WT	ANTIGEN_PRESENTATION_MHC1	sample	18	0.202558	Δ mean-z set score (pert − control)	0.700825	0.86886	0.302254	0.181844	0.160395
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	human	SW480 colon adenocarcinoma, 72 h siRNA	6 KD vs 9 neg-ctrl	IFN_ALPHA_TYPE1	sample	36	0.472664	Δ mean-z set score (pert − control)	6.57829e-05	0.00105253	2.89744	0.0617025	0.00189973
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	human	SW480 colon adenocarcinoma, 72 h siRNA	6 KD vs 9 neg-ctrl	IFN_GAMMA_TYPE2	sample	28	0.22647	Δ mean-z set score (pert − control)	0.323268	0.698015	0.611777	0.00770667	0.246802
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	human	SW480 colon adenocarcinoma, 72 h siRNA	6 KD vs 9 neg-ctrl	ANTIGEN_PRESENTATION_MHC1	sample	19	0.0119848	Δ mean-z set score (pert − control)	0.972396	0.972396	0.020029	-0.0382872	0.979534
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	human	T47D + MCF7 CRISPR KO (group-mean FPKM)	2 lines, replicates collapsed	IFN_ALPHA_TYPE1	gene	22	-0.213482	median log2FC of set genes (competitive)	0.00713534	0.0261629		-0.213482	0.00713534
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	human	T47D + MCF7 CRISPR KO (group-mean FPKM)	2 lines, replicates collapsed	IFN_GAMMA_TYPE2	gene	11	-0.0382149	median log2FC of set genes (competitive)	0.195105	0.306594		-0.0382149	0.195105
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	human	T47D + MCF7 CRISPR KO (group-mean FPKM)	2 lines, replicates collapsed	ANTIGEN_PRESENTATION_MHC1	gene	7	0.0554949	median log2FC of set genes (competitive)	0.992003	0.992003		0.0554949	0.992003
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	mouse	whole lung, naive (no VILI)	1 KO vs 1 WT	IFN_ALPHA_TYPE1	gene	32	0.340691	median log2FC of set genes (competitive)	8.18219e-06	4.36383e-05		0.340691	8.18219e-06
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	mouse	whole lung, naive (no VILI)	1 KO vs 1 WT	IFN_GAMMA_TYPE2	gene	31	0.381827	median log2FC of set genes (competitive)	1.17867e-07	9.42933e-07		0.381827	1.17867e-07
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	mouse	whole lung, naive (no VILI)	1 KO vs 1 WT	ANTIGEN_PRESENTATION_MHC1	gene	17	0.31732	median log2FC of set genes (competitive)	0.0006851	0.00182693		0.31732	0.0006851
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	human	SKOV-3 vs CLDN4-OE reference, 2-colour array	3 arrays	IFN_ALPHA_TYPE1	gene	26	-0.0583	median log2FC of set genes (competitive)	0.566211	0.805205		-0.0583	0.566211
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	human	SKOV-3 vs CLDN4-OE reference, 2-colour array	3 arrays	IFN_GAMMA_TYPE2	gene	25	-0.1574	median log2FC of set genes (competitive)	0.603401	0.805205		-0.1574	0.603401
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	human	SKOV-3 vs CLDN4-OE reference, 2-colour array	3 arrays	ANTIGEN_PRESENTATION_MHC1	gene	10	-0.202847	median log2FC of set genes (competitive)	0.641993	0.805205		-0.202847	0.641993
