Feature_name	baseMean	log2FC_KO_vs_WT	lfcSE	deseq2_stat	p_deseq2	q_deseq2_BH	n_KO	n_WT
TACSTD2	1165.09	-3.26327	0.190231	-17.0948	1.62271e-65	1.94564e-61	4	3
CLDN4	746.471	0.28444	0.182126	1.51737	0.129174	0.466374	4	3
CLDN3	126.948	0.343164	0.21254	1.5715	0.116066	0.445036	4	3
CLDN7	430.42	0.510488	0.170144	2.99024	0.00278756	0.0569384	4	3
CLDN1	899.255	0.188345	0.380864	0.791055	0.428912	0.756902	4	3
EPCAM	310.388	0.0918852	0.157398	0.567561	0.570333	0.83385	4	3
OCLN	2.22487	0.468083	0.406195	1.00086	0.316894		4	3
TJP1	86.5539	0.0493755	0.23081	0.207405	0.835694	0.949879	4	3
TJP2	22.3055	0.577981	0.320379	1.78651	0.0740175	0.362973	4	3
DSG2	98.1891	-0.106348	0.173068	-0.659669	0.509466	0.800866	4	3
DSP	3074.03	-0.136001	0.168069	-0.804316	0.421214	0.750328	4	3
JUP	597.684	0.215219	0.202419	1.0526	0.292525	0.662068	4	3
CDH1	222.698	-0.217591	0.247057	-0.87976	0.378989	0.724912	4	3
VIM	29.9508	-0.258734	0.348827	-0.690732	0.489734	0.790585	4	3
B2M	10776.6	0.538925	0.281147	1.97193	0.0486175	0.299704	4	3
HLA-A	230.433	0.628421	0.390514	1.80832	0.0705568	0.355452	4	3
HLA-B	3866.54	0.561792	0.30034	1.93068	0.0535224	0.312157	4	3
TAP1	172.108	0.260317	0.28285	0.946936	0.343672	0.704189	4	3
PSMB9	36.947	0.162048	0.354816	0.599776	0.548656	0.822149	4	3
NLRC5	4.00383	0.442799	0.424155	1.4811	0.138581		4	3
STAT1	599.036	0.74428	0.307116	2.4667	0.0136364	0.147563	4	3
STAT2	73.8313	0.71135	0.219525	3.27561	0.00105434	0.0309294	4	3
IRF7	11.8575	0.340368	0.396662	1.01085	0.31209	0.679615	4	3
ISG15	201.183	1.44017	0.337342	4.41783	9.96962e-06	0.00123233	4	3
IFIT1	802.039	0.908431	0.397984	2.43476	0.0149016	0.156044	4	3
IFIT3	46.2313	0.962022	0.383639	2.81596	0.00486312	0.080036	4	3
MX1	740.507	0.933901	0.37658	2.66204	0.00776689	0.105514	4	3
OAS1	159.366	0.856968	0.314023	2.80142	0.00508785	0.0818764	4	3
CXCL10	12.5334	-0.136493	0.383171	-0.263457	0.792198	0.932193	4	3
GBP1	55.1997	-0.554461	0.394235	-1.23366	0.217331	0.578808	4	3
GBP2	82.5642	-0.528587	0.334034	-1.50922	0.131244	0.46777	4	3
NFKBIA	1460.26	-0.472004	0.238333	-1.98511	0.0471328	0.293677	4	3
