accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE102683	GSE	Homo sapiens	19		18573	2019/07/05	RNA sequencing based comparative analysis of human hepatic progenitor cells and their niche from alcoholic steatohepatitis livers	Hepatic progenitor cells (HPCs) are small cells with a relative large oval nucleus and a scanty cytoplasm situated in the canals of Hering, that express markers of (immature) hepatocytes and cholangiocytes. HPCs are present in large numbers in alcoholic steatohepatitis (ASH), one of the leading causes of chronic liver disease. To date, the mechanisms responsible for proliferation and differentiation of human HPCs are still poorly understood and the role of HPCs in ASH development is unknown. In this study, we aimed to characterise human HPCs and their interactions with other cells through comparison, on both protein and RNA level, of HPC-enriched cell populations from adult human liver tissue using different isolation methods. Fresh human liver tissue was collected from ASH explant livers and HPC-enriched cell populations were obtained via three different isolation methods: side population (SP), EpCAM and TROP-2 membrane marker isolation. Gene expression profiles of fluorescent activated cell sorted HPCs, whole liver extracts and laser microdissected HPC niches were determined by RNA sequencing. Immunohistochemical evaluation of the isolated populations indicated the enrichment of HPCs in the SP, EpCAM+ and TROP-2+ cell populations. Pathway analysis of the transcription profiles of human HPCs showed an enrichment and activation of known HPC pathways like Wnt/β-catenin, TWEAK and HGF. Integration of the HPC niche profile suggests autocrine signalling by HPCs (TNF, PDGFB and VEGFA) as well as paracrine signalling from the surrounding niche cells including MIF and IGF-1. In addition, we identified IL-17A signalling as a potentially novel pathway in HPC biology. In conclusion, we provide the first RNA-seq based, comparative transcriptome analysis of isolated human HPCs from ASH patients and revealed active signalling between HPCs and their surrounding niche cells in ASH livers and suggest that HPCs can actively contribute to liver inflammation.	CSV	True	TROP2[Title]
GSE103967	GSE	Mus musculus	135		19057	2018/07/23	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage [single-cell RNA-seq]	T cell development and selection is orchestrated in the thymus by a specialized niche of diverse stromal populations. By transcriptional single cell sorting, we de novo characterize the entire stromal compartment of the thymus. We identified dozens of cell states within the thymic stroma, with thymic epithelial cells (TEC) showing the highest degree of heterogeneity. Our analysis highlights four major medullary TEC (mTEC I-IV) populations, with distinct molecular functions, epigenetic landscapes and lineage regulators. Specifically, mTEC-IV constitutes a new and highly divergent TEC lineage with molecular characteristics of the gut chemosensory epithelial tuft cells. Mice deficient of Pou2f3, a tuft cells master regulator, resulted in complete and specific depletion of mTEC-IV, without affecting other TEC populations. Overall, our study comprehensively defines all stroma cells in the thymus and identifies a new TEC lineage associated with chemosensory properties that may potentially link the adaptive immune system to environmental and neurological signals.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE103968	GSE	Mus musculus	8		19057	2018/07/23	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage [ATAC-seq]	T cell development and selection is orchestrated in the thymus by a specialized niche of diverse stromal populations. By transcriptional single cell sorting, we de novo characterize the entire stromal compartment of the thymus. We identified dozens of cell states within the thymic stroma, with thymic epithelial cells (TEC) showing the highest degree of heterogeneity. Our analysis highlights four major medullary TEC (mTEC I-IV) populations, with distinct molecular functions, epigenetic landscapes and lineage regulators. Specifically, mTEC-IV constitutes a new and highly divergent TEC lineage with molecular characteristics of the gut chemosensory epithelial tuft cells. Mice deficient of Pou2f3, a tuft cells master regulator, resulted in complete and specific depletion of mTEC-IV, without affecting other TEC populations. Overall, our study comprehensively defines all stroma cells in the thymus and identifies a new TEC lineage associated with chemosensory properties that may potentially link the adaptive immune system to environmental and neurological signals.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE103969	GSE	Mus musculus	16		19057	2018/07/23	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage [ChIP-seq]	T cell development and selection is orchestrated in the thymus by a specialized niche of diverse stromal populations. By transcriptional single cell sorting, we de novo characterize the entire stromal compartment of the thymus. We identified dozens of cell states within the thymic stroma, with thymic epithelial cells (TEC) showing the highest degree of heterogeneity. Our analysis highlights four major medullary TEC (mTEC I-IV) populations, with distinct molecular functions, epigenetic landscapes and lineage regulators. Specifically, mTEC-IV constitutes a new and highly divergent TEC lineage with molecular characteristics of the gut chemosensory epithelial tuft cells. Mice deficient of Pou2f3, a tuft cells master regulator, resulted in complete and specific depletion of mTEC-IV, without affecting other TEC populations. Overall, our study comprehensively defines all stroma cells in the thymus and identifies a new TEC lineage associated with chemosensory properties that may potentially link the adaptive immune system to environmental and neurological signals.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE105781	GSE	Mus musculus	6		17021	2018/12/03	RNA-seq expression profiling of Grhl2-deficient and control murine lung epithelium at embryonic day E16.5	Epithelial (CD31-CD45-EpCAM+) cells were isolated by FACS from Grhl2-deficient (Shh-Cre;Grhl2f/-) and control (Shh-Cre;Grhl2f/+) embryonic lungs at day E16.5 (3 biological replicates/genotype). Total RNA extracted from the samples was subjected to next-generation sequencing (NGS) library preparation using standard Illumina protocols. Completed libraries from individual samples were sequenced on a HiSeq2500 at the Australian Genome Research Facility.	TXT	False	TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE106510	GSE	Mus musculus	810		19057	2018/11/01	T helper cells modulate intestinal stem cell renewal and differentiation	Using single-cell RNA-seq of intestinal epithelial cells we identify surprising expression of MHC class II, which participates in a novel interaction between gut-resident CD4+ T cells and epithelial stem cells, governing the balance between stem cell differentiation and renewal.	MTX, TSV, TXT	False	TACSTD2 AND interferon
GSE106980	GSE	Mus musculus	4		8321	2018/02/01	Expression data from thymic endothelial cells after damage	The thymus is extremely sensitive to damage but also has a remarkable ability to repair itself. However, the mechanisms underlying this endogenous regeneration remain poorly understood and this capacity diminishes considerably with age. To identify alternate regeneration pathways in the thymus, we performed an unbiased transcriptome analysis of the non-hematopoietic (CD45-) stromal cell compartment of the thymus, which is less sensitive to thymic damage compared to the CD45+ hematopoietic compartment. Recent work has suggested that ECs can contribute towards thymic regeneration via their production of so-called angiocrine factors. Using a technique to constitutively activate the Akt pathway in ECs using the pro-survival adenoviral gene E4ORF1, ECs can be propagated and expanded ex vivo (exEC) while maintaining their phenotype and vascular tube formation capacity. We compared the gene expression of freshly isolated thymic ECs and exEC-derived from the thymus.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE106982	GSE	Mus musculus	13		8321;1261	2018/02/01	Production of BMP4 by endothelial cells is crucial for endogenous thymic regeneration	This SuperSeries is composed of the SubSeries listed below.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE107142	GSE	Mus musculus	2		13912	2020/09/18	IRF2 maintains the stemness of colonic stem cells by limiting physiological stress from interferon	The physiological stresses that diminish tissue stem-cell characteristics remain largely unknown. We previously reported that type I interferon (IFN), which is essential for host antiviral responses, is a physiological stressor for hematopoietic stem cells (HSCs) and that interferon regulatory factor-2 (IRF2), which attenuates IFN signaling, maintains the stemness of HSCs. Here, we explore the role of IRF2 in maintaining colonic epithelial stem cells (CoSCs). In mice with a conditional Irf2 deletion in the intestinal epithelium (hereafter Irf2ΔIEC mice), both the number and the organoid-forming potential of CoSCs was markedly reduced. Consistent with this finding, the ability of Irf2ΔIEC mice to regenerate colon epithelium after injury by dextran sodium sulfate (DSS) was severely impaired, independently of microbial dysbiosis. Mechanistically, CoSCs differentiated prematurely into transit-amplifying (TA) cells in Irf2ΔIEC mice, which might explain their low CoSC counts. A similar phenotype was induced in wild-type mice by repeated injections of low doses of poly(I:C), which induces type I IFN. Collectively, we demonstrated that chronic IFN signaling physiologically stresses CoSCs. This study provides new insight into the molecular mechanisms that maintain functional CoSCs throughout life.	TXT	False	TACSTD2 AND interferon
GSE108417	GSE	Mus musculus	12		6246	2018/10/03	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma	Asthma is a complex, chronic respiratory disease with marked clinical and pathophysiological heterogeneity. Distinct inflammatory phenotypes of eosinophilic, mixed, neutrophilic and paucigranulocytic asthma are identified in patients, but most in vivo mouse models, studying asthma mechanisms, mimic only eosinophilic phenotype in humans. The detailed unbiased in vivo studies on molecular responses among different kinds of inflammation in asthma models are lacking. Therefore, we developed mouse models representing three different inflammatory phenotypes of airway inflammation, namely eosinophilic, mixed, and neutrophilic asthma via different methods of house dust mite sensitisation. We used microarrays to determine the global gene expression in the lungs of mice with eosinophilic, mixed and neutrophilic inflammatory phenotypes to uncover underlying differences in clinical presentation and to find novel molecular targets and pathways, which might reflect different molecular mechanisms of the disease. By whole genome transcriptome profiling, we found that airway tight junction (TJ) molecules, mucins and inflammasome-related genes are differentially expressed in distinct phenotypes of allergic airway inflammation. Next, detailed analysis of several molecules from these families by quantitative RT-PCR, western blot and confocal microscopy revealed that (i) Zo-1 and Cldn18 were downregulated in all phenotypes, while Cldn4 upregulation was characteristic for neutrophilic airway inflammation; (ii) mucins Clca1 (Gob5) and Muc5ac were upregulated in eosinophilic and even more in neutrophilic asthma, and (iii) upregulation of inflammasome-related molecules such as Nlrp3, Nlrc4, Casp-1 and IL-1b was characteristic for neutrophilic asthma. Finally, we showed that inflammasome/Th-17/neutrophilic axis cytokines, namely IL-1b and IL-17 impaired epithelial barrier function and increased mucins expressions in primary human bronchial epithelial cells from normal and asthmatic donors. Our findings suggest that differential expression of TJs, mucins and inflammasome-related molecules in distinct asthma phenotypes could be mechanistically linked and might further reflect the differences observed in the clinic.		True	CLDN4[Description];Cldn4 AND lung AND mouse
