gene_short_name	note	MCF7_KO	MCF7_WT	T47D_KO	T47D_WT	log2FC_T47D_KO_vs_WT	log2FC_MCF7_KO_vs_WT	log2FC_mean_bothlines	same_direction_both_lines
CCDC144NL	group-mean FPKM only; no per-replicate data in GEO	0.665953	5.18924	0	17.4528	-5.16614	-2.28673	-3.72643	True
CCL17	group-mean FPKM only; no per-replicate data in GEO	0.0221106	0.0246819	0.0120376	59.3719	-6.86949	-0.00708757	-3.43829	True
SLC6A14	group-mean FPKM only; no per-replicate data in GEO	1.25753	26.2629	2.25165	14.3679	-2.43383	-3.92861	-3.18122	True
VIP	group-mean FPKM only; no per-replicate data in GEO	0	28.1667	0	0	0	-5.8413	-2.92065	False
CSRNP3	group-mean FPKM only; no per-replicate data in GEO	0	0	0	24.1863	-5.62564	0	-2.81282	False
LMNTD1	group-mean FPKM only; no per-replicate data in GEO	0	0.217261	0.185697	22.8947	-5.09247	-0.52057	-2.80652	True
S100A6	group-mean FPKM only; no per-replicate data in GEO	0	18.866	0	0	0	-5.27545	-2.63773	False
PGM5	group-mean FPKM only; no per-replicate data in GEO	0.0176481	7.07294	5.84914	13.9464	-1.18608	-3.87081	-2.52844	True
HMCN1	group-mean FPKM only; no per-replicate data in GEO	0.650402	2.95536	3.50872	36.7421	-3.21572	-1.5867	-2.40121	True
GPNMB	group-mean FPKM only; no per-replicate data in GEO	0.679064	7.5617	0.893274	4.75857	-1.91619	-2.77344	-2.34482	True
HAR1B	group-mean FPKM only; no per-replicate data in GEO	0.447583	4.26938	0	1.96203	-2.29985	-2.33148	-2.31566	True
ACKR3	group-mean FPKM only; no per-replicate data in GEO	3.84539	29.9793	2.18515	8.93846	-1.81355	-2.81027	-2.31191	True
EDARADD	group-mean FPKM only; no per-replicate data in GEO	2.23913	10.6651	0.320074	4.08074	-2.48175	-2.02721	-2.25448	True
TM4SF1	group-mean FPKM only; no per-replicate data in GEO	1.61089	27.0153	2.50411	4.49433	-0.733354	-3.70431	-2.21883	True
COX7B2	group-mean FPKM only; no per-replicate data in GEO	0	0	0	10.0634	-4.401	0	-2.2005	False
HEG1	group-mean FPKM only; no per-replicate data in GEO	1.93551	8.59421	0	2.21816	-2.44263	-1.90072	-2.17168	True
BST2	group-mean FPKM only; no per-replicate data in GEO	0.180084	0.628339	0.223806	8.22435	-3.59137	-0.730416	-2.16089	True
VTCN1	group-mean FPKM only; no per-replicate data in GEO	0.436969	1.88318	0.990949	9.56859	-2.75556	-1.34681	-2.05119	True
SEMA3A	group-mean FPKM only; no per-replicate data in GEO	0	0.239762	2.7923	36.0768	-3.47376	-0.565133	-2.01945	True
IFI44	group-mean FPKM only; no per-replicate data in GEO	0.229645	1.10851	0.526812	6.45941	-2.76079	-1.14046	-1.95063	True
SNAR-H	group-mean FPKM only; no per-replicate data in GEO	88.7243	53.7842	0	11.5397	-4.58973	0.716904	-1.93641	False
RIMS1	group-mean FPKM only; no per-replicate data in GEO	0.0205365	7.48826	85.9801	81.4134	0.0782687	-3.93981	-1.93077	False
ABCC2	group-mean FPKM only; no per-replicate data in GEO	2.78263	15.6564	0.3067	1.85522	-1.54576	-2.29918	-1.92247	True
TIMP3	group-mean FPKM only; no per-replicate data in GEO	4.21576	13.3326	11.228	55.7923	-2.26298	-1.55251	-1.90775	True
LOC101927378	group-mean FPKM only; no per-replicate data in GEO	0	0	0	6.39016	-3.78454	0	-1.89227	False
PAGE2	group-mean FPKM only; no per-replicate data in GEO	0.890097	18.3716	0	0	0	-3.76296	-1.88148	False
AMTN	group-mean FPKM only; no per-replicate data in GEO	1.26663	3.51281	1.67263	12.333	-2.56234	-1.18361	-1.87298	True
FOXP2	group-mean FPKM only; no per-replicate data in GEO	0.119462	2.78471	3.59685	9.55817	-1.29578	-2.40668	-1.85123	True
LMO3	group-mean FPKM only; no per-replicate data in GEO	1.25848	3.8385	3.0008	17.862	-2.39097	-1.30287	-1.84692	True
LOC283038	group-mean FPKM only; no per-replicate data in GEO	5.57189	9.5003	1.14634	12.4124	-2.97142	-0.719826	-1.84562	True
EPHA3	group-mean FPKM only; no per-replicate data in GEO	4.60045	1.2	0.295143	30.135	-5.26782	1.58509	-1.84137	False
