contrast	set_name	n_genes_measured	median_stat_in_set	median_stat_background	mannwhitney_p	auc	q_BH	inference_unit
Cldn4KO_vs_WT_naive_lung	TIGHT_JUNCTION_CORE	34	-0.00642465	0	0.497483	0.466528	0.568552	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	CLAUDIN_FAMILY	20	0	0	0.352396	0.4402	0.469861	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	DESMOSOME_ADHERENS	16	0	0	0.23295	0.414252	0.37272	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	IFN_ALPHA_TYPE1	32	0.340691	0	8.18219e-06	0.726813	4.36383e-05	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	IFN_GAMMA_TYPE2	31	0.381827	0	1.17867e-07	0.773648	9.42933e-07	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	ANTIGEN_PRESENTATION_MHC1	17	0.31732	0	0.0006851	0.736809	0.00182693	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	T_CELL_CYTOTOXICITY	24	0.654521	0	1.78928e-08	0.83059	2.86285e-07	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	T_CELL_INFILTRATION_BROAD	23	0.127124	0	0.450752	0.545226	0.554771	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	ICI_CHECKPOINT_GENES	17	0.141226	0	0.759305	0.52137	0.759305	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	TIS_18GENE_AYERS	20	0.379232	0	0.000434618	0.726229	0.00139078	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	IFNG_6GENE_AYERS	6	1.88656	0	0.00425823	0.835472	0.0097331	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	CHEMOKINE_T_RECRUITMENT	11	0.970256	0	0.000276977	0.815197	0.00110791	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	EMT_CORE	20	0.00145121	0	0.605434	0.533221	0.645796	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	EPITHELIAL_IDENTITY	16	-0.110704	0	0.0370101	0.350068	0.0657958	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	NFKB_INFLAMMATORY	19	0.188103	0	0.00579297	0.682038	0.0115859	genes (NOT biological replicates; n=1 per group)
Cldn4KO_vs_WT_naive_lung	TARGET_GENES	6	-0.084007	0	0.278416	0.372788	0.404968	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	TIGHT_JUNCTION_CORE	34	-0.0116123	0	0.191797	0.435659	0.413496	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	CLAUDIN_FAMILY	20	0	0	0.385029	0.444188	0.616046	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	DESMOSOME_ADHERENS	16	0	0	0.777896	0.479739	0.825125	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	IFN_ALPHA_TYPE1	32	-0.107128	0	0.112982	0.419474	0.301285	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	IFN_GAMMA_TYPE2	31	-0.055879	0	0.825125	0.488594	0.825125	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	ANTIGEN_PRESENTATION_MHC1	17	-0.0030064	0	0.808715	0.48313	0.825125	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	T_CELL_CYTOTOXICITY	24	-0.470797	0	5.52961e-05	0.263496	0.000884738	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	T_CELL_INFILTRATION_BROAD	23	-0.246161	0	0.0626113	0.388438	0.250445	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	ICI_CHECKPOINT_GENES	17	-0.0774788	0	0.494712	0.452417	0.719581	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	TIS_18GENE_AYERS	20	-0.223169	0	0.0796119	0.387375	0.254758	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	IFNG_6GENE_AYERS	6	0.0980588	0	0.746378	0.537929	0.825125	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	CHEMOKINE_T_RECRUITMENT	11	0.473477	0	0.0134546	0.714071	0.0717581	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	EMT_CORE	20	0.0413387	0	0.350427	0.559994	0.616046	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	EPITHELIAL_IDENTITY	16	0.0219084	0	0.56064	0.541796	0.747519	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	NFKB_INFLAMMATORY	19	0.219928	0	0.00294108	0.696025	0.0235287	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIlow_vs_WT_VILI	TARGET_GENES	6	-0.0745938	0	0.206748	0.351945	0.413496	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	TIGHT_JUNCTION_CORE	34	0.000477793	0	0.800032	0.487512	0.800032	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	CLAUDIN_FAMILY	20	0	0	0.564191	0.462946	0.601804	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	DESMOSOME_ADHERENS	16	0	0	0.258626	0.58115	0.318309	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	IFN_ALPHA_TYPE1	32	0.172844	0	0.0666171	0.593206	0.0888228	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	IFN_GAMMA_TYPE2	31	0.314736	0	1.61205e-05	0.722653	6.44821e-05	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	ANTIGEN_PRESENTATION_MHC1	17	0.190743	0	0.0136259	0.67193	0.0242238	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	T_CELL_CYTOTOXICITY	24	0.316054	0	9.37129e-05	0.729162	0.000299881	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	T_CELL_INFILTRATION_BROAD	23	0.286556	0	1.59798e-05	0.758559	6.44821e-05	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	ICI_CHECKPOINT_GENES	17	0.462526	0	0.00447149	0.698124	0.00894299	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	TIS_18GENE_AYERS	20	0.19678	0	0.00156943	0.703153	0.00401648	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	IFNG_6GENE_AYERS	6	0.641878	0	0.0406694	0.740061	0.0650711	genes (NOT biological replicates; n=1 per group)
