gene	contrast	mean_log2ratio_KD_over_control	n_arrays_with_value	t_stat_vs_zero	p_onesample_t	q_onesample_BH	n_biological_replicates	caveat	log2ratio_GSM558700	log2ratio_GSM558701	log2ratio_GSM558702
ITGB3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.38343	3	-110.971	8.11954e-05	0.776409	3	reference arm is CLDN4-overexpressing, not parental	-1.3959	-1.3959	-1.3585
HSD17B1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.63465	3	59.9204	0.0002784	0.776409	3	reference arm is CLDN4-overexpressing, not parental	0.64625	0.6135	0.6442
GPR155	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.62713	3	-51.8952	0.000371111	0.776409	3	reference arm is CLDN4-overexpressing, not parental	-1.5922	-1.5995	-1.6897
PSKH1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.14583	3	50.0387	0.000399142	0.776409	3	reference arm is CLDN4-overexpressing, not parental	1.189	1.1375	1.111
UGCGL1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.83617	3	46.3106	0.000465947	0.776409	3	reference arm is CLDN4-overexpressing, not parental	1.8797	1.8718	1.757
NDUFA8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.636533	3	-42.3415	0.000557321	0.776409	3	reference arm is CLDN4-overexpressing, not parental	-0.6215	-0.6666	-0.6215
CYP8B1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.87277	3	-40.5491	0.000607633	0.776409	3	reference arm is CLDN4-overexpressing, not parental	-1.9434	-1.889	-1.7859
ASPN	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.841433	3	-39.9415	0.000626245	0.776409	3	reference arm is CLDN4-overexpressing, not parental	-0.8625	-0.7993	-0.8625
POR	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.656633	3	35.2938	0.000801827	0.776409	3	reference arm is CLDN4-overexpressing, not parental	0.6599	0.6871	0.6229
C10orf7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.02977	3	-34.5946	0.000834524	0.776409	3	reference arm is CLDN4-overexpressing, not parental	-1	-1.0893	-1
GADD45B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.581533	3	34.3176	0.000848035	0.776409	3	reference arm is CLDN4-overexpressing, not parental	0.6135	0.5558	0.5753
RAD54B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.65508	3	33.5501	0.000887223	0.776409	3	reference arm is CLDN4-overexpressing, not parental	1.5879	1.6261	1.75125
PTGIR	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.58765	3	33.431	0.000893549	0.776409	3	reference arm is CLDN4-overexpressing, not parental	1.52225	1.68	1.5607
