query	n_hits
CLDN4 AND knockdown	4
CLDN4 AND knockout	6
CLDN4 AND shRNA	5
CLDN4 AND siRNA	5
CLDN4 AND CRISPR	9
CLDN4 AND silencing	1
CLDN4 AND overexpression	4
claudin-4 AND knockdown	1
claudin 4 AND knockout	5
claudin-4 AND siRNA	2
Cldn4 AND mouse AND knockout	1
Cldn4 AND deficient	0
TACSTD2 AND knockdown	44
TACSTD2 AND knockout	185
TACSTD2 AND shRNA	129
TACSTD2 AND siRNA	56
TACSTD2 AND CRISPR	138
TACSTD2 AND silencing	30
TACSTD2 AND overexpression	49
TROP2 AND knockdown	0
TROP2 AND knockout	8
TROP2 AND shRNA	0
TROP2 AND siRNA	0
TROP2 AND CRISPR	1
TROP-2 AND knockdown	44
Trop2 AND depletion	0
Tacstd2 AND mouse AND knockout	145
Tacstd2 AND deficient	84
TROP2 AND sacituzumab	8
claudin AND knockout AND lung	4
tight junction AND knockdown AND interferon	1
