gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
TACSTD2	KDpooled_vs_mock	8.72187	11.3351	-2.61327	-21.0519	-33.5438	5.60908e-09	0.000100661	0.0238095	6	3
GPR158	KDpooled_vs_mock	7.49142	6.82026	0.671153	16.065	25.9428	3.35659e-08	0.000301186	0.0238095	6	3
STT3B	KDpooled_vs_mock	11.34	10.5028	0.837147	13.1072	21.165	1.3669e-07	0.000807504	0.0238095	6	3
MPZL3	KDpooled_vs_mock	10.0599	9.11318	0.946755	13.213	20.6247	2.4527e-07	0.000807504	0.0238095	6	3
NRBF2	KDpooled_vs_mock	9.75551	9.16704	0.588472	12.0985	19.6646	2.47395e-07	0.000807504	0.0238095	6	3
TXNIP	KDpooled_vs_mock	14.4631	12.8159	1.64714	11.9645	19.466	2.69978e-07	0.000807504	0.0238095	6	3
STK40	KDpooled_vs_mock	14.352	13.4788	0.873155	12.6859	21.1801	3.91387e-07	0.0010034	0.0275319	6	3
GOLGA7	KDpooled_vs_mock	13.1519	12.8903	0.261593	11.2734	17.8352	4.7807e-07	0.00107243	0.0238095	6	3
ZSCAN20	KDpooled_vs_mock	9.5425	8.9917	0.550803	11.0334	18.1961	6.10907e-07	0.00119658	0.0238095	6	3
ATF3	KDpooled_vs_mock	12.9474	10.5614	2.38601	11.9207	18.4551	6.66764e-07	0.00119658	0.0238095	6	3
POLA2	KDpooled_vs_mock	11.6921	12.4965	-0.804417	-13.0265	-19.8607	7.82532e-07	0.00127667	0.0238095	6	3
RP9	KDpooled_vs_mock	14.0264	13.4941	0.532358	10.1774	16.7626	1.00338e-06	0.00150056	0.0238095	6	3
TMEM49	KDpooled_vs_mock	14.1875	13.2926	0.894875	9.8689	16.1858	1.12013e-06	0.00154629	0.0238095	6	3
ZNF556	KDpooled_vs_mock	9.58315	6.43932	3.14383	12.8326	22.0351	1.87606e-06	0.00196878	0.0238095	6	3
PMAIP1	KDpooled_vs_mock	11.3346	9.45279	1.88184	11.0058	16.8314	1.89105e-06	0.00196878	0.0238095	6	3
LOC344887	KDpooled_vs_mock	11.191	8.21173	2.97931	8.91616	14.4376	1.91639e-06	0.00196878	0.0238095	6	3
VTI1B	KDpooled_vs_mock	14.8284	14.4027	0.425655	9.22124	14.5047	2.1225e-06	0.00196878	0.0238095	6	3
IDS	KDpooled_vs_mock	11.7028	11.0954	0.607342	11.3513	19.3272	2.14184e-06	0.00196878	0.0238095	6	3
GULP1	KDpooled_vs_mock	11.8453	9.45084	2.39446	8.76289	14.1669	2.14567e-06	0.00196878	0.0238095	6	3
LOC284120	KDpooled_vs_mock	9.83104	9.29853	0.532508	8.6268	13.9626	2.39131e-06	0.00196878	0.0238095	6	3
IL23A	KDpooled_vs_mock	11.7297	10.3249	1.40485	8.73212	14.2868	2.4233e-06	0.00196878	0.0238095	6	3
NR1D1	KDpooled_vs_mock	11.6626	10.0645	1.59809	8.69121	13.8173	2.54762e-06	0.00196878	0.0238095	6	3
YPEL5	KDpooled_vs_mock	11.1478	10.3361	0.811783	10.4504	17.699	2.5536e-06	0.00196878	0.0238095	6	3
NFKBIL2	KDpooled_vs_mock	9.49298	10.1943	-0.701343	-8.81348	-13.9138	2.63843e-06	0.00196878	0.0238095	6	3
GADD45B	KDpooled_vs_mock	13.8359	12.0304	1.80548	10.6193	18.04	2.74265e-06	0.00196878	0.0238095	6	3
WIPI1	KDpooled_vs_mock	12.2664	11.462	0.804405	8.64801	13.6528	2.99375e-06	0.00206638	0.0238095	6	3
ZCCHC9	KDpooled_vs_mock	11.7042	11.5132	0.190995	9.80504	16.5672	3.29092e-06	0.00218736	0.0238095	6	3
C15orf62	KDpooled_vs_mock	8.2376	7.10216	1.13544	11.1957	19.1983	3.54751e-06	0.00225162	0.0238095	6	3
USP36	KDpooled_vs_mock	8.75364	7.45564	1.298	8.20856	13.4574	3.76109e-06	0.00225162	0.0238095	6	3
RHOT2	KDpooled_vs_mock	11.5572	12.2119	-0.654755	-8.41697	-13.2427	3.87223e-06	0.00225162	0.0238095	6	3
GADD45A	KDpooled_vs_mock	14.523	13.4356	1.08741	9.1733	14.1539	4.05798e-06	0.00225162	0.0238095	6	3
MOBKL1B	KDpooled_vs_mock	11.4377	10.9208	0.516888	8.03257	13.1073	4.07965e-06	0.00225162	0.0238095	6	3
STX1A	KDpooled_vs_mock	12.2663	11.3187	0.947657	7.94585	12.756	4.21784e-06	0.00225162	0.0238095	6	3
SLC31A2	KDpooled_vs_mock	11.3323	9.99547	1.33684	8.76052	14.6659	4.34679e-06	0.00225162	0.0238095	6	3
SNHG12	KDpooled_vs_mock	13.873	12.958	0.915022	8.23036	12.9456	4.52144e-06	0.00225162	0.0238095	6	3
SCRN2	KDpooled_vs_mock	11.1278	11.6135	-0.485757	-12.1291	-18.0265	4.61885e-06	0.00225162	0.0238095	6	3
FLJ43663	KDpooled_vs_mock	8.65681	7.15228	1.50453	8.00204	12.6865	4.64227e-06	0.00225162	0.0238095	6	3
YRDC	KDpooled_vs_mock	13.0507	12.4703	0.580395	10.0029	17.0621	4.79309e-06	0.0022636	0.0238095	6	3
ALB	KDpooled_vs_mock	10.3721	8.46848	1.90362	9.37299	15.895	5.09843e-06	0.00234606	0.0238095	6	3
PEX13	KDpooled_vs_mock	10.9267	10.5211	0.405602	10.2048	17.4746	5.35811e-06	0.00234908	0.0238095	6	3
KRT80	KDpooled_vs_mock	11.908	11.1228	0.785187	9.49928	16.15	5.36678e-06	0.00234908	0.0238095	6	3
MYC	KDpooled_vs_mock	15.7659	15.1829	0.582977	7.64495	12.4715	5.64741e-06	0.00239634	0.0238095	6	3
HTT	KDpooled_vs_mock	9.85033	10.5251	-0.674762	-7.73582	-12.2688	5.7861e-06	0.00239634	0.0238095	6	3
TNFRSF11B	KDpooled_vs_mock	11.0372	8.99863	2.03857	9.18436	15.5946	6.08653e-06	0.00239634	0.0238095	6	3
ITFG3	KDpooled_vs_mock	12.5683	12.1844	0.383883	8.40183	14.1054	6.23326e-06	0.00239634	0.0238095	6	3
MXD1	KDpooled_vs_mock	11.4361	10.247	1.18906	9.60498	16.3972	6.26972e-06	0.00239634	0.0238095	6	3
CD55	KDpooled_vs_mock	9.13122	7.53408	1.59713	7.47084	12.0758	6.27593e-06	0.00239634	0.0238095	6	3
GPAA1	KDpooled_vs_mock	10.0816	10.7428	-0.661232	-7.62911	-12.6229	7.23877e-06	0.0027064	0.0238095	6	3
TRIB3	KDpooled_vs_mock	16.479	15.2285	1.25051	7.54859	12.4671	7.44008e-06	0.00272489	0.0238095	6	3
IFRD1	KDpooled_vs_mock	13.8252	12.4493	1.37588	9.87704	16.9725	7.79735e-06	0.00276722	0.0238095	6	3
C1orf54	KDpooled_vs_mock	8.86936	7.97279	0.896568	7.31376	11.975	7.87811e-06	0.00276722	0.0238095	6	3
DDIT3	KDpooled_vs_mock	11.797	9.67504	2.12196	9.38299	16.0535	8.01823e-06	0.00276722	0.0238095	6	3
KCNG1	KDpooled_vs_mock	11.4073	10.4391	0.968155	7.16303	11.581	8.31356e-06	0.002815	0.0238095	6	3
MGLL	KDpooled_vs_mock	11.3846	9.0336	2.35095	8.16727	13.768	8.67248e-06	0.00288216	0.0238095	6	3
LRRC8A	KDpooled_vs_mock	14.2152	13.4278	0.78745	7.49903	12.4579	8.92228e-06	0.00291126	0.0275319	6	3
