sample	patient	gene	rho_lib
LUAD-5 R1	Lung5	STAT1	0.03817729948188703
LUAD-5 R1	Lung5	IFIT1	0.08996451114467048
LUAD-5 R1	Lung5	IFITM1	0.032654537546060854
LUAD-5 R1	Lung5	IFITM3	-0.0039811021770144945
LUAD-5 R1	Lung5	MX1	0.03741445323883837
LUAD-5 R1	Lung5	OAS1	0.037506982323186173
LUAD-5 R1	Lung5	OAS2	0.044041080191945636
LUAD-5 R1	Lung5	OAS3	0.027897699081291135
LUAD-5 R1	Lung5	OASL	0.06730200255792233
LUAD-5 R1	Lung5	IFI27	0.009186070051815327
LUAD-5 R1	Lung5	CXCL9	0.07869129236992665
LUAD-5 R1	Lung5	CXCL10	0.08191059580608577
LUAD-5 R1	Lung5	IDO1	0.08401519799297906
LUAD-5 R1	Lung5	CD274	0.07913167936120474
LUAD-5 R1	Lung5	DDX58	0.06395084488014145
LUAD-5 R1	Lung5	IFIH1	0.06797717504101725
LUAD-5 R1	Lung5	NLRC5	0.07662544433998063
LUAD-5 R2	Lung5	STAT1	0.0466879376844265
LUAD-5 R2	Lung5	IFIT1	0.08000149942359203
LUAD-5 R2	Lung5	IFITM1	0.02884625243826087
LUAD-5 R2	Lung5	IFITM3	-0.00492459098324171
LUAD-5 R2	Lung5	MX1	0.0374779170765606
LUAD-5 R2	Lung5	OAS1	0.04933845540783723
LUAD-5 R2	Lung5	OAS2	0.04180049317697724
LUAD-5 R2	Lung5	OAS3	0.02484772908807166
LUAD-5 R2	Lung5	OASL	0.0661451249160605
LUAD-5 R2	Lung5	IFI27	0.025291174772867412
LUAD-5 R2	Lung5	CXCL9	0.06948872373815582
LUAD-5 R2	Lung5	CXCL10	0.07429933705061101
LUAD-5 R2	Lung5	IDO1	0.06913727779619186
LUAD-5 R2	Lung5	CD274	0.07436462635943547
LUAD-5 R2	Lung5	DDX58	0.05434593191608583
LUAD-5 R2	Lung5	IFIH1	0.05522889117375433
LUAD-5 R2	Lung5	NLRC5	0.07354648093472674
LUAD-5 R3	Lung5	STAT1	0.032451925095268175
LUAD-5 R3	Lung5	IFIT1	0.06007944175212159
LUAD-5 R3	Lung5	IFITM1	0.005900199352279347
LUAD-5 R3	Lung5	IFITM3	-0.01572089322148427
LUAD-5 R3	Lung5	MX1	0.04457152864965912
LUAD-5 R3	Lung5	OAS1	0.036895669580654225
LUAD-5 R3	Lung5	OAS2	0.02228214059374208
LUAD-5 R3	Lung5	OAS3	0.00903237528078318
LUAD-5 R3	Lung5	OASL	0.04450835867435257
LUAD-5 R3	Lung5	IFI27	0.02288368714760183
LUAD-5 R3	Lung5	CXCL9	0.05371445737420865
LUAD-5 R3	Lung5	CXCL10	0.04970180826329221
LUAD-5 R3	Lung5	IDO1	0.05178142912635093
LUAD-5 R3	Lung5	CD274	0.04597330759864572
LUAD-5 R3	Lung5	DDX58	0.05118344969453652
LUAD-5 R3	Lung5	IFIH1	0.04362797567911466
LUAD-5 R3	Lung5	NLRC5	0.05500929035342986
LUSC-6	Lung6	STAT1	0.08488982064186947
LUSC-6	Lung6	IFIT1	0.354513118165819
LUSC-6	Lung6	IFITM1	0.2751096407660907
LUSC-6	Lung6	IFITM3	-0.0064248707775957335
LUSC-6	Lung6	MX1	0.18906304468866425
LUSC-6	Lung6	OAS1	0.27943875472194624
LUSC-6	Lung6	OAS2	0.2298964086232694
LUSC-6	Lung6	OAS3	0.18666950061682516
LUSC-6	Lung6	OASL	0.3398828898738767
LUSC-6	Lung6	IFI27	0.31012685788920574
LUSC-6	Lung6	CXCL9	0.35592546472059267
LUSC-6	Lung6	CXCL10	0.35384286590012554
LUSC-6	Lung6	IDO1	0.3644921032337633
LUSC-6	Lung6	CD274	0.3459163129187161
LUSC-6	Lung6	DDX58	0.2801157159859254
LUSC-6	Lung6	IFIH1	0.28258776362061594
LUSC-6	Lung6	NLRC5	0.28041572860704467
LUAD-9 R1	Lung9	STAT1	-0.005149919716451867
LUAD-9 R1	Lung9	IFIT1	0.05570746832176646
LUAD-9 R1	Lung9	IFITM1	0.06975161236726797
LUAD-9 R1	Lung9	IFITM3	0.05652486745485925
LUAD-9 R1	Lung9	MX1	0.02097129360138671
LUAD-9 R1	Lung9	OAS1	0.05645763050951441
LUAD-9 R1	Lung9	OAS2	0.029234175749571673
LUAD-9 R1	Lung9	OAS3	0.011137062529945726
LUAD-9 R1	Lung9	OASL	0.04896262883264263
LUAD-9 R1	Lung9	IFI27	0.04077591758571097
LUAD-9 R1	Lung9	CXCL9	0.04927457732833209
LUAD-9 R1	Lung9	CXCL10	0.027991327726363688
