patient	same_cell	same_cell_within_count_quintile	same_cell_library_residual	same_cell_within_fov	neighbor_tumor_50um	neighbor_given_own_ifn	neighbor_library_residual	neighbor_given_own_ifn_library_residual	stat1_same_cell	cldn4_vs_log_ncounts	ifn_vs_log_ncounts	cldn4_vs_neighbor_log_ncounts
Lung5	0.0962	0.0139	-0.0038	0.1123	0.0323	0.0000	0.0318	0.0320	0.0371	0.1559	0.5394	0.0189
Lung6	0.0972	0.0047	0.0034	0.0677	0.0828	0.0477	0.0186	0.0183	0.0519	0.1873	0.5074	0.0871
Lung9	0.1270	0.0198	0.0045	0.1222	0.0987	0.0307	0.0191	0.0140	0.0492	0.2085	0.5428	0.1204
Lung12	0.2381	-0.0065	-0.0006	0.2106	0.1707	0.1136	0.0161	0.0168	0.0885	0.3914	0.6362	0.2018
Lung13	0.0878	-0.0404	-0.0553	0.0879	0.0656	0.0389	-0.0280	-0.0090	0.0024	0.2033	0.6014	0.1101
patient_mean	0.1293	-0.0017	-0.0104	0.1201	0.0900	0.0462	0.0115	0.0144	0.0458	0.2293	0.5654	0.1077
