gene	present_human
ANGPTL2	True
ARG1	True
B2M	True
BIRC3	True
C1QA	True
C1QB	True
CCL3	True
CCL4	True
CCL5	True
CD14	True
CD163	True
CD19	True
CD2	True
CD274	True
CD3D	True
CD3E	True
CD3G	True
CD4	True
CD45	False
CD47	True
CD68	True
CD74	True
CD79A	True
CD80	True
CD86	True
CD8A	True
CD8B	True
CDH1	True
CLDN1	True
CLDN10	True
CLDN11	True
CLDN12	True
CLDN14	True
CLDN15	True
CLDN16	True
CLDN17	True
CLDN18	True
CLDN19	True
CLDN2	True
CLDN20	True
CLDN22	True
CLDN23	True
CLDN24	True
CLDN25	True
CLDN3	True
CLDN34	True
CLDN4	True
CLDN5	True
CLDN6	True
CLDN7	True
CLDN8	True
CLDN9	True
CLEC4C	True
CSF1R	True
CST3	True
CTLA4	True
CXCL10	True
CXCL2	True
CXCL8	True
CXCL9	True
DCT	True
EPCAM	True
F11R	True
FASLG	True
FCGR1A	True
FCGR3A	True
FGFBP2	True
FOXP3	True
GNLY	True
GZMA	True
GZMB	True
GZMH	True
GZMK	True
HAVCR2	True
HLA-A	True
HLA-B	True
HLA-C	True
HLA-DPA1	True
HLA-DPB1	True
HLA-DQA1	True
HLA-DQB1	True
HLA-DRA	True
HLA-DRB1	True
HLA-E	True
HLA-F	True
HLA-G	True
ICAM1	True
IDO1	True
IFIT1	True
IFNG	True
IGHM	True
IL10	True
IL1B	True
IL2RA	True
IL3RA	True
IL6	True
IL6ST	True
IRF1	True
IRF9	True
ISG15	True
ITGAM	True
ITGAX	True
JAK1	True
JAK2	True
JAK3	True
KLRC1	True
KLRD1	True
KLRF1	True
KRT18	True
KRT19	True
KRT8	True
LAG3	True
LGALS9	True
LILRA1	True
LILRA2	True
LILRA4	True
LILRA5	True
LILRA6	True
LILRB1	True
LILRB2	True
LILRB3	True
LILRB4	True
LILRB5	True
LYZ	True
MITF	True
MLANA	True
MRC1	True
MS4A1	True
MSR1	True
MX1	True
NCAM1	True
NECTIN2	True
NFKB1	True
NFKB2	True
NFKBIA	True
NFKBIZ	True
NKG7	True
NLRC5	True
OCLN	True
PDCD1	True
PMEL	True
PRF1	True
PTGS2	True
PTPRC	True
PVR	True
REL	True
RELA	True
RELB	True
S100A8	True
S100A9	True
SIRPA	True
SOCS1	True
SOCS3	True
SOD2	True
STAT1	True
STAT2	True
STAT3	True
STAT4	True
STAT5A	True
STAT5B	True
STAT6	True
TACSTD2	True
TAP1	True
TAP2	True
TAPBP	True
TGFB1	True
TIGIT	True
TJP1	True
TNF	True
TNFAIP3	True
TOX	True
TOX2	True
TRAC	True
TYR	True
VSIR	True
