gsm	library	short	tissue	treatment	title	n_barcodes	n_qc	qc_pass_pct	median_human_umi_qc	median_human_frac_all	species	tumor_model	host	alignment	all_n	all_frac	all_cldn4_mean	all_claudin_mean_mean	all_nfkb_mean	all_stat_mean	all_mhci_mean	all_mhcii_mean	all_cytotox_mean	all_exhaust_mean	all_suppress_myeloid_mean	all_lilrb2_mean	all_lilrb1_mean	all_lilrb5_mean	all_barrier_mean	all_CLDN4_pct	all_CLDN4_mean_log1p_cp10k	all_CLDN18_pct	all_CLDN18_mean_log1p_cp10k	all_LILRB2_pct	all_LILRB2_mean_log1p_cp10k	all_LILRB1_pct	all_LILRB1_mean_log1p_cp10k	all_LILRB5_pct	all_LILRB5_mean_log1p_cp10k	all_HLA-A_pct	all_HLA-A_mean_log1p_cp10k	all_B2M_pct	all_B2M_mean_log1p_cp10k	all_CD3D_pct	all_CD3D_mean_log1p_cp10k	all_NKG7_pct	all_NKG7_mean_log1p_cp10k	all_LYZ_pct	all_LYZ_mean_log1p_cp10k	myeloid_n	myeloid_frac	myeloid_cldn4_mean	myeloid_claudin_mean_mean	myeloid_nfkb_mean	myeloid_stat_mean	myeloid_mhci_mean	myeloid_mhcii_mean	myeloid_cytotox_mean	myeloid_exhaust_mean	myeloid_suppress_myeloid_mean	myeloid_lilrb2_mean	myeloid_lilrb1_mean	myeloid_lilrb5_mean	myeloid_barrier_mean	myeloid_CLDN4_pct	myeloid_CLDN4_mean_log1p_cp10k	myeloid_CLDN18_pct	myeloid_CLDN18_mean_log1p_cp10k	myeloid_LILRB2_pct	myeloid_LILRB2_mean_log1p_cp10k	myeloid_LILRB1_pct	myeloid_LILRB1_mean_log1p_cp10k	myeloid_LILRB5_pct	myeloid_LILRB5_mean_log1p_cp10k	myeloid_HLA-A_pct	myeloid_HLA-A_mean_log1p_cp10k	myeloid_B2M_pct	myeloid_B2M_mean_log1p_cp10k	myeloid_CD3D_pct	myeloid_CD3D_mean_log1p_cp10k	myeloid_NKG7_pct	myeloid_NKG7_mean_log1p_cp10k	myeloid_LYZ_pct	myeloid_LYZ_mean_log1p_cp10k	tnk_n	tnk_frac	tnk_cldn4_mean	tnk_claudin_mean_mean	tnk_nfkb_mean	tnk_stat_mean	tnk_mhci_mean	tnk_mhcii_mean	tnk_cytotox_mean	tnk_exhaust_mean	tnk_suppress_myeloid_mean	tnk_lilrb2_mean	tnk_lilrb1_mean	tnk_lilrb5_mean	tnk_barrier_mean	tnk_CLDN4_pct	tnk_CLDN4_mean_log1p_cp10k	tnk_CLDN18_pct	tnk_CLDN18_mean_log1p_cp10k	tnk_LILRB2_pct	tnk_LILRB2_mean_log1p_cp10k	tnk_LILRB1_pct	tnk_LILRB1_mean_log1p_cp10k	tnk_LILRB5_pct	tnk_LILRB5_mean_log1p_cp10k	tnk_HLA-A_pct	tnk_HLA-A_mean_log1p_cp10k	tnk_B2M_pct	tnk_B2M_mean_log1p_cp10k	tnk_CD3D_pct	tnk_CD3D_mean_log1p_cp10k	tnk_NKG7_pct	tnk_NKG7_mean_log1p_cp10k	tnk_LYZ_pct	tnk_LYZ_mean_log1p_cp10k	n_myeloid	n_T	n_NK	n_B	n_pDC	n_melanoma	n_epithelial	n_other
GSM9457798	ND_anti_B2	Tumor anti-LILRB2	tumor	anti-LILRB2	ND tumor LILRB2 treatment	13779	6940	50.36649974599028	1488.0	0.962837815284729	Homo sapiens CD45+ in NSG-SGM3 humanized mouse	SK-MEL-5 (human melanoma cell line)	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	6940		0.0003347096680220678	0.001055508979692819	0.15132444875116222	0.3070818540986402	1.821935765303521	0.5255729370066086	0.2066474697450632	0.11657511685687716	0.08053046787742751	0.0020717591734372228	0.01588156945166052	0.00019771442976739977	0.013745141982151899	0.043227665706051875	0.0003347096499055624	0.0	0.0	0.11527377521613834	0.0020717589650303125	1.080691642651297	0.015881570056080818	0.014409221902017292	0.00019771442748606205	91.78674351585015	2.852916955947876	99.49567723342939	4.514173984527588	52.319884726224785	1.3105190992355347	15.230547550432277	0.3690917193889618	0.4899135446685879	0.013171828351914883	50	0.7204610951008645	0.0	0.0	0.313489905744791	0.26385006606578826	1.6701148164272308	1.6717461529374122	0.03385419279336929	0.024455775022506714	0.22855739295482635	0.19591898441314698	0.14973627805709838	0.0	0.017185473740100862	0.0	0.0	0.0	0.0	10.0	0.1959189772605896	10.0	0.14973628520965576	0.0	0.0	78.0	2.356227159500122	98.0	4.372339248657227	6.0	0.10080518573522568	4.0	0.12582573294639587	52.0	1.5328397750854492	4164	60.0	0.00026632697964722326	0.0007837012959921538	0.1562664734940407	0.34876456386503635	1.9692373490900403	0.3986371095031929	0.29291584530145676	0.1613846725992694	0.09003135295518594	0.0	0.001074016809921558	0.0	0.007972787441211635	0.024015369836695485	0.00026632696972228587	0.0	0.0	0.0	0.0	0.04803073967339097	0.0010740167926996946	0.0	0.0	95.07684918347744	3.1638715267181396	100.0	4.802070617675781	77.73775216138328	1.9950041770935059	21.2776176753122	0.5261191129684448	0.07204610951008646	0.0012638234766200185	50	3911	253	2173	8	153	7	385
GSM9457799	ND_Ctrl	Tumor isotype	tumor	isotype	ND tumor Isotype	9086	4261	46.89632401496808	2509.0	0.9717161059379578	Homo sapiens CD45+ in NSG-SGM3 humanized mouse	SK-MEL-5 (human melanoma cell line)	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	4261		0.0002539378184999163	0.001598361063887608	0.1003923784907338	0.2629914417980045	1.619397184786397	0.5731843977561581	0.07859194316485767	0.07316629321075499	0.05864754982416799	0.005382090170488087	0.0727637556342837	0.0	0.018835538822953843	0.04693733865289838	0.0002539378183428198	0.0	0.0	0.30509270124383947	0.005382090341299772	4.318235156066651	0.07276375591754913	0.0	0.0	85.35555034029571	2.2706997394561768	99.60103262145036	4.329572677612305	25.580849565829617	0.6905715465545654	5.961042008918095	0.17468708753585815	0.5867167331612297	0.018856776878237724	22	0.5163107251818821	0.0	0.003034314987334338	0.24300043217160486	0.2771823507818309	1.8479519906369122	2.0588008016347885	0.0	0.0480943505059589	0.24291446805000305	0.4287837120619687	0.43347916819832544	0.0	0.0	0.0	0.0	0.0	0.0	22.727272727272727	0.42878371477127075	22.727272727272727	0.4334791302680969	0.0	0.0	86.36363636363636	2.736572265625	100.0	4.508098602294922	0.0	0.0	0.0	0.0	68.18181818181817	2.8317439556121826	1228	28.819525932879607	0.0	0.0006758029897263462	0.13925333252837974	0.3372223233191315	1.934169258449093	0.3741459935685128	0.2515702873031557	0.22268389014326984	0.08315236495765296	0.0	0.007520449569248609	0.0	0.009954904554963888	0.0	0.0	0.0	0.0	0.0	0.0	0.40716612377850164	0.007520449813455343	0.0	0.0	94.70684039087948	3.2115209102630615	99.9185667752443	4.9721174240112305	80.61889250814332	2.256526231765747	18.241042345276874	0.5605418682098389	0.24429967426710095	0.0055319033563137054	22	1158	70	2768	5	157	2	79
GSM9457800	PB_anti_B2	PB anti-LILRB2	PB	anti-LILRB2	PB LILRB2 treatment	2596	1449	55.81664098613251	5006.0	0.9880348443984985	Homo sapiens CD45+ in NSG-SGM3 humanized mouse	SK-MEL-5 (human melanoma cell line)	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	1449		0.0	0.001928846614038105	0.28561488875773466	0.470083206789176	2.0160150574848026	0.5243815835809568	0.21842589662677053	0.1727096291581584	0.189497812253245	0.020676309195282214	0.008321559762362367	0.0	0.024470149789434865	0.0	0.0	0.0	0.0	1.518288474810214	0.02067630924284458	0.8971704623878536	0.008321559056639671	0.0	0.0	95.8592132505176	3.0972983837127686	99.58592132505176	4.600300312042236	71.91166321601105	1.5662612915039062	17.874396135265698	0.38388535380363464	2.2084195997239475	0.034343309700489044	69	4.761904761904762	0.0	0.0017128533859183822	0.446145746263041	0.33858791350022605	2.03336899522422	1.0536910666935686	0.024625061646751736	0.023325703120318012	0.3910543095806371	0.15962913848351742	0.05675693180250085	0.0	0.09005396019505418	0.0	0.0	0.0	0.0	13.043478260869565	0.15962913632392883	7.246376811594203	0.05675693228840828	0.0	0.0	94.20289855072464	3.17366623878479	100.0	4.7125091552734375	0.0	0.0	7.246376811594203	0.08231313526630402	27.536231884057973	0.5119031667709351	1202	82.95376121463079	0.0	0.002094141535380369	0.27129350937964913	0.4921733412005243	2.0352617626182252	0.4414607798851122	0.2536591581795706	0.1995381933827567	0.17032566449036218	0.0	0.001962128722925551	0.0	0.018321584197328412	0.0	0.0	0.0	0.0	0.0	0.0	0.16638935108153077	0.001962128793820739	0.0	0.0	96.92179700499169	3.1336758136749268	99.91680532445923	4.622159481048584	85.85690515806988	1.8719171285629272	19.966722129783694	0.4334905743598938	0.4159733777038269	0.004907893482595682	69	1153	49	48	42	5	5	78
GSM9457801	PB_Ctrl	PB isotype	PB	isotype	PB Isotype	4835	2916	60.310237849017575	3426.0	0.9765258431434631	Homo sapiens CD45+ in NSG-SGM3 humanized mouse	SK-MEL-5 (human melanoma cell line)	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	2916		0.0003555139886989515	0.0017990696688523753	0.20177866594255256	0.4631111754413658	2.0883515013691003	0.42740023806844474	0.22589951212963777	0.1553062551510514	0.1368010707700367	0.0029463056265408446	0.008832118679630086	0.0	0.016012709633803662	0.034293552812071325	0.00035551399923861027	0.0	0.0	0.17146776406035666	0.0029463055543601513	0.6172839506172839	0.008832119405269623	0.0	0.0	98.52537722908093	3.3289201259613037	99.8971193415638	4.888399124145508	88.10013717421124	2.2258613109588623	14.951989026063101	0.40420711040496826	0.17146776406035666	0.0049445051699876785	9	0.30864197530864196	0.0	0.0	0.16475913673639297	0.4186616407500373	2.043458938598633	1.1615654660595789	0.0	0.027358993887901306	0.20220875905619728	0.11773237917158338	0.0	0.0	0.012296762731340196	0.0	0.0	0.0	0.0	11.11111111111111	0.11773237586021423	0.0	0.0	0.0	0.0	100.0	3.123778820037842	100.0	4.72986364364624	0.0	0.0	0.0	0.0	44.44444444444444	1.4943411350250244	2777	95.23319615912207	0.00037330889126616583	0.001715972287151768	0.19901510974379552	0.4636768508389952	2.092921443871126	0.36486763830156177	0.2272478442774602	0.1591153264067179	0.13734817729714882	0.0	0.0005585092583018582	0.0	0.01564445205738444	0.036010082823190494	0.00037330889608711004	0.0	0.0	0.0	0.0	0.036010082823190494	0.0005585092585533857	0.0	0.0	98.70363701836514	3.3438210487365723	99.89196975153043	4.904662609100342	91.78970111631257	2.321260690689087	15.052214620093626	0.40515339374542236	0.036010082823190494	0.0003489763184916228	9	2651	126	85	4	0	0	41
