gene	library	present	n	pct_pos	mean_log1p_cp10k
CLDN1	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN1	Tumor isotype	True	4261	0.0	0.0
CLDN1	PB anti-LILRB2	True	1449	0.06901311249137336	0.00046372870565392077
CLDN1	PB isotype	True	2916	0.0	0.0
CLDN2	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN2	Tumor isotype	True	4261	0.0	0.0
CLDN2	PB anti-LILRB2	True	1449	0.06901311249137336	0.00067361124092713
CLDN2	PB isotype	True	2916	0.0	0.0
CLDN3	Tumor anti-LILRB2	True	6940	0.014409221902017292	0.0001266072504222393
CLDN3	Tumor isotype	True	4261	0.16428068528514433	0.0012274817563593388
CLDN3	PB anti-LILRB2	True	1449	0.0	0.0
CLDN3	PB isotype	True	2916	0.034293552812071325	0.0004972185706719756
CLDN4	Tumor anti-LILRB2	True	6940	0.043227665706051875	0.0003347096499055624
CLDN4	Tumor isotype	True	4261	0.04693733865289838	0.0002539378183428198
CLDN4	PB anti-LILRB2	True	1449	0.0	0.0
CLDN4	PB isotype	True	2916	0.034293552812071325	0.00035551399923861027
CLDN5	Tumor anti-LILRB2	True	6940	0.014409221902017292	0.00010411244147690013
CLDN5	Tumor isotype	True	4261	0.0	0.0
CLDN5	PB anti-LILRB2	True	1449	0.13802622498274672	0.00121237151324749
CLDN5	PB isotype	True	2916	0.0	0.0
CLDN6	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN6	Tumor isotype	True	4261	0.04693733865289838	0.000229165525524877
CLDN6	PB anti-LILRB2	True	1449	0.0	0.0
CLDN6	PB isotype	True	2916	0.0	0.0
CLDN7	Tumor anti-LILRB2	True	6940	0.05763688760806917	0.0009801308624446392
CLDN7	Tumor isotype	True	4261	0.11734334663224597	0.0013436786830425262
CLDN7	PB anti-LILRB2	True	1449	0.27605244996549344	0.001543502788990736
CLDN7	PB isotype	True	2916	0.034293552812071325	0.0004625752626452595
CLDN8	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN8	Tumor isotype	True	4261	0.0	0.0
CLDN8	PB anti-LILRB2	True	1449	0.0	0.0
CLDN8	PB isotype	True	2916	0.0	0.0
CLDN9	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN9	Tumor isotype	True	4261	0.0	0.0
CLDN9	PB anti-LILRB2	True	1449	0.0	0.0
CLDN9	PB isotype	True	2916	0.034293552812071325	0.0003098703164141625
CLDN10	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN10	Tumor isotype	True	4261	0.0	0.0
CLDN10	PB anti-LILRB2	True	1449	0.0	0.0
CLDN10	PB isotype	True	2916	0.0	0.0
CLDN11	Tumor anti-LILRB2	True	6940	0.028818443804034585	0.00031250269967131317
CLDN11	Tumor isotype	True	4261	0.04693733865289838	0.0005762542132288218
CLDN11	PB anti-LILRB2	True	1449	0.0	0.0
CLDN11	PB isotype	True	2916	0.06858710562414265	0.0010405093198642135
CLDN12	Tumor anti-LILRB2	True	6940	0.6772334293948127	0.005995511543005705
CLDN12	Tumor isotype	True	4261	1.854024876789486	0.016562486067414284
CLDN12	PB anti-LILRB2	True	1449	0.3450655624568668	0.0030493680387735367
