gene	library	lineage	n	pct_pos	mean_log1p_cp10k
LILRA1	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRA1	Tumor anti-LILRB2	B	2173	0.04601932811780948	0.00011087816528743133
LILRA1	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRA1	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRA1	Tumor anti-LILRB2	other	385	0.2597402597402597	0.0028036064468324184
LILRA1	Tumor anti-LILRB2	myeloid	50	4.0	0.055460281670093536
LILRA1	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRA1	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRA1	Tumor isotype	B	2768	0.0361271676300578	0.0003316706570331007
LILRA1	Tumor isotype	T	1158	0.0	0.0
LILRA1	Tumor isotype	other	79	0.0	0.0
LILRA1	Tumor isotype	melanoma	157	0.0	0.0
LILRA1	Tumor isotype	myeloid	22	9.090909090909092	0.1855478286743164
LILRA1	Tumor isotype	NK	70	0.0	0.0
LILRA1	Tumor isotype	pDC	5	0.0	0.0
LILRA1	Tumor isotype	epithelial	2	0.0	0.0
LILRA1	PB anti-LILRB2	T	1153	0.0	0.0
LILRA1	PB anti-LILRB2	other	78	0.0	0.0
LILRA1	PB anti-LILRB2	B	48	0.0	0.0
LILRA1	PB anti-LILRB2	myeloid	69	10.144927536231885	0.10646585375070572
LILRA1	PB anti-LILRB2	pDC	42	0.0	0.0
LILRA1	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRA1	PB anti-LILRB2	NK	49	0.0	0.0
LILRA1	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRA1	PB isotype	T	2651	0.0	0.0
LILRA1	PB isotype	NK	126	0.0	0.0
LILRA1	PB isotype	B	85	0.0	0.0
LILRA1	PB isotype	other	41	0.0	0.0
LILRA1	PB isotype	myeloid	9	22.22222222222222	0.3450906276702881
LILRA1	PB isotype	pDC	4	0.0	0.0
LILRA2	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRA2	Tumor anti-LILRB2	B	2173	0.04601932811780948	0.0003331114712636918
LILRA2	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRA2	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRA2	Tumor anti-LILRB2	other	385	0.2597402597402597	0.007878351025283337
LILRA2	Tumor anti-LILRB2	myeloid	50	12.0	0.21925579011440277
LILRA2	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRA2	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRA2	Tumor isotype	B	2768	0.0361271676300578	0.000797934946604073
LILRA2	Tumor isotype	T	1158	0.0	0.0
LILRA2	Tumor isotype	other	79	0.0	0.0
LILRA2	Tumor isotype	melanoma	157	0.0	0.0
LILRA2	Tumor isotype	myeloid	22	13.636363636363635	0.17516948282718658
LILRA2	Tumor isotype	NK	70	0.0	0.0
LILRA2	Tumor isotype	pDC	5	0.0	0.0
LILRA2	Tumor isotype	epithelial	2	0.0	0.0
LILRA2	PB anti-LILRB2	T	1153	0.0	0.0
LILRA2	PB anti-LILRB2	other	78	1.282051282051282	0.016704868525266647
LILRA2	PB anti-LILRB2	B	48	2.083333333333333	0.018973274156451225
LILRA2	PB anti-LILRB2	myeloid	69	17.391304347826086	0.16804446280002594
LILRA2	PB anti-LILRB2	pDC	42	0.0	0.0
LILRA2	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRA2	PB anti-LILRB2	NK	49	0.0	0.0
LILRA2	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRA2	PB isotype	T	2651	0.0	0.0
LILRA2	PB isotype	NK	126	0.0	0.0
LILRA2	PB isotype	B	85	1.1764705882352942	0.019868411123752594
LILRA2	PB isotype	other	41	0.0	0.0
LILRA2	PB isotype	myeloid	9	22.22222222222222	0.22256094217300415
LILRA2	PB isotype	pDC	4	0.0	0.0
LILRA4	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRA4	Tumor anti-LILRB2	B	2173	0.32213529682466635	0.0035527218133211136
LILRA4	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRA4	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRA4	Tumor anti-LILRB2	other	385	0.0	0.0
LILRA4	Tumor anti-LILRB2	myeloid	50	0.0	0.0
LILRA4	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRA4	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRA4	Tumor isotype	B	2768	0.1083815028901734	0.0024047133047133684
LILRA4	Tumor isotype	T	1158	0.0	0.0
LILRA4	Tumor isotype	other	79	0.0	0.0
LILRA4	Tumor isotype	melanoma	157	0.0	0.0
LILRA4	Tumor isotype	myeloid	22	0.0	0.0
LILRA4	Tumor isotype	NK	70	0.0	0.0
LILRA4	Tumor isotype	pDC	5	0.0	0.0
LILRA4	Tumor isotype	epithelial	2	0.0	0.0
LILRA4	PB anti-LILRB2	T	1153	0.0	0.0
LILRA4	PB anti-LILRB2	other	78	0.0	0.0
LILRA4	PB anti-LILRB2	B	48	4.166666666666666	0.01868642121553421
LILRA4	PB anti-LILRB2	myeloid	69	0.0	0.0
LILRA4	PB anti-LILRB2	pDC	42	0.0	0.0
