gsm	library	title	tissue	treatment	model	species_label	host	alignment	source
GSM9457798	ND_anti_B2	ND tumor LILRB2 treatment	tumor	anti-LILRB2	SK-MEL-5	Homo sapiens CD45+ FACS	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	GEO MTX/TSV
GSM9457799	ND_CTR	ND tumor Isotype	tumor	isotype	SK-MEL-5	Homo sapiens CD45+ FACS	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	GEO MTX/TSV
GSM9457800	PB_anti_B2	PB LILRB2 treatment	PB	anti-LILRB2	SK-MEL-5 humanized mouse PB	Homo sapiens CD45+ FACS	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	GEO MTX/TSV
GSM9457801	PB_CTR	PB Isotype	PB	isotype	SK-MEL-5 humanized mouse PB	Homo sapiens CD45+ FACS	NSG-SGM3 + human CB CD34+	GRCh38_and_mm10-2020-A	GEO MTX/TSV
