gene	arm	cohort_key	gse_id	treated_response_label	exclude_outlier	n_baseline	n_treated	mean_baseline	mean_treated	median_baseline	median_treated	delta_mean	delta_median	mean_tpm_baseline	mean_tpm_treated	welch_t	welch_p	mwu_u	mwu_p	mwu_fdr_bh	welch_fdr_bh
Tacstd2	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	False	10	7	0.2803433444414772	1.004972502977412	0.1774847596373155	0.29875589613712	0.7246291585359348	0.1212711364998045	0.21448388287612108	1.0069052460766987	0.9747771832278763	0.3659473845960335	46.0	0.3052105562810218	0.4069474083746957	0.48203860774690005
Tacstd2	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	False	10	6	0.15694832791755048	0.28954265590410805	0.07891508807559125	0.297849969636445	0.13259432798655757	0.21893488156085375	0.11492628541329286	0.22225275387309806	1.537907809794862	0.14636625542704737	49.0	0.0446343863556977	0.1785375454227908	0.3370798366764502
Tacstd2	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	True	10	6	0.2803433444414772	0.27121131226662915	0.1774847596373155	0.267646807943634	-0.009132032174848037	0.09016204830631849	0.21448388287612108	0.2068206704052813	-0.07306625071582942	0.9427943324644754	36.0	0.5505087896489046		
Tacstd2	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	True	10	6	0.15694832791755048	0.28954265590410805	0.07891508807559125	0.297849969636445	0.13259432798655757	0.21893488156085375	0.11492628541329286	0.22225275387309806	1.537907809794862	0.14636625542704737	49.0	0.0446343863556977		
Cldn4	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	False	10	7	0.26720103590172417	0.6008010386252158	0.13742334990546	0.138449148826943	0.33360000272349166	0.0010257989214829955	0.20347071491322088	0.5165583831194818	0.7458759039428848	0.48203860774690005	33.0	0.8867749897161661	0.8867749897161661	0.48203860774690005
Cldn4	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	False	10	6	0.12803456322983156	0.20872810220200658	0.0929870451034409	0.20070759537315302	0.08069353897217502	0.10772055026971213	0.09280391953376688	0.15566888267138035	1.4527466190435439	0.1685399183382251	43.0	0.1738866597606088	0.3477733195212176	0.3370798366764502
Cldn4	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	True	10	6	0.26720103590172417	0.16317913515113028	0.13742334990546	0.120848992773987	-0.1040219007505939	-0.01657435713147301	0.20347071491322088	0.119751916286859	-1.0921872972087403	0.29490322367005	23.0	0.49225774225774227		
Cldn4	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	True	10	6	0.12803456322983156	0.20872810220200658	0.0929870451034409	0.20070759537315302	0.08069353897217502	0.10772055026971213	0.09280391953376688	0.15566888267138035	1.4527466190435439	0.1685399183382251	43.0	0.1738866597606088		
Actb	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	False	10	7	11.589724504142492	11.299111316630315	11.8278981464106	11.3846286335495	-0.2906131875121769	-0.44326951286110017	3081.1567163886375	2518.831093714344	-0.9832182338744421	0.34245805745809366	16.0	0.07083677658196276		
Actb	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	False	10	6	11.6827265821663	11.037721579385066	11.88355197929185	11.0937065441113	-0.6450050027812342	-0.7898454351805508	3286.3892630695595	2101.254443832021	-2.285694405817587	0.040438218185817915	7.0	0.014522829486654653		
Cd274	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	False	10	7	4.556908218917682	5.809273392267527	4.548527967611745	5.90947665422329	1.2523651733498449	1.360948686611545	22.537810462377745	55.0745173390871	3.8891854354739226	0.005955789174015517	65.0	0.00195392842451666		
Cd274	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	False	10	6	3.7483264764621302	5.297658026607034	3.800110477287535	5.32068408136434	1.5493315501449039	1.5205736040768052	12.438744680414572	38.332719302150586	4.441874985935439	0.0008481422575646575	58.0	0.000999000999000999		
Cd8a	Setdb1_KO	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	GSE155972	Responders	False	10	7	3.0296209764523017	4.49447288959016	3.1182129486117	4.48791043204627	1.4648519131378581	1.36969748343457	7.165951372397068	21.540894921377046	2.8579289345839562	0.018358611131081344	60.0	0.013574660633484163		
Cd8a	WT	LLC_GSE155972_antiCTLA4&antiPD1	GSE155972	Non-responders	False	10	6	1.8261982070068967	4.15751345555355	1.776503606146305	4.0439928519563555	2.3313152485466535	2.2674892458100504	2.5460139382131475	16.845809698034632	5.09857899030796	0.00026169015470647194	57.0	0.0017482517482517483		
