rule	n_up	n_down	n_tie	n	binom_two_sided_p	binom_one_sided_greater_p	binom_two_sided_excl_tie_p	lung_n	lung_n_up	claim_49_of_64	gene
mean	49	15	0	64	2.436457216293327e-05	1.2182286081466635e-05	2.436457216293327e-05	2	2	True	Tacstd2
median	40	18	6	64	0.05994118956699923	0.029970594783499616	0.005354859650800294	2	2	False	Tacstd2
mean	34	29	2	65	0.8043170001933984	0.4021585000966992	0.6146550157654618	2	2	False	Cldn4
median	35	22	8	65	0.6201447650813029	0.31007238254065145	0.11116111910399346	2	2	False	Cldn4
