query	id	title	url	description	mentions_cldn4
claudin	OMIX004733	CLDN 18.2 IHC Data of Phase 1 Study Of TJ033721 In Subjects With Advanced Or Metastatic Solid Tumors	https://ngdc.cncb.ac.cn/omix/release/OMIX004733	Including 16 subjects Claudin 18.2 test result for ESMO Y2023 poster.	no
claudin	OMIX014472	A Study of RC118 Plus Toripalimab or RC148 in Subjects With Locally Advanced Unresectable or Metastatic Solid Tumors Biomarkers Data	https://ngdc.cncb.ac.cn/omix/release/OMIX014472	A Phase I/II Clinical Study to Evaluate the Safety and Efficacy of RC118 for Injection Combined with Toripalimab or RC148 in Subjects with Claudin 18.2-positive Locally Advanced Unresectable or Metastatic Malignant Solid Tumors	no
claudin	OMIX014515	A Study of RC118 Plus Toripalimab or RC148 in Subjects With LocallyAdvanced Unresectable or Metastatic Solid Tumors Fish Test Data	https://ngdc.cncb.ac.cn/omix/release/OMIX014515	A Phase I/II Clinical Study to Evaluate the Safety and Efficacy of RC118 for Injection Combined with Toripalimab or RC148 in Subjects with Claudin 18.2-positive Locally Advanced Unresectable or Metastatic Malignant Solid Tumors	no
claudin	OMIX002948	760 Patients' biomarker data of CLDN result, who are diagnosed gastric cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX002948	The data package includes 760 gastric cancer patients' biomarker data of CLDN result. It was collected from a clinical trial, named" A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as First-line Treatment	no
claudin	OMIX003014	760 Patients' TLF, who are diagnosed Gastric Cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX003014	The data package includes 760 Gastric Cancer patients' TLF, clinical data, biomarker data and safety data. It was collected from a clinical trial, named 'A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as	no
claudin	OMIX003151	760 Patients' TLF, who are diagnosed Gastric Cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX003151	The data package includes 760 Gastric Cancer patients' TLF, metabolome data, biomarker data and safety data. It was collected from a clinical trial, named 'A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX 	no
claudin	OMIX003298	Patients' biomarker data of CLDN raw data, from patients who are diagnosed gastric cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX003298	The data package includes Gastric cancer patients' biomarker raw data-CLDN data in China. It was collected from a clinical trial, named" A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as First-line Treat	no
CLDN	OMIX002948	760 Patients' biomarker data of CLDN result, who are diagnosed gastric cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX002948	The data package includes 760 gastric cancer patients' biomarker data of CLDN result. It was collected from a clinical trial, named" A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as First-line Treatment	no
CLDN	OMIX003298	Patients' biomarker data of CLDN raw data, from patients who are diagnosed gastric cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX003298	The data package includes Gastric cancer patients' biomarker raw data-CLDN data in China. It was collected from a clinical trial, named" A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as First-line Treat	no
CLDN	OMIX004733	CLDN 18.2 IHC Data of Phase 1 Study Of TJ033721 In Subjects With Advanced Or Metastatic Solid Tumors	https://ngdc.cncb.ac.cn/omix/release/OMIX004733	Including 16 subjects Claudin 18.2 test result for ESMO Y2023 poster.	no
CLDN	OMIX003014	760 Patients' TLF, who are diagnosed Gastric Cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX003014	The data package includes 760 Gastric Cancer patients' TLF, clinical data, biomarker data and safety data. It was collected from a clinical trial, named 'A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as	no
CLDN	OMIX003151	760 Patients' TLF, who are diagnosed Gastric Cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX003151	The data package includes 760 Gastric Cancer patients' TLF, metabolome data, biomarker data and safety data. It was collected from a clinical trial, named 'A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX 	no
