database	query	id	title	url	description	mentions_cldn4
gsa	CLDN4	SRX352053	GSM1232583: Cldn4 KO VILIlow; Mus musculus; RNA-Seq	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA101473/SRX352053	SRX352053 GSM1232583: Cldn4 KO VILIlow; Mus musculus; RNA-Seq	yes
gsa	CLDN4	SRX352054	GSM1232584: Cldn4 KO VILIhigh; Mus musculus; RNA-Seq	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA101473/SRX352054	SRX352054 GSM1232584: Cldn4 KO VILIhigh; Mus musculus; RNA-Seq	yes
gsa	CLDN4	SRX8386834	4C-Seq of homo sapiens YCC21 at CLDN4 locus	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1079129/SRX8386834	SRX8386834 4C-Seq of homo sapiens YCC21 at CLDN4 locus	yes
gsa	CLDN4	SRX8386841	4C-Seq of homo sapiens SNU16 at CLDN4 locus	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1079129/SRX8386841	SRX8386841 4C-Seq of homo sapiens SNU16 at CLDN4 locus	yes
gsa	CLDN4	SRX16067610	GSM6310647: MCF7:CLDN4-/-_rep2; Homo sapiens; RNA-Seq	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1451056/SRX16067610	SRX16067610 GSM6310647: MCF7:CLDN4-/-_rep2; Homo sapiens; RNA-Seq	yes
gsa	CLDN4	SRX16067609	GSM6310646: MCF7:CLDN4-/-_rep1; Homo sapiens; RNA-Seq	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1451056/SRX16067609	SRX16067609 GSM6310646: MCF7:CLDN4-/-_rep1; Homo sapiens; RNA-Seq	yes
gsa	CLDN4	SRX352051	GSM1232581: Cldn4 KO no VILI; Mus musculus; RNA-Seq	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA101473/SRX352051	SRX352051 GSM1232581: Cldn4 KO no VILI; Mus musculus; RNA-Seq	yes
gsa	CLDN4	SRX8386835	4C-Seq of homo sapiens YCC21 at CLDN4 locus	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1079129/SRX8386835	SRX8386835 4C-Seq of homo sapiens YCC21 at CLDN4 locus	yes
gsa	CLDN4	SRX8386837	4C-Seq of homo sapiens YCC21 MSH2KO 62 at CLDN4 locus	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1079129/SRX8386837	SRX8386837 4C-Seq of homo sapiens YCC21 MSH2KO 62 at CLDN4 locus	yes
gsa	CLDN4	SRX8386836	4C-Seq of homo sapiens YCC21 MSH2KO 15 at CLDN4 locus	https://ngdc.cncb.ac.cn/gsa/browse/insdc/SRA1079129/SRX8386836	SRX8386836 4C-Seq of homo sapiens YCC21 MSH2KO 15 at CLDN4 locus	yes
