database	query	total	returned	mentions_cldn4	prjca_ids
gsa	CLDN4	11	11	11	0
gsa	claudin-4	0	0	0	0
gsa	Cldn4	11	11	11	0
hra	CLDN4	0	0	0	0
hra	claudin-4	0	0	0	0
hra	claudin	1	1	0	0
hra	Cldn4	0	0	0	0
hra	PRJCA023797	1	1	0	0
hra	knockdown	105	105	0	0
hra	shRNA	4	4	0	0
hra	siRNA	3	3	0	0
omix	CLDN4	0	0	0	0
omix	claudin-4	0	0	0	0
omix	claudin	7	7	0	0
omix	CLDN	5	5	0	0
omix	knockdown	87	87	0	0
bioproject	CLDN4	16	16	16	1
bioproject	claudin-4	47	47	14	0
bioproject	CLDN4 silencing	1	1	1	0
bioproject	CLDN4 siRNA	2	2	2	0
