study	bioproject	access	run	file	file_size_gb	experiment	experiment_title	strategy	platform	sample	biosample
HRA006761	PRJCA023797	Controlled	HRR1529727	HRR1529727_f1.fq.gz	2.50	HRX1197701	Single-cell analysis of cells from recurrent malignant pleural effusion-1	RNA-Seq	Illumina Nextseq 550	HRS1057985	SAMC3417597
HRA006761	PRJCA023797	Controlled	HRR1529727	HRR1529727_r2.fq.gz	2.70	HRX1197701	Single-cell analysis of cells from recurrent malignant pleural effusion-1	RNA-Seq	Illumina Nextseq 550	HRS1057985	SAMC3417597
HRA006761	PRJCA023797	Controlled	HRR1529728	HRR1529728_f1.fq.gz	3.22	HRX1197702	Single-cell analysis of cells from recurrent malignant pleural effusion-2	RNA-Seq	Illumina Nextseq 550	HRS1057986	SAMC3417598
HRA006761	PRJCA023797	Controlled	HRR1529728	HRR1529728_r2.fq.gz	2.89	HRX1197702	Single-cell analysis of cells from recurrent malignant pleural effusion-2	RNA-Seq	Illumina Nextseq 550	HRS1057986	SAMC3417598
HRA006761	PRJCA023797	Controlled	HRR1529729	HRR1529729_f1.fq.gz	3.98	HRX1197703	Single-cell analysis of cells from recurrent malignant pleural effusion-3	RNA-Seq	Illumina Nextseq 550	HRS1057987	SAMC3417599
HRA006761	PRJCA023797	Controlled	HRR1529729	HRR1529729_r2.fq.gz	3.55	HRX1197703	Single-cell analysis of cells from recurrent malignant pleural effusion-3	RNA-Seq	Illumina Nextseq 550	HRS1057987	SAMC3417599
HRA006761	PRJCA023797	Controlled	HRR1529730	HRR1529730_f1.fq.gz	3.01	HRX1197704	Single-cell analysis of cells from recurrent malignant pleural effusion-4	RNA-Seq	Illumina Nextseq 550	HRS1057988	SAMC3417600
HRA006761	PRJCA023797	Controlled	HRR1529730	HRR1529730_r2.fq.gz	2.93	HRX1197704	Single-cell analysis of cells from recurrent malignant pleural effusion-4	RNA-Seq	Illumina Nextseq 550	HRS1057988	SAMC3417600
HRA006761	PRJCA023797	Controlled	HRR1529731	HRR1529731_f1.fq.gz	3.90	HRX1197705	Single-cell analysis of cells from recurrent malignant pleural effusion-5	RNA-Seq	Illumina Nextseq 550	HRS1057989	SAMC3417601
HRA006761	PRJCA023797	Controlled	HRR1529731	HRR1529731_r2.fq.gz	3.91	HRX1197705	Single-cell analysis of cells from recurrent malignant pleural effusion-5	RNA-Seq	Illumina Nextseq 550	HRS1057989	SAMC3417601
HRA006761	PRJCA023797	Controlled	HRR1529732	HRR1529732_f1.fq.gz	4.12	HRX1197706	Single-cell analysis of cells from recurrent malignant pleural effusion-6	RNA-Seq	Illumina Nextseq 550	HRS1057990	SAMC3417602
HRA006761	PRJCA023797	Controlled	HRR1529732	HRR1529732_r2.fq.gz	3.71	HRX1197706	Single-cell analysis of cells from recurrent malignant pleural effusion-6	RNA-Seq	Illumina Nextseq 550	HRS1057990	SAMC3417602
HRA006761	PRJCA023797	Controlled	HRR1529733	HRR1529733_f1.fq.gz	2.93	HRX1197707	Single-cell analysis of cells from recurrent malignant pleural effusion-7	RNA-Seq	Illumina Nextseq 550	HRS1057991	SAMC3417603
HRA006761	PRJCA023797	Controlled	HRR1529733	HRR1529733_r2.fq.gz	2.92	HRX1197707	Single-cell analysis of cells from recurrent malignant pleural effusion-7	RNA-Seq	Illumina Nextseq 550	HRS1057991	SAMC3417603
HRA006761	PRJCA023797	Controlled	HRR1529734	HRR1529734_f1.fq.gz	2.72	HRX1197708	Single-cell analysis of cells from recurrent malignant pleural effusion-8	RNA-Seq	Illumina Nextseq 550	HRS1057992	SAMC3417604
HRA006761	PRJCA023797	Controlled	HRR1529734	HRR1529734_r2.fq.gz	2.65	HRX1197708	Single-cell analysis of cells from recurrent malignant pleural effusion-8	RNA-Seq	Illumina Nextseq 550	HRS1057992	SAMC3417604
HRA006761	PRJCA023797	Controlled	HRR1529735	HRR1529735_f1.fq.gz	3.07	HRX1197709	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-1	RNA-Seq	Illumina Nextseq 550	HRS1057993	SAMC3417605
