database	query	total	returned	mentions_cldn4
NODE	CLDN4	0	0	0
NODE	claudin-4	0	0	0
NODE	claudin	1	1	0
NODE	CLDN	31	31	0
NODE	knockdown	63	63	0
NODE	shRNA	43	43	0
NODE	siRNA	16	16	0
NODE	PRJCA023797	0	0	0
NODE	HRA006761	0	0	0
NODE	CRAD	0	0	0
NODE	ELFN1	0	0	0
