ligand	receptor	pathway	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
IFNG	IFNGR1+IFNGR2	IFN	7	0.002278551459312439	-0.0045715442725590295	0.4999506399035454	0.5045221841761044	1.0	1.0	1.0	1.0
IFNG	IFNGR1	IFN	7	0.020980358123779297	0.024818421474524906	0.5360551966088158	0.511236775134291	1.0	1.0	0.109375	0.4557291666666667
IFNG	IFNGR2	IFN	7	0.02280522882938385	0.009818312312875475	0.5806148446031979	0.5707965322903225	1.0	1.0	0.6875	0.8492647058823529
CXCL14	CXCR4	T_recruit_partial	6	-0.010683812201023102	-0.019020204121867817	0.27691624127328396	0.2959364453951518	1.0	1.0	0.3125	0.5965909090909091
CD44	TYROBP	other	5	-0.034632183611392975	-0.03235271796584129	0.7122255600988865	0.7445782780647278	1.0	1.0	0.1875	0.4557291666666667
CD47	SIRPA	other	5	-0.020625129342079163	-0.014064598362892866	0.3790379219688475	0.39310252033174037	0.6	1.0	0.1875	0.4557291666666667
FASLG	FAS	other	5	-0.005784597247838974	-0.012956614047288895	0.2391984134912491	0.25215502753853797	0.8	1.0	0.4375	0.6124999999999999
SEMA4D	PLXNB1	other	5	-0.000741913914680481	-6.789080798625946e-05	0.36804824247956275	0.368116133287549	1.0	0.8	1.0	1.0
TNFSF10	TNFRSF10A	other	5	0.013222327455878258	0.01146286241710186	0.2801795914769173	0.2687167290598154	1.0	1.0	0.4375	0.6124999999999999
TNFSF10	TNFRSF10B	other	6	0.020466890186071396	0.015578879043459892	0.28315720707178116	0.26757832802832127	1.0	0.8333333333333334	0.3125	0.5965909090909091
AREG	EGFR	other	5	0.02429145574569702	0.024645295366644858	0.4512619376182556	0.4266166422516108	1.0	1.0	0.625	0.8203125
TGFB1	ITGAV+ITGB6	other	4	0.025252535939216614	0.00318746455013752	0.2715994156897068	0.2684119511395693	1.0	1.0	0.875	0.9671052631578947
PPIA	BSG	other	8	0.040326014161109924	0.029406055808067322	1.4801678024232388	1.4507617466151714	1.0	1.0	0.3828125	0.6124999999999999
LTB	LTBR	other	8	0.0432589054107666	0.022138841450214386	0.7217429652810097	0.6996041238307953	1.0	1.0	0.1953125	0.4557291666666667
TNFSF12	TNFRSF12A	other	7	0.04643125459551811	0.06457670245851789	0.38308139624340193	0.31850469378488405	1.0	1.0	0.15625	0.4557291666666667
CD226	NECTIN2	other	7	0.04773610830307007	0.06474073444093977	0.41077863744327	0.3460379030023302	1.0	1.0	0.078125	0.4557291666666667
CD96	NECTIN1	other	5	0.0500921905040741	0.001532524824142456	0.8629213035106659	0.8613887786865234	1.0	1.0	0.8125	0.9479166666666667
SEMA4D	PLXNB2	other	8	0.05150148272514343	0.06932695396244526	0.5405772104859352	0.47125025652348995	1.0	0.875	0.0078125	0.1640625
TNFSF14	LTBR	other	5	0.055773138999938965	0.050842258334159854	0.5428579688072205	0.4920157104730606	1.0	1.0	0.0625	0.4557291666666667
LGALS9	P4HB	other	5	0.06168550252914429	0.09285092353820801	0.9050255581736565	0.8121746346354485	1.0	1.0	0.4375	0.6124999999999999
TNF	TNFRSF1A	other	5	0.0645800530910492	0.047032801806926726	0.3847782924771309	0.33774549067020415	1.0	0.8	0.1875	0.4557291666666667
