ligand	receptor	pathway	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
HLA-A	CD8A	MHC_I	8	0.060671865940093994	0.055296219885349274	2.2556155808269978	2.2003193609416485	1.0	1.0	0.25	0.4144736842105263
HLA-A	CD8B	MHC_I	7	0.0715557336807251	0.07910989012037005	1.997778054858957	1.918668164738587	1.0	1.0	0.109375	0.3132102272727273
HLA-B	CD8A	MHC_I	8	0.09295493364334106	0.11478208377957344	2.073304608464241	1.9585225246846676	1.0	1.0	0.078125	0.259046052631579
HLA-C	CD8A	MHC_I	8	0.12176920473575592	0.1116814948618412	2.190259177237749	2.078577682375908	1.0	1.0	0.015625	0.123046875
HLA-B	CD8B	MHC_I	7	0.1356266736984253	0.125984753881182	1.8422573772924287	1.7162726234112466	1.0	1.0	0.109375	0.3132102272727273
HLA-C	CD8B	MHC_I	7	0.13749706745147705	0.11248723098209926	1.9354076694164957	1.8229204384343964	1.0	1.0	0.03125	0.17578125
HLA-E	KLRD1	MHC_I	8	0.14437226951122284	0.13313763961195946	1.2466456461697817	1.1135080065578222	1.0	1.0	0.0078125	0.09843750000000001
HLA-F	VSIR	MHC_I_partial	6	0.04111940413713455	0.03190493552635113	0.5126402803386251	0.480735344812274	1.0	0.8333333333333334	0.21875	0.4144736842105263
HLA-E	VSIR	MHC_I_partial	6	0.1674002856016159	0.1539852867523829	1.0993777438998222	0.9453924571474394	1.0	1.0	0.03125	0.17578125
CCL5	CCR5	T_recruit	4	-0.019534647464752197	-0.01928679214324802	0.33064645307604223	0.34993324521929026	0.75	1.0	0.25	0.4144736842105263
CCL4	CCR5	T_recruit	4	-0.000690629705786705	-0.007548964582383633	0.32126327604055405	0.3288122406229377	0.75	0.75	0.875	1.0
CXCL10	CXCR3	T_recruit	3	0.009749943390488625	-0.031004172439376514	0.5971521163980166	0.6281562888373932	1.0	0.6666666666666666	1.0	1.0
CXCL9	CXCR3	T_recruit	3	0.028408527374267578	0.021080800021688145	0.45762914419174194	0.4365483441700538	1.0	0.6666666666666666	0.5	0.6428571428571428
CXCL16	CXCR6	T_recruit	7	0.11113488674163818	0.12812584425721849	0.6471735239028931	0.5190476796456746	1.0	1.0	0.015625	0.123046875
CXCL14	CXCR4	T_recruit_partial	8	0.007910847663879395	-0.0010062027722597122	1.6087476052343845	1.6097538080066442	1.0	1.0	0.9453125	1.0
PPIA	BSG	other	8	-0.12162065505981445	-0.1125488430261612	1.6864719167351723	1.7990207597613335	1.0	1.0	0.0390625	0.17578125
JAG1	NOTCH1	other	4	-0.0624365396797657	-0.048521170392632484	0.286126084625721	0.33464725501835346	1.0	0.75	0.375	0.5131316489361702
COL7A1	ITGA1+ITGB1	other	4	-0.0527772381901741	-0.051315183751285076	0.3513647662475705	0.4026799499988556	0.75	1.0	0.25	0.4144736842105263
COL4A1	ITGA1+ITGB1	other	4	-0.049781485460698605	-0.037894084583967924	0.30281913885846734	0.34071322344243526	0.75	1.0	0.25	0.4144736842105263
CD44	TYROBP	other	5	-0.04358551651239395	-0.04497956484556198	0.5557132080197335	0.6006927728652954	1.0	0.8	0.4375	0.57421875
PTGES3	PTGER4	other	8	-0.04304492473602295	-0.06297408230602741	0.7976337037980556	0.8606077861040831	1.0	1.0	0.109375	0.3132102272727273
JAG1	CD46	other	7	-0.036027923226356506	-0.035515088721045425	0.3557296815727438	0.39124477029378923	1.0	0.7142857142857143	0.375	0.5131316489361702
JAG2	NOTCH1	other	4	-0.03160398080945015	-0.03132657799869776	0.18931671883910894	0.2206432968378067	1.0	0.75	0.375	0.5131316489361702
DHCR7	NR1H2	other	4	-0.029035992920398712	-0.02563609555363655	0.1959365103393793	0.22157260589301586	1.0	1.0	0.125	0.315
DHCR7	RORA	other	7	-0.02666918933391571	-0.03532903375370162	0.3992698479975973	0.4345988817512989	1.0	1.0	0.015625	0.123046875
ITGAV+ITGB1	ADGRE5	other	8	-0.026604890823364258	-0.017352255061268806	0.4677560552954674	0.4851083103567362	1.0	1.0	0.3125	0.4801829268292683
CD274	PDCD1	other	4	-0.025031425058841705	-0.02278200164437294	0.3189682476222515	0.34175024926662445	1.0	0.75	0.125	0.315
COL4A2	ITGA1+ITGB1	other	4	-0.022636691108345985	-0.019091186113655567	0.3528968719765544	0.37198805809020996	0.75	1.0	0.625	0.7875000000000001
LPAR2	ADGRE5	other	7	-0.018083728849887848	-0.016133516627763	0.381812439566212	0.39794595619397505	0.7142857142857143	1.0	0.296875	0.467578125
LPAR1	ADGRE5	other	7	-0.013306684792041779	-0.0029696705085890634	0.40126725126590046	0.40423692177448955	0.7142857142857143	0.8571428571428571	0.9375	1.0
