ligand	receptor	pathway	cpdb_mean_score_high	pass_expr_prop_high	ligand_frac_high	receptor_frac_high	n_sender_high	n_receiver_high	cpdb_mean_score_low	pass_expr_prop_low	ligand_frac_low	receptor_frac_low	n_sender_low	n_receiver_low	delta_high_minus_low	pass_either	pass_both	Sample	n_high	n_low	n_tnk
IFNG	IFNGR1	IFN	0.1678234040737152	False	0.0	0.19063004846526657	386	619	0.1678234040737152	False	0.0	0.19063004846526657	182	619	0.0	False	False	BD_immune01	386	182	619
IFNG	IFNGR1+IFNGR2	IFN	0.02916041575372219	False	0.0	0.033925686591276254	386	619	0.02916041575372219	False	0.0	0.033925686591276254	182	619	0.0	False	False	BD_immune01	386	182	619
IFNG	IFNGR2	IFN	0.02916041575372219	False	0.0	0.033925686591276254	386	619	0.02916041575372219	False	0.0	0.033925686591276254	182	619	0.0	False	False	BD_immune01	386	182	619
IFNL1	IFNLR1+IL10RB	IFN	0.0010186403524130583	False	0.0025906735751295338	0.0	386	619	0.0	False	0.0	0.0	182	619	0.0010186403524130583	False	False	BD_immune01	386	182	619
CD93	IFNGR1	IFN_partial	0.1682118285098113	False	0.0025906735751295338	0.19063004846526657	386	619	0.1678234040737152	False	0.0	0.19063004846526657	182	619	0.000388424436096102	False	False	BD_immune01	386	182	619
IL10	IL10RA+IL10RB	IFN_partial	0.00691930390894413	False	0.025906735751295335	0.0	386	619	0.003665059572085738	False	0.01098901098901099	0.0	182	619	0.0032542443368583918	False	False	BD_immune01	386	182	619
IL26	IL10RB+IL20RA	IFN_partial	0.0	False	0.0	0.0	386	619	0.0	False	0.0	0.0	182	619	0.0	False	False	BD_immune01	386	182	619
HLA-A	CD8A	MHC_I	0.8016788363456726	True	0.7564766839378239	0.19547657512116318	386	619	0.894814133644104	True	0.8406593406593407	0.19547657512116318	182	619	-0.0931352972984314	True	True	BD_immune01	386	182	619
HLA-A	CD8B	MHC_I	0.6325521990656853	False	0.7564766839378239	0.07269789983844911	386	619	0.7256874963641167	False	0.8406593406593407	0.07269789983844911	182	619	-0.0931352972984314	False	False	BD_immune01	386	182	619
HLA-B	CD8A	MHC_I	0.397383913397789	True	0.44041450777202074	0.19547657512116318	386	619	0.35528600215911865	True	0.31868131868131866	0.19547657512116318	182	619	0.04209791123867035	True	True	BD_immune01	386	182	619
HLA-B	CD8B	MHC_I	0.22825727611780167	False	0.44041450777202074	0.07269789983844911	386	619	0.18615936487913132	False	0.31868131868131866	0.07269789983844911	182	619	0.04209791123867035	False	False	BD_immune01	386	182	619
HLA-C	CD8A	MHC_I	0.6510058045387268	True	0.7020725388601037	0.19547657512116318	386	619	0.5879468321800232	True	0.6483516483516484	0.19547657512116318	182	619	0.06305897235870361	True	True	BD_immune01	386	182	619
HLA-C	CD8B	MHC_I	0.48187916725873947	False	0.7020725388601037	0.07269789983844911	386	619	0.41882019490003586	False	0.6483516483516484	0.07269789983844911	182	619	0.06305897235870361	False	False	BD_immune01	386	182	619
HLA-C	KIR2DL1	MHC_I	0.4182638437487185	False	0.7020725388601037	0.004846526655896607	386	619	0.3552048713900149	False	0.6483516483516484	0.004846526655896607	182	619	0.06305897235870361	False	False	BD_immune01	386	182	619
HLA-E	KLRC1	MHC_I	0.457419753074646	False	0.7072538860103627	0.035541195476575124	386	619	0.38528263568878174	False	0.6153846153846154	0.035541195476575124	182	619	0.07213711738586426	False	False	BD_immune01	386	182	619
HLA-E	KLRC1+KLRD1	MHC_I	0.457419753074646	False	0.7072538860103627	0.035541195476575124	386	619	0.38528263568878174	False	0.6153846153846154	0.035541195476575124	182	619	0.07213711738586426	False	False	BD_immune01	386	182	619
HLA-E	KLRC2	MHC_I	0.43387644179165363	False	0.7072538860103627	0.009693053311793215	386	619	0.3617393244057894	False	0.6153846153846154	0.009693053311793215	182	619	0.07213711738586426	False	False	BD_immune01	386	182	619
HLA-E	KLRC2+KLRD1	MHC_I	0.43387644179165363	False	0.7072538860103627	0.009693053311793215	386	619	0.3617393244057894	False	0.6153846153846154	0.009693053311793215	182	619	0.07213711738586426	False	False	BD_immune01	386	182	619
HLA-E	KLRD1	MHC_I	0.7813026607036591	True	0.7072538860103627	0.30048465266558966	386	619	0.7091655433177948	True	0.6153846153846154	0.30048465266558966	182	619	0.07213711738586426	True	True	BD_immune01	386	182	619
HLA-E	KLRK1	MHC_I	0.42723775655031204	False	0.7072538860103627	0.0016155088852988692	386	619	0.3551006391644478	False	0.6153846153846154	0.0016155088852988692	182	619	0.07213711738586426	False	False	BD_immune01	386	182	619
HLA-F	LILRB1	MHC_I	0.07042107731103897	False	0.10362694300518134	0.05331179321486268	386	619	0.07102573104202747	False	0.08241758241758242	0.05331179321486268	182	619	-0.0006046537309885025	False	False	BD_immune01	386	182	619
HLA-F	LILRB2	MHC_I	0.027239461429417133	False	0.10362694300518134	0.006462035541195477	386	619	0.027844115160405636	False	0.08241758241758242	0.006462035541195477	182	619	-0.0006046537309885025	False	False	BD_immune01	386	182	619
HLA-G	LILRB1	MHC_I	0.048588786798063666	False	0.0025906735751295338	0.05331179321486268	386	619	0.04788363352417946	False	0.0	0.05331179321486268	182	619	0.000705153273884207	False	False	BD_immune01	386	182	619
HLA-G	LILRB2	MHC_I	0.005407170916441828	False	0.0025906735751295338	0.006462035541195477	386	619	0.004702017642557621	False	0.0	0.006462035541195477	182	619	0.000705153273884207	False	False	BD_immune01	386	182	619
