ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
FAM3C,FAM3C,0.7767647,0.7235,HLA-C,HLA-C,4.0493484,0.998,Malig_TACSTD2high,NK,2.4130566,0.0
FAM3C,FAM3C,0.5967387,0.6115,HLA-C,HLA-C,4.0493484,0.998,Malig_TACSTD2low,NK,2.3230436,0.0
FAM3C,FAM3C,0.7767647,0.7235,HLA-C,HLA-C,3.8350716,0.995,Malig_TACSTD2high,T,2.3059182,0.0
FAM3C,FAM3C,0.5967387,0.6115,HLA-C,HLA-C,3.8350716,0.995,Malig_TACSTD2low,T,2.2159052,0.0
FAM3C,FAM3C,0.34643662,0.203,HLA-C,HLA-C,4.0493484,0.998,NK,NK,2.1978924,0.0
FAM3C,FAM3C,0.34643662,0.203,HLA-C,HLA-C,3.8350716,0.995,NK,T,2.090754,0.0
CCL5,CCL5,3.5977077,0.944,CCR5,CCR5,0.40273988,0.2135,NK,T,2.0002239,0.0
CCL5,CCL5,3.5977077,0.944,CCR5,CCR5,0.39165437,0.224,NK,NK,1.9946811,0.0
APP,APP,1.0897368,0.8315,CD74,CD74,2.8991725,0.907,Malig_TACSTD2high,NK,1.9944546,0.0
APP,APP,0.98205745,0.741,CD74,CD74,2.8991725,0.907,Malig_TACSTD2low,NK,1.9406149,0.0
CCL5,CCL5,3.5977077,0.944,CCR1,CCR1,0.24082424,0.1415,NK,NK,1.919266,0.0
APP,APP,1.0897368,0.8315,CD74,CD74,2.675538,0.884,Malig_TACSTD2high,T,1.8826375,0.0
COPA,COPA,0.8111922,0.694,CD74,CD74,2.8991725,0.907,Malig_TACSTD2low,NK,1.8551824,0.0
COPA,COPA,0.7929476,0.7495,CD74,CD74,2.8991725,0.907,Malig_TACSTD2high,NK,1.84606,0.0
APP,APP,0.98205745,0.741,CD74,CD74,2.675538,0.884,Malig_TACSTD2low,T,1.8287978,0.0
FAM3C,FAM3C,0.7767647,0.7235,HLA-C,HLA-C,2.784656,0.9655,Malig_TACSTD2high,Malig_TACSTD2high,1.7807103,1.0
FAM3C,FAM3C,0.7767647,0.7235,HLA-C,HLA-C,2.7166517,0.943,Malig_TACSTD2high,Malig_TACSTD2low,1.7467082,1.0
COPA,COPA,0.8111922,0.694,CD74,CD74,2.675538,0.884,Malig_TACSTD2low,T,1.7433652,0.0
COPA,COPA,0.7929476,0.7495,CD74,CD74,2.675538,0.884,Malig_TACSTD2high,T,1.7342428,0.0
FAM3C,FAM3C,0.5967387,0.6115,HLA-C,HLA-C,2.784656,0.9655,Malig_TACSTD2low,Malig_TACSTD2high,1.6906974,1.0
HLA-E,HLA-E,3.1233923,0.9755,KLRC1,KLRC1,0.24312162,0.133,T,NK,1.683257,0.0
HLA-E,HLA-E,3.1233923,0.9755,KLRC1,KLRC1_KLRD1,0.24312162,0.133,T,NK,1.683257,0.0
COPA,COPA,0.4409759,0.2565,CD74,CD74,2.8991725,0.907,NK,NK,1.6700742,0.0
HLA-E,HLA-E,3.0903003,0.975,KLRC1,KLRC1,0.24312162,0.133,NK,NK,1.666711,0.0
HLA-E,HLA-E,3.0903003,0.975,KLRC1,KLRC1_KLRD1,0.24312162,0.133,NK,NK,1.666711,0.0
FAM3C,FAM3C,0.5967387,0.6115,HLA-C,HLA-C,2.7166517,0.943,Malig_TACSTD2low,Malig_TACSTD2low,1.6566951,1.0
COPA,COPA,0.4100426,0.232,CD74,CD74,2.8991725,0.907,T,NK,1.6546075,0.0
FAM3C,FAM3C,0.34643662,0.203,HLA-C,HLA-C,2.784656,0.9655,NK,Malig_TACSTD2high,1.5655463,1.0
COPA,COPA,0.4409759,0.2565,CD74,CD74,2.675538,0.884,NK,T,1.558257,0.0
COPA,COPA,0.4100426,0.232,CD74,CD74,2.675538,0.884,T,T,1.5427903,0.0
FAM3C,FAM3C,0.34643662,0.203,HLA-C,HLA-C,2.7166517,0.943,NK,Malig_TACSTD2low,1.5315442,1.0
MIF,MIF,0.08261061,0.145,CD74,CD74,2.8991725,0.907,Malig_TACSTD2low,NK,1.4908916,0.0
MIF,MIF,0.06730329,0.1275,CD74,CD74,2.8991725,0.907,Malig_TACSTD2high,NK,1.4832379,0.0
CCL4,CCL4,2.38373,0.7755,CCR5,CCR5,0.40273988,0.2135,NK,T,1.393235,0.0
CCL4,CCL4,2.38373,0.7755,CCR5,CCR5,0.39165437,0.224,NK,NK,1.3876922,0.0
MIF,MIF,0.08261061,0.145,CD74,CD74,2.675538,0.884,Malig_TACSTD2low,T,1.3790743,0.0
MIF,MIF,0.06730329,0.1275,CD74,CD74,2.675538,0.884,Malig_TACSTD2high,T,1.3714206,0.0
CCL4,CCL4,2.38373,0.7755,SLC7A1,SLC7A1,0.26348746,0.355,NK,Malig_TACSTD2high,1.3236086,0.0
CD58,CD58,0.18935777,0.1175,CD2,CD2,2.443733,0.898,NK,T,1.3165454,0.0
CCL4,CCL4,2.38373,0.7755,SLC7A1,SLC7A1,0.20535782,0.315,NK,Malig_TACSTD2low,1.2945439,0.0
CD58,CD58,0.14379619,0.2415,CD2,CD2,2.443733,0.898,Malig_TACSTD2high,T,1.2937646,0.0
CD58,CD58,0.12829953,0.219,CD2,CD2,2.443733,0.898,Malig_TACSTD2low,T,1.2860162,0.0
CCL5,CCL5,2.163979,0.6195,CCR5,CCR5,0.40273988,0.2135,T,T,1.2833595,0.0
CCL5,CCL5,2.163979,0.6195,CCR5,CCR5,0.39165437,0.224,T,NK,1.2778168,0.0
DSC2,DSC2,1.3286328,0.815,DSG2,DSG2,1.1052563,0.816,Malig_TACSTD2high,Malig_TACSTD2high,1.2169446,0.0
CCL5,CCL5,2.163979,0.6195,CCR1,CCR1,0.24082424,0.1415,T,NK,1.2024016,0.0
DSC2,DSC2,1.3286328,0.815,DSG2,DSG2,1.030994,0.751,Malig_TACSTD2high,Malig_TACSTD2low,1.1798134,0.0
ITGAL,ITGAL_ITGB2,1.0628252,0.5255,F11R,F11R,1.2241244,0.8645,NK,Malig_TACSTD2high,1.1434748,0.0
ITGAL,ITGAL_ITGB2,1.0628252,0.5255,F11R,F11R,1.1520467,0.759,NK,Malig_TACSTD2low,1.107436,0.0
ITGAL,ITGAL_ITGB2,0.9425514,0.475,F11R,F11R,1.2241244,0.8645,T,Malig_TACSTD2high,1.0833379,0.0
ITGAL,ITGAL_ITGB2,0.9425514,0.475,F11R,F11R,1.1520467,0.759,T,Malig_TACSTD2low,1.047299,0.0
HBEGF,HBEGF,0.68209875,0.5885,CD44,CD44,1.3265582,0.624,Malig_TACSTD2high,T,1.0043285,0.0
FAM3C,FAM3C,0.7767647,0.7235,LAMP1,LAMP1,1.2201,0.8525,Malig_TACSTD2high,Malig_TACSTD2high,0.9984324,0.0
CD58,CD58,0.18935777,0.1175,CD2,CD2,1.7430876,0.7155,NK,NK,0.9662227,0.0
ARF1,ARF1,1.8586953,0.9495,PLD2,PLD2,0.06612423,0.105,Malig_TACSTD2high,Malig_TACSTD2high,0.96240973,0.0
ARF1,ARF1,1.8586953,0.9495,PLD2,PLD2,0.061345875,0.116,Malig_TACSTD2high,Malig_TACSTD2low,0.96002054,0.0
NECTIN1,NECTIN1,0.64894366,0.611,CD96,CD96,1.2675213,0.592,Malig_TACSTD2high,NK,0.95823246,0.0
APP,APP,1.0897368,0.8315,CD74,CD74,0.8182322,0.534,Malig_TACSTD2high,Malig_TACSTD2low,0.9539845,1.0
HLA-E,HLA-E,1.6493267,0.9065,KLRC1,KLRC1_KLRD1,0.24312162,0.133,Malig_TACSTD2high,NK,0.94622415,1.0
HLA-E,HLA-E,1.6493267,0.9065,KLRC1,KLRC1,0.24312162,0.133,Malig_TACSTD2high,NK,0.94622415,1.0
CD58,CD58,0.14379619,0.2415,CD2,CD2,1.7430876,0.7155,Malig_TACSTD2high,NK,0.9434419,0.0
CD58,CD58,0.12829953,0.219,CD2,CD2,1.7430876,0.7155,Malig_TACSTD2low,NK,0.9356936,0.0
NECTIN1,NECTIN1,0.64894366,0.611,CD96,CD96,1.2139128,0.5625,Malig_TACSTD2high,T,0.93142825,0.0
GRN,GRN,0.98331934,0.795,TNFRSF1B,TNFRSF1B,0.87343407,0.448,Malig_TACSTD2high,NK,0.9283767,0.0
FAM3C,FAM3C,0.5967387,0.6115,LAMP1,LAMP1,1.2201,0.8525,Malig_TACSTD2low,Malig_TACSTD2high,0.9084194,0.0
HBEGF,HBEGF,0.68209875,0.5885,CD44,CD44,1.1226177,0.5485,Malig_TACSTD2high,NK,0.90235823,0.0
APP,APP,0.98205745,0.741,CD74,CD74,0.8182322,0.534,Malig_TACSTD2low,Malig_TACSTD2low,0.9001448,1.0
ARF1,ARF1,1.7183471,0.893,PLD2,PLD2,0.06612423,0.105,Malig_TACSTD2low,Malig_TACSTD2high,0.89223564,0.0
ARF1,ARF1,1.7183471,0.893,PLD2,PLD2,0.061345875,0.116,Malig_TACSTD2low,Malig_TACSTD2low,0.88984644,0.0
