ligand	receptor	pathway	cpdb_mean_score_high	pass_expr_prop_high	ligand_frac_high	receptor_frac_high	n_sender_high	n_receiver_high	cpdb_mean_score_low	pass_expr_prop_low	ligand_frac_low	receptor_frac_low	n_sender_low	n_receiver_low	delta_high_minus_low	pass_either	pass_both	Sample	n_high	n_low	n_tnk
IFNG	IFNGR1	IFN	0.1678234040737152	False	0.0	0.19063004846526657	269	619	0.1678234040737152	False	0.0	0.19063004846526657	299	619	0.0	False	False	BD_immune01	269	299	619
IFNG	IFNGR1+IFNGR2	IFN	0.02916041575372219	False	0.0	0.033925686591276254	269	619	0.02916041575372219	False	0.0	0.033925686591276254	299	619	0.0	False	False	BD_immune01	269	299	619
IFNG	IFNGR2	IFN	0.02916041575372219	False	0.0	0.033925686591276254	269	619	0.02916041575372219	False	0.0	0.033925686591276254	299	619	0.0	False	False	BD_immune01	269	299	619
IFNL1	IFNLR1+IL10RB	IFN	0.0014616921544075012	False	0.0037174721189591076	0.0	269	619	0.0	False	0.0	0.0	299	619	0.0014616921544075012	False	False	BD_immune01	269	299	619
CD93	IFNGR1	IFN_partial	0.16838077147258446	False	0.0037174721189591076	0.19063004846526657	269	619	0.1678234040737152	False	0.0	0.19063004846526657	299	619	0.0005573673988692462	False	False	BD_immune01	269	299	619
IL10	IL10RA+IL10RB	IFN_partial	0.009201576001942158	False	0.02973977695167286	0.0	269	619	0.002885177033022046	False	0.013377926421404682	0.0	299	619	0.006316398968920112	False	False	BD_immune01	269	299	619
IL26	IL10RB+IL20RA	IFN_partial	0.0	False	0.0	0.0	269	619	0.0	False	0.0	0.0	299	619	0.0	False	False	BD_immune01	269	299	619
HLA-A	CD8A	MHC_I	0.7728798389434814	True	0.7397769516728625	0.19547657512116318	269	619	0.8842793107032776	True	0.822742474916388	0.19547657512116318	299	619	-0.11139947175979614	True	True	BD_immune01	269	299	619
HLA-A	CD8B	MHC_I	0.6037532016634941	False	0.7397769516728625	0.07269789983844911	269	619	0.7151526734232903	False	0.822742474916388	0.07269789983844911	299	619	-0.11139947175979614	False	False	BD_immune01	269	299	619
HLA-B	CD8A	MHC_I	0.40303680300712585	True	0.4312267657992565	0.19547657512116318	269	619	0.36667340993881226	True	0.3745819397993311	0.19547657512116318	299	619	0.0363633930683136	True	True	BD_immune01	269	299	619
HLA-B	CD8B	MHC_I	0.23391016572713852	False	0.4312267657992565	0.07269789983844911	269	619	0.19754677265882492	False	0.3745819397993311	0.07269789983844911	299	619	0.0363633930683136	False	False	BD_immune01	269	299	619
HLA-C	CD8A	MHC_I	0.6866213083267212	True	0.7137546468401487	0.19547657512116318	269	619	0.5805799663066864	True	0.6588628762541806	0.19547657512116318	299	619	0.10604134202003479	True	True	BD_immune01	269	299	619
HLA-C	CD8B	MHC_I	0.5174946710467339	False	0.7137546468401487	0.07269789983844911	269	619	0.41145332902669907	False	0.6588628762541806	0.07269789983844911	299	619	0.10604134202003479	False	False	BD_immune01	269	299	619
HLA-C	KIR2DL1	MHC_I	0.4538793475367129	False	0.7137546468401487	0.004846526655896607	269	619	0.3478380055166781	False	0.6588628762541806	0.004846526655896607	299	619	0.10604134202003479	False	False	BD_immune01	269	299	619
HLA-E	KLRC1	MHC_I	0.47101518511772156	False	0.6988847583643123	0.035541195476575124	269	619	0.40127888321876526	False	0.6588628762541806	0.035541195476575124	299	619	0.0697363018989563	False	False	BD_immune01	269	299	619
HLA-E	KLRC1+KLRD1	MHC_I	0.47101518511772156	False	0.6988847583643123	0.035541195476575124	269	619	0.40127888321876526	False	0.6588628762541806	0.035541195476575124	299	619	0.0697363018989563	False	False	BD_immune01	269	299	619
HLA-E	KLRC2	MHC_I	0.4474718738347292	False	0.6988847583643123	0.009693053311793215	269	619	0.3777355719357729	False	0.6588628762541806	0.009693053311793215	299	619	0.0697363018989563	False	False	BD_immune01	269	299	619
HLA-E	KLRC2+KLRD1	MHC_I	0.4474718738347292	False	0.6988847583643123	0.009693053311793215	269	619	0.3777355719357729	False	0.6588628762541806	0.009693053311793215	299	619	0.0697363018989563	False	False	BD_immune01	269	299	619
