nhood	n_samples_present	n_samples_A	n_samples_B	n_cells	mean_prop_A	mean_prop_B	logFC_B_minus_A	t	p	testable	BH_FDR	SpatialFDR
0	1	0	1	31	0.0	0.00046275563516942825				False		
1	1	0	1	31	0.0	0.00046275563516942825				False		
2	1	0	1	31	0.0	0.00046275563516942825				False		
3	3	2	1	31	0.00025429078202731867	0.0003881176294969398				False		
4	1	0	1	31	0.0	0.00046275563516942825				False		
5	4	3	1	31	0.0002945186414578718	0.0002985520226899537				False		
6	1	0	1	31	0.0	0.00046275563516942825				False		
7	1	0	1	31	0.0	0.00046275563516942825				False		
8	1	0	1	31	0.0	0.00046275563516942825				False		
9	1	0	1	31	0.0	0.00046275563516942825				False		
10	5	2	3	31	7.65027894232816e-05	0.0005230521844112496	2.773209646512848	1.4727463313800104	0.16905915841334948	True	0.768806498892851	0.7802580770671164
11	1	0	1	31	0.0	0.00046275563516942825				False		
12	1	0	1	31	0.0	0.00046275563516942825				False		
13	1	0	1	31	0.0	0.00046275563516942825				False		
14	1	0	1	31	0.0	0.00046275563516942825				False		
15	1	0	1	31	0.0	0.00046275563516942825				False		
16	1	0	1	31	0.0	0.00046275563516942825				False		
17	2	1	1	31	2.606712284131639e-05	0.00043290043290043295				False		
18	1	0	1	31	0.0	0.00046275563516942825				False		
19	1	0	1	31	0.0	0.00046275563516942825				False		
20	1	0	1	31	0.0	0.00046275563516942825				False		
21	1	0	1	31	0.0	0.00046275563516942825				False		
22	1	0	1	31	0.0	0.00046275563516942825				False		
23	1	0	1	31	0.0	0.00046275563516942825				False		
24	1	0	1	31	0.0	0.00046275563516942825				False		
25	1	0	1	31	0.0	0.00046275563516942825				False		
26	1	0	1	31	0.0	0.00046275563516942825				False		
27	1	0	1	31	0.0	0.00046275563516942825				False		
28	1	0	1	31	0.0	0.00046275563516942825				False		
29	1	0	1	31	0.0	0.00046275563516942825				False		
30	1	0	1	31	0.0	0.00046275563516942825				False		
31	4	2	2	31	5.3243355529723634e-05	0.0004138417638798178	2.9581697678443053	0.9282234870843619	0.37470090661671185	True	0.768806498892851	0.7802580770671164
32	1	0	1	31	0.0	0.00046275563516942825				False		
33	1	0	1	31	0.0	0.00046275563516942825				False		
34	1	0	1	31	0.0	0.00046275563516942825				False		
35	1	0	1	31	0.0	0.00046275563516942825				False		
36	1	0	1	31	0.0	0.00046275563516942825				False		
37	1	0	1	31	0.0	0.00046275563516942825				False		
38	1	0	1	31	0.0	0.00046275563516942825				False		
39	1	0	1	31	0.0	0.00046275563516942825				False		
40	4	2	2	31	0.00043250701099263654	0.00035000029145570977	-0.30535953272149285	-0.17124227620474808	0.8658488558475117	True	0.9139515700612623	0.9133458761011397
41	1	0	1	31	0.0	0.00046275563516942825				False		
42	1	0	1	31	0.0	0.00046275563516942825				False		
43	1	0	1	31	0.0	0.00046275563516942825				False		
44	2	1	1	31	1.3033561420658195e-05	0.0004478280340349306				False		
45	1	0	1	31	0.0	0.00046275563516942825				False		
46	1	0	1	31	0.0	0.00046275563516942825				False		
47	1	0	1	31	0.0	0.00046275563516942825				False		
48	1	0	1	31	0.0	0.00046275563516942825				False		
49	2	1	1	31	7.607455306200075e-05	0.0004478280340349306				False		
50	1	0	1	31	0.0	0.00046275563516942825				False		
51	1	0	1	31	0.0	0.00046275563516942825				False		
52	1	0	1	31	0.0	0.00046275563516942825				False		
53	1	0	1	31	0.0	0.00046275563516942825				False		
54	4	1	3	31	3.9100684261974585e-05	0.0004543763052764124				False		
55	1	0	1	31	0.0	0.00046275563516942825				False		
56	1	0	1	31	0.0	0.00046275563516942825				False		
57	1	0	1	31	0.0	0.00046275563516942825				False		
58	1	0	1	31	0.0	0.00046275563516942825				False		
59	1	0	1	31	0.0	0.00046275563516942825				False		
60	9	4	5	31	0.00013856464030859308	0.00046714024917915225	1.7532233745822534	1.1073252909423457	0.2897067254460861	True	0.768806498892851	0.7802580770671164
61	5	2	3	31	5.3243355529723634e-05	0.000438584200987774	3.0419423985885157	1.1172353434464404	0.2893347872423905	True	0.768806498892851	0.7802580770671164
62	1	0	1	31	0.0	0.00046275563516942825				False		
63	1	0	1	31	0.0	0.00046275563516942825				False		
64	1	0	1	31	0.0	0.00046275563516942825				False		
65	1	0	1	31	0.0	0.00046275563516942825				False		
66	1	0	1	31	0.0	0.00046275563516942825				False		
67	1	0	1	31	0.0	0.00046275563516942825				False		
68	1	0	1	31	0.0	0.00046275563516942825				False		
69	1	0	1	31	0.0	0.00046275563516942825				False		
70	2	0	2	31	0.0	0.00047355216841780864				False		
71	1	0	1	31	0.0	0.00046275563516942825				False		
72	1	0	1	31	0.0	0.00046275563516942825				False		
73	1	0	1	31	0.0	0.00046275563516942825				False		
74	3	1	2	31	7.607455306200075e-05	0.00047744884806236366				False		
75	6	3	3	31	0.0003836086906190431	0.0003368736395176137	-0.18742264602596492	-0.1207040837322197	0.9051918716560173	True	0.9440783959753689	0.9426804654998494
76	2	1	1	31	7.607455306200075e-05	0.0004478280340349306				False		
77	1	0	1	31	0.0	0.00046275563516942825				False		
78	1	0	1	31	0.0	0.00046275563516942825				False		
79	1	0	1	31	0.0	0.00046275563516942825				False		
80	1	0	1	31	0.0	0.00046275563516942825				False		
81	1	0	1	31	0.0	0.00046275563516942825				False		
82	1	0	1	31	0.0	0.00046275563516942825				False		
83	1	0	1	31	0.0	0.00046275563516942825				False		
84	1	0	1	31	0.0	0.00046275563516942825				False		
85	1	0	1	31	0.0	0.00046275563516942825				False		
86	1	0	1	31	0.0	0.00046275563516942825				False		
87	3	2	1	31	0.00019124979038597607	0.0003881176294969398				False		
88	1	0	1	31	0.0	0.00046275563516942825				False		
89	1	0	1	31	0.0	0.00046275563516942825				False		
90	4	2	2	31	0.00028035790486863506	0.0003798554937247051	0.43816746001281537	0.24909966199417802	0.8061200707212166	True	0.8824450806011509	0.8829557035702796
91	3	2	1	31	0.00024125722060666047	0.00040304523063143755				False		
92	1	0	1	31	0.0	0.00046275563516942825				False		
93	1	0	1	31	0.0	0.00046275563516942825				False		
94	1	0	1	31	0.0	0.00046275563516942825				False		
95	1	0	1	31	0.0	0.00046275563516942825				False		
96	6	3	3	31	0.0009471103457897864	0.0002799950963988547	-1.758094667263677	-0.7798408709298585	0.45154800613960117	True	0.768806498892851	0.7802580770671164
97	1	0	1	31	0.0	0.00046275563516942825				False		
98	1	0	1	31	0.0	0.00046275563516942825				False		
99	1	0	1	31	0.0	0.00046275563516942825				False		
100	4	2	2	31	5.24222489895884e-05	0.0004652900326455739	3.149634954141195	1.0582209450863953	0.3143371908804543	True	0.768806498892851	0.7802580770671164
101	1	0	1	31	0.0	0.00046275563516942825				False		
102	1	0	1	31	0.0	0.00046275563516942825				False		
103	1	0	1	31	0.0	0.00046275563516942825				False		
104	4	2	2	31	0.00012820879874463352	0.00039126700010813534	1.6095825112105722	0.6885480582740958	0.5052288276183059	True	0.768806498892851	0.7802580770671164
105	3	2	1	31	0.00029339146628929325	0.0003433348260934468				False		
106	1	0	1	31	0.0	0.00046275563516942825				False		
107	1	0	1	31	0.0	0.00046275563516942825				False		
108	1	0	1	31	0.0	0.00046275563516942825				False		
109	2	1	1	31	7.607455306200075e-05	0.0004478280340349306				False		
110	1	0	1	31	0.0	0.00046275563516942825				False		
111	1	0	1	31	0.0	0.00046275563516942825				False		
112	2	1	1	31	7.607455306200075e-05	0.0004478280340349306				False		
113	1	0	1	31	0.0	0.00046275563516942825				False		
114	1	0	1	31	0.0	0.00046275563516942825				False		
115	3	1	2	31	1.4142671267749053e-05	0.00045862456728331096				False		
116	1	0	1	31	0.0	0.00046275563516942825				False		
117	1	0	1	31	0.0	0.00046275563516942825				False		
118	1	0	1	31	0.0	0.00046275563516942825				False		
119	1	0	1	31	0.0	0.00046275563516942825				False		
120	1	0	1	31	0.0	0.00046275563516942825				False		
121	2	1	1	31	5.213424568263278e-05	0.00040304523063143755				False		
122	1	0	1	31	0.0	0.00046275563516942825				False		
123	7	3	4	31	0.00018188039063563803	0.0003703772724359862	1.0259651976599393	0.8290754635852248	0.4191198354099035	True	0.768806498892851	0.7802580770671164
124	1	0	1	31	0.0	0.00046275563516942825				False		
125	1	0	1	31	0.0	0.00046275563516942825				False		
126	1	0	1	31	0.0	0.00046275563516942825				False		
127	1	0	1	31	0.0	0.00046275563516942825				False		
128	1	0	1	31	0.0	0.00046275563516942825				False		
129	1	0	1	31	0.0	0.00046275563516942825				False		
130	1	0	1	31	0.0	0.00046275563516942825				False		
131	1	0	1	31	0.0	0.00046275563516942825				False		
132	1	0	1	31	0.0	0.00046275563516942825				False		
133	1	0	1	31	0.0	0.00046275563516942825				False		
134	1	0	1	31	0.0	0.00046275563516942825				False		
135	1	0	1	31	0.0	0.00046275563516942825				False		
136	1	0	1	31	0.0	0.00046275563516942825				False		
137	1	0	1	31	0.0	0.00046275563516942825				False		
138	1	0	1	31	0.0	0.00046275563516942825				False		
139	1	0	1	31	0.0	0.00046275563516942825				False		
140	1	0	1	31	0.0	0.00046275563516942825				False		
141	1	0	1	31	0.0	0.00046275563516942825				False		
142	1	0	1	31	0.0	0.00046275563516942825				False		
143	1	0	1	31	0.0	0.00046275563516942825				False		
144	1	0	1	31	0.0	0.00046275563516942825				False		
145	6	3	3	31	5.2004803384513434e-05	0.0005447624450287913	3.388659555649774	1.522341672910918	0.15846270628140433	True	0.768806498892851	0.7802580770671164
146	1	0	1	31	0.0	0.00046275563516942825				False		
147	1	0	1	31	0.0	0.00046275563516942825				False		
