dataset	unit_id	unit_type	n_cells	n_malignant	n_tnk	frac_tnk	mal_CLDN4_pct	mal_CLDN4_mean	malig_def
GSE123902	LX255B	donor	3886	228	1583	0.407359752959341	35.0877192982456	0.448801651463958	marker_malig
GSE123902	LX653	donor	392	145	49	0.125	71.7241379310345	1.25240682713422	marker_malig
GSE123902	LX661	donor	4566	117	3726	0.816031537450723	58.974358974359	0.857608568422848	marker_malig
GSE123902	LX666	donor	1316	786	177	0.134498480243161	67.175572519084	0.992395211788715	marker_malig
GSE123902	LX675	donor	3435	618	1336	0.388937409024745	31.3915857605178	0.582960587751478	marker_malig
GSE123902	LX676	donor	4014	147	2606	0.649227703039362	42.1768707482993	0.831390019521496	marker_malig
GSE123902	LX679	donor	2017	497	625	0.309866137828458	43.2595573440644	0.564371224044842	marker_malig
GSE123902	LX680	donor	941	258	344	0.365568544102019	73.2558139534884	1.85907788462344	marker_malig
GSE123902	LX681	donor	1630	1207	86	0.052760736196319	63.2974316487158	1.17753504578178	marker_malig
GSE123902	LX682	donor	4092	421	2558	0.625122189638319	18.7648456057007	0.461318234025586	marker_malig
GSE123902	LX684	donor	378	173	92	0.243386243386243	72.8323699421965	0.911897294127077	marker_malig
GSE123902	LX699	donor	2671	46	2263	0.847248221639835	15.2173913043478	0.314117764314781	marker_malig
GSE123902	LX701	donor	788	90	322	0.408629441624365	11.1111111111111	0.111610967942331	marker_malig
GSE131907	BRONCHO_11	sample	3178	203	809	0.254562617998741	80.7881773399015	1.80595997088303	author_malig
GSE131907	BRONCHO_58	sample	2813	460	1546	0.549591183789549	72.1739130434783	1.42635333622356	author_malig
GSE131907	EBUS_06	sample	2303	1186	611	0.26530612244898	71.1635750421585	1.35522930358697	author_malig
GSE131907	EBUS_10	sample	5144	367	1530	0.297433903576983	84.4686648501362	1.90497348559425	author_malig
GSE131907	EBUS_12	sample	3115	257	328	0.10529695024077	88.3268482490272	2.35490406103567	author_malig
GSE131907	EBUS_13	sample	3550	376	1150	0.323943661971831	0.265957446808511	0.00184347654404241	author_malig
GSE131907	EBUS_15	sample	1105	256	479	0.433484162895928	47.265625	1.12949283928218	author_malig
GSE131907	EBUS_19	sample	2112	217	1427	0.675662878787879	94.0092165898618	2.47790353342301	author_malig
GSE131907	EBUS_28	sample	5182	4640	232	0.0447703589347742	96.3362068965517	2.19797832643394	author_malig
GSE131907	EBUS_49	sample	1775	114	1126	0.634366197183099	49.1228070175439	0.951210732895075	author_malig
GSE131907	EBUS_51	sample	3275	1285	1143	0.349007633587786	85.3696498054475	1.58132888478796	author_malig
