set	n_listed	n_present	present	missing
primary	4	3	CD8A,CD274,IFNG	CLDN4
ImmuneScore_A1	8	7	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,TBX21	CXCL10
IFN_Ayers6	6	4	IFNG,STAT1,CXCL9,IDO1	CXCL10,HLA-DRA
epithelial	6	0		EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7
companion	1	0		TACSTD2
claudin_family	4	0		CLDN1,CLDN3,CLDN4,CLDN7
