gene	on_GPL31904_matrix	n_finite	mean_count	median_count
CLDN4	0	0		
CD8A	1	72	7.569444444444445	8.0
CD274	1	72	6.722222222222222	7.0
IFNG	1	72	4.361111111111111	4.0
GZMA	1	72	7.180555555555555	7.0
GZMB	1	72	6.272916666666666	6.0
EOMES	1	72	3.925694444444444	4.0
CXCL9	1	72	7.9118055555555555	8.0
CXCL10	0	0		
TBX21	1	72	5.092361111111111	5.0
STAT1	1	72	9.314583333333333	9.0
IDO1	1	72	7.472638888888889	8.0
HLA-DRA	0	0		
EPCAM	0	0		
KRT8	0	0		
KRT18	0	0		
KRT19	0	0		
CDH1	0	0		
KRT7	0	0		
TACSTD2	0	0		
CLDN1	0	0		
CLDN3	0	0		
CLDN7	0	0		
