gene_x	gene_y	subset	n_arrays	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	partner_on_panel	cldn4_on_panel	epithelial_genes	verdict	role	note
CLDN4	CD8A	all_tumors	72	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	ImmuneScore_A1_7of8	all_tumors	72	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD274	all_tumors	72	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFN_Ayers_4of6	all_tumors	72	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFNG	all_tumors	72	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD8A	LUAD	34	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	ImmuneScore_A1_7of8	LUAD	34	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD274	LUAD	34	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFN_Ayers_4of6	LUAD	34	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFNG	LUAD	34	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD8A	LUSC	27	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	ImmuneScore_A1_7of8	LUSC	27	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD274	LUSC	27	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFN_Ayers_4of6	LUSC	27	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFNG	LUSC	27	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD8A	Other	11	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	ImmuneScore_A1_7of8	Other	11	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	CD274	Other	11	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFN_Ayers_4of6	Other	11	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
CLDN4	IFNG	Other	11	0							1	0	0/6	ABSENT	primary	CLDN4 not on GPL31904 Metabolic Pathways Panel
