gene	n_LUAD	n_LUSC	median_LUAD	median_LUSC	mwu_U	mwu_p	role
CD8A	34	27	7.5	8.0	462.0	0.9702081953493362	panel_inventory_not_claim
CD274	34	27	7.0	7.0	447.0	0.8641363804366236	panel_inventory_not_claim
IFNG	34	27	4.0	5.0	355.0	0.1274556949853892	panel_inventory_not_claim
ImmuneScore_A1_7of8	34	27	0.021526330913808258	-0.14144487274587808	481.0	0.754900004574649	panel_inventory_not_claim
IFN_Ayers_4of6	34	27	-0.0006457547195660163	-0.08767917796684568	503.0	0.5276232724939327	panel_inventory_not_claim
