accession	unit	mouse_id	genotype	primary_arm	lkb_allele	histology	n_tumors	n_primary_tumors	sample_ids	cldn4	tnk_score	ifn_score	mhc_score	ifn_mhc_score
GSE6135	mouse	K_268	K	K	none	Ad	1	1	GSM176566	5.150090433	-0.5386995093178417	-0.7207897688031578	0.4530460286976364	-0.13387187005276063
GSE6135	mouse	K_287	K	K	none	Ad	1	1	GSM176567	5.8090726	0.20959680144000487	-0.47700764439114607	0.7573602287280811	0.14017629216846747
GSE6135	mouse	K_405	K	K	none	Ad	1	1	GSM176568	5.172956631	0.8825736280721386	-0.07583487865498204	0.5022037628298814	0.21318444208744972
GSE6135	mouse	K_484	K	K	none	Ad	1	1	GSM176569	5.48838672	-0.7730177104482145	-0.15487796546742	0.8127558532942158	0.3289389439133979
GSE6135	mouse	K_498	K	K	none	Ad	1	1	GSM176571	6.450677379	-0.5908156239096866	-0.5551343115527204	0.23132132226562105	-0.1619064946435497
GSE6135	mouse	K_Ink4a_14	K_Ink4a	K_Ink4a	none	Ad	1	1	GSM176572	4.584491867	0.9295948284225012	-0.268797678206024	-0.43249484754913015	-0.3506462628775771
GSE6135	mouse	KP_186	KP	KP	none	Ad	1	1	GSM176573	5.761733048	0.8059633620189177	-0.1307365853358992	0.1820062295400917	0.02563482210209624
GSE6135	mouse	KP_196	KP	KP	none	Ad	1	1	GSM176574	5.713447618	0.6268198460368413	-0.19931165261372802	0.004651709028089285	-0.0973299717928194
GSE6135	mouse	KP_197	KP	KP	none	Ad	1	1	GSM176576	5.781537955	0.7751690352442873	-0.2344666956930221	-0.08960155563111795	-0.16203412566207
GSE6135	mouse	K_Ink4a_91	K_Ink4a	K_Ink4a	none	Ad	1	1	GSM176577	5.5273695	0.7558548856188911	-0.05827815422875658	0.026648894920090822	-0.0158146296543329
GSE6135	mouse	KP_498	KP	KP	none	Ad	1	1	GSM176578	6.301533556	-0.21915637177844863	-0.29581456786992016	1.0288424479017624	0.366513940015921
GSE6135	mouse	KP_500	KP	KP	none	Ad	1	1	GSM176580	5.918043151	0.2302755893499011	-0.39929820822637385	-0.6057687337285105	-0.5025334709774422
GSE6135	mouse	KL_592	KL	KL	L/L	Ad	3	2	GSM176581,GSM176599,GSM176600	6.191756015499999	-0.54816947408956	-0.21593275592286643	-0.2948329035338386	-0.25538282972835263
GSE6135	mouse	KL_861	KL	KL	L/L	Ad	1	1	GSM176585	4.65079496	-0.007267865681832065	-0.2233459791104358	1.0206085499443307	0.3986312854169474
GSE6135	mouse	KL_113	KL	KL	L/-	Sq	1	1	GSM176587	7.285439063	-0.09024379521608802	0.3830200030437613	-1.0632412207732989	-0.3401106088647688
GSE6135	mouse	KL_het_392	KL_het	exclude_het	L/+	Ad	2	2	GSM176588,GSM176590	4.994416031	-0.12042929872637784	-0.07253367903324619	0.16490444390780173	0.04618538243727777
GSE6135	mouse	KL_452	KL	KL	L/-	Ad-sq	2	2	GSM176591,GSM176593	7.038279575000001	-0.42532375141273415	1.2286935733589395	-1.085455639825185	0.0716189667668772
GSE6135	mouse	KL_459	KL	KL	L/-	Ad	1	1	GSM176595	5.409407681	0.44580679768739917	0.07805311342213347	0.2774392740477086	0.17774619373492104
GSE6135	mouse	KL_540	KL	KL	L/-	Sq	2	2	GSM176596,GSM176597	7.2916846455	-0.6069393520980204	1.053670164301592	-0.3089398542106628	0.3723651550454647
GSE6135	mouse	KL_547	KL	KL	L/-	Ad	1	1	GSM176598	4.96750098	-0.26633673835015426	0.05940031473487484	0.2383016683677813	0.14885099155132808
