accession	unit	mouse_id	genotype	primary_arm	stk11	keap1	n_cells	n_tnk	tnk_fraction	n_epithelial	n_host_epithelial	cldn4	cldn4_pctpos	n_cldn4_pos	cldn4_epithelial	ifn_score	mhc_score	ifn_mhc_score	tnk_score
GSE267321	tumor	LKR13-K-1	K	K	WT	WT	1767	800	0.4527447651386531	129	0	0.007357102433503113	0.11318619128466327	2	0.10077519379844961	0.4263565891472869	10.70387596899225	5.565116279069768	
GSE267321	tumor	LKR13-K-2	K	K	WT	WT	1323	451	0.34089191232048377	71	2	0.0007558578987150416	0.07558578987150416	1	0.0	0.23849765258215957	7.082629107981221	3.66056338028169	
GSE267321	tumor	LKR13-KK-1	KK	KK	WT	KO	2172	392	0.18047882136279927	70	0	0.00046040515653775324	0.04604051565377532	1	0.0	0.8438095238095239	15.864761904761908	8.354285714285712	
GSE267321	tumor	LKR13-KK-2	KK	KK	WT	KO	681	48	0.07048458149779736	13	0	0.0	0.0	0	0.0	0.08717948717948718	4.610256410256411	2.3487179487179484	
GSE267321	tumor	LKR13-KLK-1	KLK	KL	KO	KO	1232	177	0.14366883116883117	58	0	0.0	0.0	0	0.0	1.5919540229885056	23.957471264367815	12.774712643678162	
GSE267321	tumor	LKR13-KLK-2	KLK	KL	KO	KO	781	40	0.05121638924455826	5	0	0.002560819462227913	0.2560819462227913	2	0.0	0.22666666666666666	8.84	4.533333333333333	
