accession	set	n_present	present
GSE6135	Cldn4	1	Cldn4
GSE6135	T_NK	16	Cd3d,Cd3e,Cd3g,Cd2,Cd8a,Cd8b1,Cd4,Nkg7,Gzma,Gzmb,Prf1,Klrb1c,Ncr1,Klrd1,Klrc1,Ifng
GSE6135	IFN	14	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Ifih1,Ifnb1
GSE6135	MHC	14	B2m,H2-K1,H2-D1,H2-Q4,H2-Q6,H2-Q7,H2-Aa,H2-Ab1,H2-Eb1,Tap1,Tap2,Psmb8,Psmb9,Ciita
GSE154989	Cldn4	1	Cldn4
GSE154989	T_NK	16	Cd3d,Cd3e,Cd3g,Cd2,Cd8a,Cd8b1,Cd4,Nkg7,Gzma,Gzmb,Prf1,Klrb1c,Ncr1,Klrd1,Klrc1,Ifng
GSE154989	IFN	15	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Ifih1,Ddx58,Ifnb1
GSE154989	MHC	15	B2m,H2-K1,H2-D1,H2-Q4,H2-Q6,H2-Q7,H2-Aa,H2-Ab1,H2-Eb1,Tap1,Tap2,Psmb8,Psmb9,Nlrc5,Ciita
GSE179502	Cldn4	1	Cldn4
GSE179502	T_NK	16	Cd3d,Cd3e,Cd3g,Cd2,Cd8a,Cd8b1,Cd4,Nkg7,Gzma,Gzmb,Prf1,Klrb1c,Ncr1,Klrd1,Klrc1,Ifng
GSE179502	IFN	15	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Ifih1,Ddx58,Ifnb1
GSE179502	MHC	15	B2m,H2-K1,H2-D1,H2-Q4,H2-Q6,H2-Q7,H2-Aa,H2-Ab1,H2-Eb1,Tap1,Tap2,Psmb8,Psmb9,Nlrc5,Ciita
GSE267321	Cldn4	1	Cldn4
GSE267321	T_NK	16	Cd3d,Cd3e,Cd3g,Cd2,Cd8a,Cd8b1,Cd4,Nkg7,Gzma,Gzmb,Prf1,Klrb1c,Ncr1,Klrd1,Klrc1,Ifng
GSE267321	IFN	15	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Ifih1,Ddx58,Ifnb1
GSE267321	MHC	15	B2m,H2-K1,H2-D1,H2-Q4,H2-Q6,H2-Q7,H2-Aa,H2-Ab1,H2-Eb1,Tap1,Tap2,Psmb8,Psmb9,Nlrc5,Ciita
