accession	unit	sample_id	mouse_id	genotype	primary_arm	lkb_allele	is_met	histology	title	cldn4	tnk_score	ifn_score	mhc_score	ifn_mhc_score	in_primary_contrast
GSE6135	tumor	GSM176566	K_268	K	K	none	False	Ad	268T1 ||  Kras || primary lung tumor || Ad	5.150090433	-0.5386995093178417	-0.7207897688031578	0.4530460286976364	-0.13387187005276063	True
GSE6135	tumor	GSM176567	K_287	K	K	none	False	Ad	287 ||  Kras || primary lung tumor || Ad	5.8090726	0.20959680144000487	-0.47700764439114607	0.7573602287280811	0.14017629216846747	True
GSE6135	tumor	GSM176568	K_405	K	K	none	False	Ad	405 ||  Kras || primary lung tumor || Ad	5.172956631	0.8825736280721386	-0.07583487865498204	0.5022037628298814	0.21318444208744972	True
GSE6135	tumor	GSM176569	K_484	K	K	none	False	Ad	484 ||  Kras || primary lung tumor || Ad	5.48838672	-0.7730177104482145	-0.15487796546742	0.8127558532942158	0.3289389439133979	True
GSE6135	tumor	GSM176571	K_498	K	K	none	False	Ad	498(2)-T1 ||  Kras || primary lung tumor || Ad	6.450677379	-0.5908156239096866	-0.5551343115527204	0.23132132226562105	-0.1619064946435497	True
GSE6135	tumor	GSM176572	K_Ink4a_14	K_Ink4a	K_Ink4a	none	False	Ad	14T1 || K-ras p16Ink4a-/- || primary lung tumor || Ad	4.584491867	0.9295948284225012	-0.268797678206024	-0.43249484754913015	-0.3506462628775771	False
GSE6135	tumor	GSM176573	KP_186	KP	KP	none	False	Ad	186T1 || K-ras p53L/L || primary lung tumor || Ad	5.761733048	0.8059633620189177	-0.1307365853358992	0.1820062295400917	0.02563482210209624	True
GSE6135	tumor	GSM176574	KP_196	KP	KP	none	False	Ad	196T1 || K-ras p53L/L || primary lung tumor || Ad	5.713447618	0.6268198460368413	-0.19931165261372802	0.004651709028089285	-0.0973299717928194	True
GSE6135	tumor	GSM176576	KP_197	KP	KP	none	False	Ad	197T1 || K-ras p53L/L || primary lung tumor || Ad	5.781537955	0.7751690352442873	-0.2344666956930221	-0.08960155563111795	-0.16203412566207	True
GSE6135	tumor	GSM176577	K_Ink4a_91	K_Ink4a	K_Ink4a	none	False	Ad	91T1 || K-ras p16Ink4a-/- || primary lung tumor || Ad	5.5273695	0.7558548856188911	-0.05827815422875658	0.026648894920090822	-0.0158146296543329	False
GSE6135	tumor	GSM176578	KP_498	KP	KP	none	False	Ad	498(1)T1 || K-ras p53L/L || primary lung tumor || Ad	6.301533556	-0.21915637177844863	-0.29581456786992016	1.0288424479017624	0.366513940015921	True
GSE6135	tumor	GSM176580	KP_500	KP	KP	none	False	Ad	500T1 || K-ras p53L/L || primary lung tumor || Ad	5.918043151	0.2302755893499011	-0.39929820822637385	-0.6057687337285105	-0.5025334709774422	True
GSE6135	tumor	GSM176581	KL_592	KL	exclude_met	L/L	True	Ad	592-M || K-ras LKB L/L  || Met || Ad	7.042337934	0.22560659346477152	-0.7145739464560289	-0.2954317045594758	-0.5050028255077524	False
GSE6135	tumor	GSM176585	KL_861	KL	KL	L/L	False	Ad	861T1 || K-ras LKB1 L/L || primary lung tumor || Ad	4.65079496	-0.007267865681832065	-0.2233459791104358	1.0206085499443307	0.3986312854169474	True
GSE6135	tumor	GSM176587	KL_113	KL	KL	L/-	False	Sq	113-T1 || K-ras Lkb1 L/- || primary lung tumor || Sq	7.285439063	-0.09024379521608802	0.3830200030437613	-1.0632412207732989	-0.3401106088647688	True
GSE6135	tumor	GSM176588	KL_het_392	KL_het	exclude_het	L/+	False	Ad	392T1 || K-ras Lkb1 L/+ || primary lung tumor || Ad	4.800506345	0.11601669208965953	0.12198370630785918	0.8885815649822525	0.5052826356450559	False
GSE6135	tumor	GSM176590	KL_het_392	KL_het	exclude_het	L/+	False	Ad	392T2 || K-ras Lkb1 L/+ || primary lung tumor || Ad	5.188325717	-0.3568752895424152	-0.26705106437435155	-0.558772677166649	-0.4129118707705004	False
GSE6135	tumor	GSM176591	KL_452	KL	KL	L/-	False	Ad-sq	452T1 || K-ras Lkb1 L/- || primary lung tumor || Ad-sq (mixed)	6.764258668	-0.45402760536904496	1.1141552187666839	-0.985380160876482	0.06438752894510102	True
GSE6135	tumor	GSM176593	KL_452	KL	KL	L/-	False	Ad-sq	452T2 || K-ras Lkb1 L/- || primary lung tumor || Ad-sq (mixed)	7.312300482	-0.39661989745642334	1.343231927951195	-1.185531118773888	0.0788504045886534	True
GSE6135	tumor	GSM176595	KL_459	KL	KL	L/-	False	Ad	459T1 || K-ras Lkb1 L/- || primary lung tumor || Ad	5.409407681	0.44580679768739917	0.07805311342213347	0.2774392740477086	0.17774619373492104	True
GSE6135	tumor	GSM176596	KL_540	KL	KL	L/-	False	Sq	540T1 || K-ras Lkb1 L/- || primary lung tumor || Sq	7.125875711	-0.9961805244759409	1.804209538880667	0.06254469516693176	0.9333771170237994	True
GSE6135	tumor	GSM176597	KL_540	KL	KL	L/-	False	Sq	540T2 || K-ras Lkb1 L/- || primary lung tumor || Sq	7.45749358	-0.21769817972009992	0.30313078972251717	-0.6804244035882573	-0.18864680693287003	True
