subset	n	n_q1	n_q4
q4q1	34	18	16
q4q1_drop205335	23	13	10
q4q1_dropSCLC	31	18	13
q4q1_luad	29	17	12
cont	64	NA	NA
cont_drop205335	43	NA	NA
cont_luad	56	NA	NA
cont_GSE205335_ADC	13	NA	NA
