model	method	family	n	n_genes	median_logFC	n_down	n_up	n_p05_expected
q4q1_dropSCLC	edgeR-QL	IFN	31	203	-0.419757070267882	158	45	53
q4q1_dropSCLC	edgeR-QL	MHC-I/APM	31	21	-0.491896226429089	17	4	5
q4q1_dropSCLC	edgeR-QL	chemokine	31	14	-1.71943409951244	11	3	7
q4q1_dropSCLC	edgeR-QL	TJ	31	168	0.0329501852086879	80	88	NA
q4q1_dropSCLC	edgeR-QL	keratin	31	9	-0.209091653262733	5	4	NA
q4q1_dropSCLC	edgeR-QL	STING_core	31	8	-0.322046307636715	7	1	3
q4q1_dropSCLC	edgeR-QL	NHEJ	31	10	-0.0252377275188153	5	5	NA
cont_drop205335	edgeR-QL	IFN	43	203	-0.0272752876808302	109	94	26
cont_drop205335	edgeR-QL	MHC-I/APM	43	21	-0.151621334734709	15	6	2
cont_drop205335	edgeR-QL	chemokine	43	14	-0.286357978039215	8	6	5
cont_drop205335	edgeR-QL	TJ	43	168	0.0536055276906171	67	101	NA
cont_drop205335	edgeR-QL	keratin	43	9	-0.014005912167813	5	4	NA
cont_drop205335	edgeR-QL	STING_core	43	8	-0.0149917533102944	4	4	1
cont_drop205335	edgeR-QL	NHEJ	43	9	-0.00954178704407318	5	4	NA
q4q1_krt_leak_drop205335	edgeR-QL	IFN	23	203	-0.192003144282572	120	83	19
q4q1_krt_leak_drop205335	edgeR-QL	MHC-I/APM	23	21	-0.661397912701051	16	5	1
q4q1_krt_leak_drop205335	edgeR-QL	chemokine	23	14	-0.322535964799295	9	5	0
q4q1_krt_leak_drop205335	edgeR-QL	TJ	23	168	0.105582627355493	75	93	NA
q4q1_krt_leak_drop205335	edgeR-QL	keratin	23	9	-0.916316647294348	7	2	NA
q4q1_krt_leak_drop205335	edgeR-QL	STING_core	23	8	-0.173862450088341	5	3	0
q4q1_krt_leak_drop205335	edgeR-QL	NHEJ	23	9	0.0378658454735809	4	5	NA
