contrast	test	family	NGenes	Direction	PValue	FDR
stacked	fry	chemokine	16	Down	1.66255630543316e-05	8.31278152716582e-05
stacked	fry	IFN	206	Down	0.000331003303620526	0.000827508259051314
stacked	fry	MHC-I/APM	21	Down	0.00440606902301132	0.00734344837168553
stacked	fry	TJ	162	Down	0.361929302844675	0.452411628555843
stacked	fry	keratin	10	Down	0.881239339084239	0.881239339084239
GSE123902	fry	IFN	194	Down	0.0456661947112888	0.157591751131958
GSE123902	fry	MHC-I/APM	20	Down	0.0630367004527832	0.157591751131958
GSE123902	fry	chemokine	12	Down	0.240672126101305	0.401120210168842
GSE123902	fry	TJ	162	Up	0.648532477385819	0.688787613567881
GSE123902	fry	keratin	8	Down	0.688787613567881	0.688787613567881
GSE131907	fry	chemokine	11	Down	0.0662282802268541	0.33114140113427
GSE131907	fry	TJ	157	Up	0.272317658354602	0.680794145886504
GSE131907	fry	keratin	9	Up	0.521567144812856	0.758162779227983
GSE131907	fry	MHC-I/APM	20	Down	0.699345584318886	0.758162779227983
GSE131907	fry	IFN	198	Down	0.758162779227983	0.758162779227983
GSE205335	fry	IFN	207	Down	0.00026572727343921	0.000805736793814424
GSE205335	fry	chemokine	15	Down	0.00032229471752577	0.000805736793814424
GSE205335	fry	MHC-I/APM	21	Down	0.0155998002594742	0.0259996670991236
GSE205335	fry	TJ	174	Down	0.0784228540012938	0.0980285675016172
GSE205335	fry	keratin	13	Down	0.145797274178222	0.145797274178222
GSE189357	fry	keratin	10	Up	0.037671728789263	0.188358643946315
GSE189357	fry	IFN	215	Down	0.234377192377679	0.585942980944198
GSE189357	fry	MHC-I/APM	21	Down	0.403712068850083	0.591538117638082
GSE189357	fry	chemokine	20	Down	0.49539056459723	0.591538117638082
GSE189357	fry	TJ	179	Down	0.591538117638082	0.591538117638082
stacked	camera	IFN	206	Down	1.51021578949636e-25	7.55107894748179e-25
stacked	camera	chemokine	16	Down	1.22912335086754e-11	3.07280837716884e-11
stacked	camera	MHC-I/APM	21	Down	2.86401030202311e-10	4.77335050337185e-10
stacked	camera	TJ	162	Down	0.203995770150693	0.254994712688366
stacked	camera	keratin	10	Down	0.685197722777542	0.685197722777542
GSE123902	camera	IFN	194	Down	1.41177610247636e-11	7.05888051238182e-11
GSE123902	camera	MHC-I/APM	20	Down	1.88783963989478e-05	4.71959909973695e-05
GSE123902	camera	chemokine	12	Down	0.00704883307764409	0.0117480551294068
GSE123902	camera	keratin	8	Down	0.362369433131238	0.452961791414048
GSE123902	camera	TJ	162	Up	0.594196020769184	0.594196020769184
GSE131907	camera	chemokine	11	Down	0.00461594066879339	0.023079703343967
GSE131907	camera	keratin	9	Up	0.0878076091633022	0.219519022908255
GSE131907	camera	MHC-I/APM	20	Down	0.23112491729563	0.245566212944193
GSE131907	camera	IFN	198	Down	0.240676326847223	0.245566212944193
GSE131907	camera	TJ	157	Up	0.245566212944193	0.245566212944193
GSE205335	camera	IFN	207	Down	2.65632941162819e-35	1.32816470581409e-34
GSE205335	camera	MHC-I/APM	21	Down	2.46173816135547e-12	6.15434540338867e-12
GSE205335	camera	chemokine	15	Down	2.03715205252112e-10	3.39525342086854e-10
GSE205335	camera	keratin	13	Down	0.00499420288659976	0.0062427536082497
GSE205335	camera	TJ	174	Down	0.0227217782493508	0.0227217782493508
GSE189357	camera	IFN	215	Down	0.000158207327960257	0.000791036639801287
GSE189357	camera	keratin	10	Up	0.00284476203193099	0.00711190507982748
GSE189357	camera	MHC-I/APM	21	Down	0.0148274794333817	0.0247124657223028
GSE189357	camera	chemokine	20	Down	0.0210642040138763	0.0263302550173453
GSE189357	camera	TJ	179	Down	0.712738367609841	0.712738367609841
