model	method	family	n	n_q1	n_q4	n_genes	median_logFC	n_down	n_up	fry_direction	fry_p
q4q1_drop205335	limma-voom	chemokine	23	13	10	14	-1.73773963268192	10	4	Down	0.00696982748210055
q4q1_drop205335	limma-voom	IFN	23	13	10	203	-0.313291627692927	136	67	Down	0.142150127274684
q4q1_drop205335	limma-voom	MHC-I/APM	23	13	10	21	-0.396796560098945	17	4	Down	0.170472707386803
q4q1_drop205335	limma-voom	keratin	23	13	10	9	0.708886516087644	3	6	Up	0.468702632143115
q4q1_drop205335	limma-voom	STING_core	23	13	10	8	-0.257438383977645	5	3	Down	0.480968751864237
q4q1_drop205335	limma-voom	NHEJ	23	13	10	9	-0.0735507327734047	7	2	Down	0.555222750696933
q4q1_drop205335	limma-voom	TJ	23	13	10	168	0.00418806980042812	82	86	Up	0.563773245456889
q4q1_dropSCLC	limma-voom	chemokine	31	18	13	14	-1.91196834472083	11	3	Down	0.000433679966533628
q4q1_dropSCLC	limma-voom	IFN	31	18	13	203	-0.490689388031566	163	40	Down	0.00982121998050442
q4q1_dropSCLC	limma-voom	MHC-I/APM	31	18	13	21	-0.621034720097179	18	3	Down	0.0388536695130328
q4q1_dropSCLC	limma-voom	STING_core	31	18	13	8	-0.313381231140821	6	2	Down	0.0472318197660002
q4q1_dropSCLC	limma-voom	NHEJ	31	18	13	10	-0.0587709119505215	7	3	Down	0.687337812142716
q4q1_dropSCLC	limma-voom	keratin	31	18	13	9	0.50058199731336	3	6	Up	0.712537888945123
q4q1_dropSCLC	limma-voom	TJ	31	18	13	168	-0.0151761693210944	85	83	Up	0.966824671207057
q4q1_luad	limma-voom	chemokine	29	17	12	14	-1.64858900613363	11	3	Down	0.00245730221715073
q4q1_luad	limma-voom	IFN	29	17	12	203	-0.458323564731454	160	43	Down	0.0326916384776921
q4q1_luad	limma-voom	MHC-I/APM	29	17	12	21	-0.647585093326096	18	3	Down	0.0691820805648604
q4q1_luad	limma-voom	STING_core	29	17	12	8	-0.363370587394895	5	3	Down	0.0695044834383696
q4q1_luad	limma-voom	NHEJ	29	17	12	10	-0.121588763248164	8	2	Down	0.100800936143217
q4q1_luad	limma-voom	TJ	29	17	12	168	0.0362506312991335	79	89	Up	0.448119214354136
q4q1_luad	limma-voom	keratin	29	17	12	9	0.599220829372158	3	6	Up	0.474674035598684
q4q1_krt	limma-voom	chemokine	34	18	16	14	-1.86253164381948	12	2	Down	1.21685943188798e-06
q4q1_krt	limma-voom	IFN	34	18	16	203	-0.730362929145773	168	35	Down	0.000175008634981217
q4q1_krt	limma-voom	MHC-I/APM	34	18	16	21	-1.00040260498726	18	3	Down	0.00222403693535959
q4q1_krt	limma-voom	STING_core	34	18	16	8	-0.633375396700026	6	2	Down	0.00259126214060433
q4q1_krt	limma-voom	TJ	34	18	16	168	0.00627582896036164	81	87	Up	0.73540976321921
q4q1_krt	limma-voom	keratin	34	18	16	9	0.12422290839891	4	5	Down	0.756239349909031
q4q1_krt	limma-voom	NHEJ	34	18	16	10	0.0329625735145141	4	6	Down	0.977526484353652
q4q1_krt_leak	limma-voom	IFN	34	18	16	203	-0.526023213212488	154	49	Down	0.0423845675596836
q4q1_krt_leak	limma-voom	STING_core	34	18	16	8	-0.546474834512066	6	2	Down	0.0513580315930614
q4q1_krt_leak	limma-voom	chemokine	34	18	16	14	-0.687128462200895	11	3	Down	0.0704731957937494
q4q1_krt_leak	limma-voom	MHC-I/APM	34	18	16	21	-0.67560809202232	19	2	Down	0.113575358947696
q4q1_krt_leak	limma-voom	keratin	34	18	16	9	-0.627508636738175	7	2	Down	0.244988887228543
q4q1_krt_leak	limma-voom	NHEJ	34	18	16	10	0.010515650523911	5	5	Up	0.81639050723505
q4q1_krt_leak	limma-voom	TJ	34	18	16	168	0.0788773010228953	74	94	Up	0.866014580748386
q4q1_krt_leak_drop205335	limma-voom	MHC-I/APM	23	13	10	21	-0.619440546457611	16	5	Down	0.273196163849229
q4q1_krt_leak_drop205335	limma-voom	keratin	23	13	10	9	-0.84989520161364	7	2	Down	0.352929667017629
q4q1_krt_leak_drop205335	limma-voom	chemokine	23	13	10	14	-0.520101677443886	9	5	Down	0.380562572666125
q4q1_krt_leak_drop205335	limma-voom	IFN	23	13	10	203	-0.263844968643318	129	74	Down	0.413012093689854
q4q1_krt_leak_drop205335	limma-voom	STING_core	23	13	10	8	-0.219617593787458	6	2	Down	0.465640131835826
q4q1_krt_leak_drop205335	limma-voom	NHEJ	23	13	10	9	-0.0799551775523753	5	4	Up	0.646921361734868
q4q1_krt_leak_drop205335	limma-voom	TJ	23	13	10	168	0.0532222319802335	79	89	Down	0.859235676542949
cont	limma-voom	chemokine	64	NA	NA	14	-0.556723656193536	11	3	Down	0.000977623633001829
cont	limma-voom	IFN	64	NA	NA	203	-0.211141057925374	166	37	Down	0.00740686449130175
cont	limma-voom	MHC-I/APM	64	NA	NA	21	-0.298043081169866	18	3	Down	0.0102002693159896
cont	limma-voom	STING_core	64	NA	NA	8	-0.216734562341399	6	2	Down	0.0492818334877191
cont	limma-voom	NHEJ	64	NA	NA	10	-0.0311794973625678	6	4	Down	0.181226410681781
cont	limma-voom	keratin	64	NA	NA	9	0.32605894552568	3	6	Up	0.216511906635291
cont	limma-voom	TJ	64	NA	NA	168	-0.0148406395924034	87	81	Down	0.914113550360708
cont_drop205335	limma-voom	keratin	43	NA	NA	9	0.527628894524966	2	7	Up	0.0174234337465447
cont_drop205335	limma-voom	chemokine	43	NA	NA	14	-0.406647083700813	9	5	Down	0.0652045179168683
cont_drop205335	limma-voom	TJ	43	NA	NA	168	0.0133904650563503	80	88	Up	0.347946312205425
cont_drop205335	limma-voom	MHC-I/APM	43	NA	NA	21	-0.112760224843965	14	7	Down	0.431298210990845
cont_drop205335	limma-voom	IFN	43	NA	NA	203	-0.03662807076615	118	85	Down	0.501872308470412
cont_drop205335	limma-voom	NHEJ	43	NA	NA	9	-0.00816024058672222	6	3	Down	0.510030144194831
cont_drop205335	limma-voom	STING_core	43	NA	NA	8	-0.0137712136679395	4	4	Up	0.830840239849651
cont_krt_drop205335	limma-voom	chemokine	43	NA	NA	14	-0.653728151603884	10	4	Down	0.0102505533945986
cont_krt_drop205335	limma-voom	MHC-I/APM	43	NA	NA	21	-0.297452291283349	17	4	Down	0.049115670771405
cont_krt_drop205335	limma-voom	IFN	43	NA	NA	203	-0.146508503325514	138	65	Down	0.0843823420313531
cont_krt_drop205335	limma-voom	STING_core	43	NA	NA	8	-0.066020362845118	4	4	Down	0.408298072528063
cont_krt_drop205335	limma-voom	TJ	43	NA	NA	168	0.0270705915875013	81	87	Up	0.663721858577135
cont_krt_drop205335	limma-voom	NHEJ	43	NA	NA	9	-0.0253103457547023	6	3	Down	0.783497136794813
cont_krt_drop205335	limma-voom	keratin	43	NA	NA	9	0.0798454575731492	3	6	Down	0.987901810677463
cont_krt_leak_drop205335	limma-voom	MHC-I/APM	43	NA	NA	21	-0.124572016777646	16	5	Down	0.259556159652364
cont_krt_leak_drop205335	limma-voom	NHEJ	43	NA	NA	9	-0.0590483730676677	7	2	Down	0.362151885029757
cont_krt_leak_drop205335	limma-voom	chemokine	43	NA	NA	14	0.0466533666017462	3	11	Up	0.559006101838568
cont_krt_leak_drop205335	limma-voom	TJ	43	NA	NA	168	0.0224892474347025	77	91	Up	0.62715884205411
cont_krt_leak_drop205335	limma-voom	IFN	43	NA	NA	203	-0.0215561110703038	109	94	Down	0.837806684553553
cont_krt_leak_drop205335	limma-voom	STING_core	43	NA	NA	8	-0.0456561758423871	5	3	Up	0.941385653000568
cont_krt_leak_drop205335	limma-voom	keratin	43	NA	NA	9	-0.0757291009130286	5	4	Down	0.963802922323523
cont_luad	limma-voom	keratin	56	NA	NA	9	0.541520507223141	1	8	Up	0.00879598658575811
cont_luad	limma-voom	TJ	56	NA	NA	168	0.0301016855617932	73	95	Up	0.0336353371103395
cont_luad	limma-voom	chemokine	56	NA	NA	14	-0.333111606613153	10	4	Down	0.0350194072656598
cont_luad	limma-voom	NHEJ	56	NA	NA	10	-0.00733944762598492	5	5	Down	0.117090500826094
cont_luad	limma-voom	MHC-I/APM	56	NA	NA	21	-0.195174327776389	17	4	Down	0.121877242553446
cont_luad	limma-voom	IFN	56	NA	NA	203	-0.0985383826118978	140	63	Down	0.178264300901743
cont_luad	limma-voom	STING_core	56	NA	NA	8	-0.0759411192751913	5	3	Down	0.565782879932886
