contrast	method	family	n_genes	n_up	n_down	n_p05	n_p05_up	n_p05_down	n_fdr05	median_logFC	mean_logFC	sign_p_expected	fdr_sign
stacked	limma-voom	IFN	206	30	176	98	2	96	37	-0.812972878527041	-0.949009864542634	1.246984984486e-26	6.23492492242998e-26
stacked	limma-voom	MHC-I/APM	21	2	19	14	0	14	3	-0.966906044474851	-1.02407512307984	0.000110626220703125	0.000276565551757812
stacked	limma-voom	chemokine	16	2	14	10	0	10	7	-2.01948263730221	-1.8349407726789	0.0020904541015625	0.00348409016927083
stacked	limma-voom	TJ	162	71	91	34	15	19	6	-0.0813408214611357	-0.0833423540259425	0.950669558503463	0.950669558503463
stacked	limma-voom	keratin	10	6	4	0	0	0	0	0.110796630721042	-0.531299077608941	0.376953125	0.47119140625
stacked	edgeR-QL	IFN	206	39	167	79	3	76	22	-0.575018946032587	-0.735924169674537	2.30563265628181e-20	1.15281632814091e-19
stacked	edgeR-QL	MHC-I/APM	21	3	18	11	0	11	3	-0.709817229133479	-0.736709525259121	0.000744819641113282	0.0018620491027832
stacked	edgeR-QL	chemokine	16	3	13	10	0	10	8	-2.00874230286706	-1.84435803436851	0.0106353759765625	0.0177256266276042
stacked	edgeR-QL	TJ	162	79	83	34	18	16	5	-0.0258387771487018	-0.0107528220991295	0.652716316283514	0.815895395354392
stacked	edgeR-QL	keratin	10	3	7	2	0	2	0	-0.544188197492877	-1.24064902549807	0.9453125	0.9453125
re_meta_kge3	limma-voom	IFN	203	34	169	23	2	21	0	-0.672649102567346	-0.784378319430711	5.00410585155266e-23	2.50205292577633e-22
re_meta_kge3	limma-voom	MHC-I/APM	21	3	18	4	0	4	0	-0.812295632426096	-0.819839764780711	0.000744819641113282	0.0018620491027832
re_meta_kge3	limma-voom	chemokine	12	3	9	4	0	4	0	-1.62885913010546	-1.33707362461682	0.072998046875	0.121663411458333
re_meta_kge3	limma-voom	TJ	163	76	87	9	3	6	0	-0.0344650347532615	-0.0907544643608745	0.82635339545162	0.82635339545162
re_meta_kge3	limma-voom	keratin	8	5	3	0	0	0	0	0.303664759862951	-0.225540764041276	0.36328125	0.4541015625
re_meta_kge3	edgeR-QL	IFN	203	43	160	27	1	26	0	-0.532621616559812	-0.600722337595132	2.41296712960713e-17	1.20648356480357e-16
re_meta_kge3	edgeR-QL	MHC-I/APM	21	3	18	7	0	7	0	-0.744291669075314	-0.694893087831918	0.000744819641113282	0.0018620491027832
re_meta_kge3	edgeR-QL	chemokine	12	3	9	5	0	5	0	-1.18628505882284	-1.10891301437333	0.072998046875	0.121663411458333
re_meta_kge3	edgeR-QL	TJ	163	84	79	10	6	4	0	0.0155627399050512	-0.0198550859826275	0.377080194902719	0.377080194902719
re_meta_kge3	edgeR-QL	keratin	8	5	3	0	0	0	0	0.193125083057943	-0.325705849305811	0.36328125	0.377080194902719
GSE123902	limma-voom	IFN	194	38	156	65	3	62	0	-0.780154220165685	-1.0151217696145	1.78164280143684e-18	8.9082140071842e-18
GSE123902	limma-voom	MHC-I/APM	20	1	19	5	0	5	0	-0.868176814242747	-0.995116847378741	2.00271606445312e-05	5.00679016113281e-05
GSE123902	limma-voom	chemokine	12	4	8	4	0	4	0	-1.78039490780491	-1.42085404273018	0.19384765625	0.2423095703125
GSE123902	limma-voom	TJ	162	89	73	40	21	19	0	0.0700574871877692	-0.113525980980268	0.119250249837891	0.198750416396485
GSE123902	limma-voom	keratin	8	4	4	1	0	1	0	0.0271134008429292	-1.13138436500511	0.63671875	0.63671875
GSE123902	edgeR-QL	IFN	194	43	151	45	3	42	0	-0.673473105685036	-0.885791415553118	1.41005437063609e-15	7.05027185318047e-15
GSE123902	edgeR-QL	MHC-I/APM	20	4	16	9	0	9	0	-0.879398692916583	-0.94756790578685	0.00590896606445313	0.00984827677408855
GSE123902	edgeR-QL	chemokine	12	3	9	4	0	4	0	-1.90151950543162	-1.46304312664005	0.072998046875	0.0912475585937501
GSE123902	edgeR-QL	TJ	162	103	59	29	20	9	0	0.273370650595779	0.202636137514571	0.000340682114855472	0.000851705287138679
GSE123902	edgeR-QL	keratin	8	5	3	1	0	1	0	0.0788503821350693	-1.13423176243696	0.36328125	0.36328125
