model	family	estimator	n	n_q1	n_q4	n_cohorts	logFC	p	excludes_gse205335
cont	chemokine	lmm	64	NA	NA	4	-0.39975248956648	0.0138857326282456	FALSE
cont	chemokine	ols	64	NA	NA	4	-0.399752489566479	0.0138402086597352	FALSE
cont_drop205335	chemokine	lmm	43	NA	NA	3	-0.16804558436679	0.328467147931169	TRUE
cont_drop205335	chemokine	ols	43	NA	NA	3	-0.16804558436679	0.328453203226077	TRUE
cont_drop205335_within_meta	chemokine	re_meta	43	NA	NA	3	-0.21024443707181	0.423872810847772	TRUE
cont_GSE205335_ADC	chemokine	ols	13	NA	NA	1	-0.345575459860956	0.320317228266941	FALSE
cont_krt	chemokine	ols	64	NA	NA	4	-0.542270833317465	0.000291799556157631	FALSE
cont_krt_drop205335	chemokine	lmm	43	NA	NA	3	-0.305497549795898	0.0959470903702651	TRUE
cont_krt_drop205335	chemokine	ols	43	NA	NA	3	-0.305497549795898	0.0959379034116466	TRUE
cont_krt_drop205335_within_meta	chemokine	re_meta	43	NA	NA	3	-0.417866442596393	0.172683448886724	TRUE
cont_krt_leak	chemokine	ols	64	NA	NA	4	0.0504570670297567	0.667575033831133	FALSE
cont_krt_leak_drop205335	chemokine	lmm	43	NA	NA	3	0.220216579271759	0.0978307597902654	TRUE
cont_krt_leak_drop205335	chemokine	ols	43	NA	NA	3	0.22021657927176	0.0978263255039271	TRUE
cont_leak	chemokine	ols	64	NA	NA	4	0.218243537123223	0.0972674701287869	FALSE
cont_leak_drop205335	chemokine	ols	43	NA	NA	3	0.324494468921975	0.0117083748165244	TRUE
cont_luad	chemokine	lmm	56	NA	NA	4	-0.209014017173136	0.170246735062983	FALSE
cont_luad	chemokine	ols	56	NA	NA	4	-0.209014017173136	0.170076933242277	FALSE
cont_luad_krt_leak	chemokine	ols	56	NA	NA	4	0.112311905597255	0.34054156140198	FALSE
cont_malfrac	chemokine	ols	64	NA	NA	4	-0.0426144833442807	0.797038725672174	FALSE
cont_malfrac_drop205335	chemokine	ols	43	NA	NA	3	0.155416878032316	0.41683825670937	TRUE
cont_spearman_drop205335_meta	chemokine	spearman_meta	43	NA	NA	3	-0.259751209146789	0.226669933620559	TRUE
