contrast	method	gene	family	logFC	se	p	fdr
stacked	limma-voom	B2M	IFN|MHC-I/APM	-0.886008767872843	0.302089517391431	0.00611375168567248	0.11611879941801
stacked	limma-voom	CCL5	IFN|chemokine	-3.24982482816832	0.493953393182034	2.01901020856285e-07	0.00021318422957053
stacked	limma-voom	CDH1	TJ	0.946710547521643	0.496543853639035	0.0655553206199848	0.362009068985269
stacked	limma-voom	CLDN3	TJ	1.80009629740048	0.421418851172616	0.000161528054049126	0.0141691479354028
stacked	limma-voom	CLDN4	other	1.67712345267882	0.787097462314792	0.0408631921395308	0.291200994598071
stacked	limma-voom	CLDN7	TJ	0.087478896037248	0.401544373777637	0.828919864523416	0.950664911369651
stacked	limma-voom	CXCL10	IFN|chemokine	-4.21968614074579	1.09343856445974	0.00051737980924198	0.0286746000640339
stacked	limma-voom	CXCL8	chemokine	0.206397621461663	0.706559901194759	0.772077003271526	0.930561522513273
stacked	limma-voom	F11R	TJ	0.468532820893671	0.252626581231567	0.0727485386571842	0.375857174511461
stacked	limma-voom	HLA-A	IFN|MHC-I/APM	-0.757598729748977	0.467842203060201	0.115154963927657	0.45416857365704
stacked	limma-voom	HLA-B	IFN|MHC-I/APM	-1.41579511199607	0.500685446426638	0.00800834035486204	0.131953640468693
stacked	limma-voom	IFIT1	IFN	-2.36948277601434	0.779810196957468	0.00469755373131415	0.100663045071904
stacked	limma-voom	IRF1	IFN|MHC-I/APM	-0.636329214947639	0.304834629361441	0.0447768283056996	0.305977792082329
stacked	limma-voom	ISG15	IFN	-1.13868497239274	0.594971123482216	0.0645892954692483	0.360226579635362
stacked	limma-voom	KRT18	keratin	0.396462156952376	0.684265795536227	0.566364087887693	0.840004540033407
stacked	limma-voom	KRT19	keratin	0.0579842244020497	1.00896423001694	0.95452771873809	0.988160678771738
stacked	limma-voom	KRT7	keratin	0.255552011580953	0.998434539317751	0.799620105343998	0.941042153262869
stacked	limma-voom	KRT8	keratin	0.163609037040035	0.610046724774157	0.790267869869839	0.939521854263158
stacked	limma-voom	MX1	IFN	-1.53787797228706	0.531085375221163	0.00675438136490951	0.121648703075837
stacked	limma-voom	OCLN	TJ	0.58890285629202	0.330668339854263	0.0842802383160069	0.401129910296605
stacked	limma-voom	PSMB8	IFN|MHC-I/APM	-0.71398625293861	0.318426653972085	0.0319139416481386	0.26075968286422
stacked	limma-voom	PSMB9	IFN|MHC-I/APM	-1.6896329272232	0.478370507086939	0.00127295440289819	0.0482022765047754
stacked	limma-voom	STAT1	IFN	-1.10403514952224	0.268878726868186	0.00025447743938043	0.0187516707809603
stacked	limma-voom	TAP1	IFN|MHC-I/APM	-1.73090548038985	0.420276754382516	0.000249563235956495	0.0187516707809603
stacked	limma-voom	TAP2	MHC-I/APM	-1.90895857299517	0.431741496100421	0.000105139258269464	0.0106830248006631
stacked	limma-voom	TJP1	TJ	0.0169282960360195	0.282816889158835	0.952637232858084	0.987506162193564
stacked	edgeR-QL	B2M	IFN|MHC-I/APM	-0.709817229133479	0.325470333302199	0.0365071019082551	0.264708109223902
stacked	edgeR-QL	CCL5	IFN|chemokine	-2.54289286451134	0.504070664504923	1.71358582695617e-05	0.00559199978361759
stacked	edgeR-QL	CDH1	TJ	0.604359906198471	0.381042821262376	0.122472491739356	0.443688658136847
stacked	edgeR-QL	CLDN3	TJ	1.79096611435383	0.38092034204483	4.5899606854569e-05	0.00792115413208745
stacked	edgeR-QL	CLDN4	other	0.974169903677219	0.449806888279202	0.037826889439744	0.268934847194635
