sensitivity	family	n_q1	n_q4	n	n_genes	median_logFC	mean_logFC	n_up	n_down	fry_direction	fry_p
drop_GSE123902	chemokine	14	13	27	14	-2.09577418575235	-1.69278250631195	2	12	Down	0.000148623224110979
drop_GSE123902	IFN	14	13	27	202	-0.715096308627732	-0.897148808120748	32	170	Down	0.00299856915745199
drop_GSE123902	MHC-I/APM	14	13	27	21	-0.860428578808506	-0.935243922241461	3	18	Down	0.0252975954839298
drop_GSE123902	TJ	14	13	27	162	-0.0849977993866085	-0.0465730676848371	71	91	Down	0.452306781140967
drop_GSE123902	keratin	14	13	27	10	0.169225014020556	-0.330645985189665	6	4	Down	0.975847685578009
drop_GSE123902	CLDN4	14	13	27	1	1.92488881101834	1.92488881101834	NA	NA	NA	0.0593515150664449
drop_GSE131907	IFN	12	11	23	206	-1.12047781742713	-1.31207880631943	20	186	Down	4.26661222005927e-05
drop_GSE131907	chemokine	12	11	23	16	-2.35040954000599	-2.12905773152381	1	15	Down	0.000215232088712961
drop_GSE131907	MHC-I/APM	12	11	23	21	-1.26946268392082	-1.33512865087379	2	19	Down	0.00218664600777074
drop_GSE131907	keratin	12	11	23	11	-0.249904423393001	-1.39974646087048	4	7	Down	0.135755088322067
drop_GSE131907	TJ	12	11	23	164	-0.0777363421163122	-0.173850446219367	74	90	Down	0.136907932715567
drop_GSE131907	CLDN4	12	11	23	1	0.964287011250971	0.964287011250971	NA	NA	NA	0.0122146782988399
drop_GSE205335	chemokine	13	10	23	15	-2.04994703200193	-1.21839623234093	4	11	Down	0.00391254449281871
drop_GSE205335	IFN	13	10	23	205	-0.355650281395853	-0.412415781020034	65	140	Down	0.0968468653138724
drop_GSE205335	MHC-I/APM	13	10	23	21	-0.439607740602964	-0.56545820043846	3	18	Down	0.128616498997171
drop_GSE205335	keratin	13	10	23	9	0.664179093802082	0.268380910731393	6	3	Up	0.523651944285343
drop_GSE205335	TJ	13	10	23	165	0.00463961926663714	0.00802605348709985	83	82	Up	0.909304870900092
drop_GSE205335	CLDN4	13	10	23	1	2.1620147905159	2.1620147905159	NA	NA	NA	0.0470594572789811
drop_GSE189357	chemokine	15	14	29	13	-2.16163994219987	-1.98520200528727	2	11	Down	1.05695616010769e-05
drop_GSE189357	IFN	15	14	29	204	-0.873755677157469	-1.08111885282604	27	177	Down	0.000423931803147428
drop_GSE189357	MHC-I/APM	15	14	29	21	-1.00958644511078	-1.11938912189378	1	20	Down	0.00652745237868551
drop_GSE189357	TJ	15	14	29	161	-0.0368723667076057	-0.0763924491776103	73	88	Down	0.470773280637528
drop_GSE189357	keratin	15	14	29	9	0.143721354336005	-0.689774178239075	5	4	Down	0.821627869445971
drop_GSE189357	CLDN4	15	14	29	1	1.8043191975388	1.8043191975388	NA	NA	NA	0.0555282136572383
drop_n_malignant_lt50	chemokine	17	16	33	15	-2.20594523672834	-1.83583841327383	2	13	Down	2.28133111987764e-05
drop_n_malignant_lt50	IFN	17	16	33	204	-0.81522540529702	-0.952537363139393	30	174	Down	0.000416456112166177
drop_n_malignant_lt50	MHC-I/APM	17	16	33	21	-0.974635006911706	-1.04914757517205	2	19	Down	0.00415158515085399
drop_n_malignant_lt50	TJ	17	16	33	162	-0.0720582434973171	-0.0788065805894065	71	91	Down	0.397053588153472
drop_n_malignant_lt50	keratin	17	16	33	10	0.0403439417968489	-0.58048590529569	5	5	Down	0.832299076674691
drop_n_malignant_lt50	CLDN4	17	16	33	1	1.67224337035052	1.67224337035052	NA	NA	NA	0.0472234063343215
