contrast	n	cor	frac_same_sign
stacked	12193	0.842526257161851	0.86082178299024
re_meta	17951	0.882818340909014	0.897917831190609
GSE123902	10694	0.847002090901715	0.874789601645783
GSE131907	12856	0.769087129685119	0.852986932171749
GSE205335	15769	0.799223887417656	0.856046673853764
GSE189357	14529	0.952578176049671	0.951889324798678
