gene	logFC	se	t	p	fdr	AveExpr	method	contrast	family
ACTB	-0.5285944310725	0.223511491465778	-2.36495415786456	0.0241685603213602	0.22861695577839	11.3721657281405	limma-voom	stacked	TJ
ACTG1	-0.348204833685429	0.229601530537971	-1.51656146572526	0.139054870245084	0.492754146530305	10.9583277751892	limma-voom	stacked	TJ
ACTN1	-0.395126418809842	0.451601811137714	-0.874944274059499	0.38810240484257	0.734874423489239	5.38550159325575	limma-voom	stacked	TJ
ACTN4	-0.455262031202375	0.312283390123164	-1.45784901023016	0.154489577642319	0.514099992061327	7.20604838586434	limma-voom	stacked	TJ
ACTR2	-0.278000987960131	0.172611608838175	-1.61055788675697	0.116957362029229	0.455465063948384	6.62429422413332	limma-voom	stacked	TJ
ACTR3	-0.480471041804687	0.203639335246582	-2.35942157846321	0.0244768548755369	0.230995581654351	6.67212120347956	limma-voom	stacked	TJ
ACTR3B	0.130064242481508	0.267539358376583	0.486149937978218	0.630126236958477	0.867851942779381	2.4237297566235	limma-voom	stacked	TJ
ACTR3C	0.161808549833454	0.391308178365073	0.413506690582107	0.681954153561792	0.892078853597139	2.15404872263144	limma-voom	stacked	TJ
ADAR	-0.129970778040265	0.182448208824459	-0.712370808558147	0.481323685420564	0.794298086154425	6.39710463811793	limma-voom	stacked	IFN
AMOT	1.94787601182486	0.8145449257094	2.39136719209001	0.0228144116190665	0.22300668005345	1.63971954282747	limma-voom	stacked	TJ
AMOTL1	0.551362751760294	0.682729502826598	0.807585946524316	0.4252716863177	0.758312031481678	2.0863391125727	limma-voom	stacked	TJ
AMOTL2	-0.813127164574726	0.530116717045422	-1.5338644084017	0.134858772731134	0.485367236455035	3.84876415369191	limma-voom	stacked	TJ
APC	-0.0259736306904185	0.29030883746268	-0.0894689631822093	0.929258879264066	0.980120007992447	3.74592308116328	limma-voom	stacked	TJ
APOL6	-0.437110908498459	0.422891232790148	-1.03362490069726	0.309034472689692	0.677186585878109	4.66851746446827	limma-voom	stacked	IFN
ARHGAP17	-0.171659345076349	0.226307807306897	-0.75852153365421	0.453610430205444	0.777132228797095	3.36083711448186	limma-voom	stacked	TJ
ARHGEF2	0.519285048427052	0.287631398424179	1.80538373512771	0.0802956704619978	0.394054388850642	4.61540272150386	limma-voom	stacked	TJ
