gene	family	method	k	logFC	se	p_z	p_t	fdr_kge2	fdr_kge3	tau2	I2	max_weight_share	dominant_cohort
ACTB	TJ	limma-voom	4	-0.3760192699851	0.29509562676867	0.202582433017142	0.292330595553523	0.941378361434338	0.87594807160056	0.215424572098637	0.643328220289877	0.319747007956797	GSE131907
ACTG1	TJ	limma-voom	4	-0.348849439513178	0.209700941944364	0.0962010200058976	0.194788770006501	0.941378361434338	0.87594807160056	0	0	0.373701720685789	GSE131907
ACTN1	TJ	limma-voom	4	-0.483836311013324	0.557395961629312	0.385378013344444	0.449242720729349	0.941378361434338	0.90007684281597	0.788755008271247	0.695696068008747	0.32619732499168	GSE189357
ACTN4	TJ	limma-voom	4	-0.172832640894165	0.285249815807578	0.544581677466711	0.587351431164645	0.947398972740496	0.925347763431136	0.146670597693751	0.467220977684992	0.357874972869317	GSE189357
ACTR2	TJ	limma-voom	4	-0.163423651883836	0.271515318484161	0.547244181617279	0.589691580345709	0.947398972740496	0.925347763431136	0.206406868073553	0.705574947703599	0.270901553365143	GSE123902
ACTR3	TJ	limma-voom	4	-0.455446378996824	0.315970718261682	0.149466182855875	0.245125566004106	0.941378361434338	0.87594807160056	0.277809767042685	0.706459627375528	0.280034744709575	GSE131907
ACTR3B	TJ	limma-voom	3	0.377104345405922	0.422572280362659	0.372177502976838	0.466342846036399	0.941378361434338	0.902826116422397	0.248215368211224	0.463076334506455	0.367337023723707	GSE205335
ACTR3C	TJ	limma-voom	4	-0.112121492512254	0.286441690024098	0.69548039674093	0.721626332878884	0.964659056804681	0.951955063146729	0.0334748449124007	0.0947834148679554	0.43398687940453	GSE189357
ADAR	IFN	limma-voom	4	-0.108371788515329	0.171864580622911	0.528324992681285	0.573086121470211	0.946676889483109	0.921914390251129	0	0	0.366398870096908	GSE189357
AFDN	TJ	limma-voom	3	0.530481027712501	0.480416522008673	0.269501782000009	0.384578773663294	0.941378361434338	0.889438540820004	0.438979813974969	0.63559771706026	0.363018841046823	GSE189357
AMOT	TJ	limma-voom	4	1.05120946825256	0.837120942946817	0.209208858596537	0.298109675519172	0.941378361434338	0.878917658159944	1.56508646095697	0.594134176370609	0.399185318509871	GSE189357
AMOTL1	TJ	limma-voom	4	-0.370688440177325	0.983663497344848	0.706288970839256	0.731365330520594	0.966286710496243	0.954461206102779	2.4808396319706	0.708624981141009	0.370514511590377	GSE189357
AMOTL2	TJ	limma-voom	4	-0.161394878435312	0.299645403730604	0.590149381439774	0.627549415110593	0.951060424337084	0.93165863580656	0.0527126558484489	0.127462802373047	0.535995570090148	GSE189357
APC	TJ	limma-voom	4	-0.028719471156288	0.272096869532791	0.915940427871037	0.922602047858285	0.99101474849503	0.987306605235836	0	0	0.295174382519507	GSE189357
APOL6	IFN	limma-voom	4	-0.352844333947428	0.529535946111049	0.505201827040332	0.552863502128008	0.945303794179399	0.918099970436953	0.764751669711842	0.712410562676988	0.331540212822168	GSE189357
ARHGAP17	TJ	limma-voom	4	-0.0225684901811817	0.206491184082178	0.912968373152151	0.919869062490359	0.99101474849503	0.987306605235836	0	0	0.419151485820777	GSE189357
ARHGEF18	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
ARHGEF2	TJ	limma-voom	4	0.285095008034168	0.381606185194914	0.455007902477518	0.509232247277484	0.944785549722636	0.911060221993482	0.333973137840755	0.57848907206005	0.298732086707129	GSE189357
ARID5B	IFN	limma-voom	4	-0.750491374549489	0.530830097371944	0.157418540603545	0.252323079449478	0.941378361434338	0.87594807160056	0.910460813622689	0.829762817392969	0.27781115106704	GSE189357
ARL2	TJ	limma-voom	4	-0.665086724447746	0.195445867314902	0.000666697065947124	0.0423703078641668	0.941378361434338	0.87594807160056	0.0134928914360249	0.0824093552555246	0.43641843354442	GSE131907
ARL4A	IFN	limma-voom	4	0.306257134547594	0.210757818471691	0.146189473011965	0.242142201927817	0.941378361434338	0.87594807160056	0	0	0.505139422274816	GSE189357
ARPC1A	TJ	limma-voom	4	0.00699880064887628	0.190896176170352	0.970753818524393	0.973056984981693	0.997050700423744	0.996334455865272	0	0	0.33197935319827	GSE123902
ARPC1B	TJ	limma-voom	4	-0.519712323505586	0.390801967476633	0.183564049365817	0.275633307449709	0.941378361434338	0.87594807160056	0.311826766070573	0.522075890640102	0.343971397494062	GSE123902
ARPC2	TJ	limma-voom	4	-0.63621620975463	0.209328696254251	0.00237115417934104	0.0558974887402268	0.941378361434338	0.87594807160056	0.0615551600954456	0.352472255812144	0.316803317370732	GSE131907
ARPC3	TJ	limma-voom	4	-0.264703066174283	0.200646620447922	0.187085527282954	0.278738945023501	0.941378361434338	0.87594807160056	0	0	0.439483948579023	GSE131907
ARPC4	TJ	limma-voom	4	-0.211180341676059	0.168775408464103	0.210843039611105	0.29953225005959	0.941378361434338	0.878917658159944	0	0	0.416818454234583	GSE131907
ARPC5	TJ	limma-voom	4	-0.220808368347092	0.161524062639945	0.171615652083012	0.265040312464424	0.941378361434338	0.87594807160056	0	0	0.361821643511196	GSE189357
