model	family	estimator	n	n_q1	n_q4	n_cohorts	cohorts	n_genes	coef	logFC	se	df	p	ci_low	ci_high	excludes_gse205335	drops_sclc	luad_matched	adjusts_keratin	adjusts_leak	adjusts_malfrac	I2	p_adhoc	se_adhoc	expect	sign_matches	fdr_claim
q4q1	IFN	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.643005243383009	0.234766335677737	29	0.0104297828777943	-1.12315631208599	-0.162854174680025	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0156446743166914
q4q1	IFN	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.665139556647527	0.234867894644159	29	0.00832479290221959	-1.14549833675906	-0.184780776535992	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0124871893533294
q4q1_within_GSE123902	IFN	within	7	4	3	1	GSE123902	203	q4	-0.626043332834428	0.376090273151288	5	0.156873384780414	-1.59281415755663	0.340727491887773	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE131907	IFN	within	11	6	5	1	GSE131907	203	q4	0.146151117276299	0.377656520945953	9	0.707751818133075	-0.708167286659039	1.00046952121164	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
q4q1_within_GSE205335	IFN	within	11	5	6	1	GSE205335	203	q4	-1.62020039049203	0.400916213082025	9	0.00292312705780153	-2.52713587359746	-0.713264907386597	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE189357	IFN	within	5	3	2	1	GSE189357	203	q4	-0.239875665871888	0.246949019005515	3	0.403016403710744	-1.02577765899942	0.546026327255648	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_meta	IFN	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.559673607958417	0.369886767804738	3	0.227464163418256	-1.73681838553194	0.617471169615105	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	74.8583112600273	0.227464163418256	0.369886767804738	-1	TRUE	0.227464163418256
q4q1	MHC-I/APM	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.801714921148022	0.326478328114832	29	0.0202945653824903	-1.4694380753224	-0.133991766973642	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0202945653824903
q4q1	MHC-I/APM	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.781851676456164	0.317274468320053	29	0.0198968102495192	-1.43075082375623	-0.132952529156097	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0198968102495192
q4q1_within_GSE123902	MHC-I/APM	within	7	4	3	1	GSE123902	21	q4	-0.748145974254839	0.407536052467064	5	0.125828892052359	-1.7957507480936	0.299458799583924	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE131907	MHC-I/APM	within	11	6	5	1	GSE131907	21	q4	-0.070497814221008	0.637474645977901	9	0.914368958727711	-1.51256565072217	1.37157002228015	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE205335	MHC-I/APM	within	11	5	6	1	GSE205335	21	q4	-1.77030441306802	0.628728588333595	9	0.0201886054038943	-3.19258729262287	-0.348021533513177	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE189357	MHC-I/APM	within	5	3	2	1	GSE189357	21	q4	-0.338759294972407	0.368375884794888	3	0.425599554181678	-1.51109576849352	0.833577178548702	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_meta	MHC-I/APM	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.670885235416582	0.323862739356359	3	0.130053954436441	-1.70156101370029	0.359790542867124	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	37.0875869224333	0.130053954436441	0.323862739356359	-1	TRUE	0.195080931654661
q4q1	chemokine	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.38092157083069	0.34932087168892	29	0.000454259270508525	-2.0953629722245	-0.666480169436872	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.00136277781152557
q4q1	chemokine	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.39796869786361	0.34932684292022	29	0.000398012466664736	-2.11242231179668	-0.683515083930544	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.00119403739999421
q4q1_within_GSE123902	chemokine	within	7	4	3	1	GSE123902	14	q4	-1.16420838935544	0.669869594359676	5	0.142719203447549	-2.88616300086149	0.55774622215061	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE131907	chemokine	within	11	6	5	1	GSE131907	14	q4	-0.617925776188828	0.493829023633022	9	0.242373241280772	-1.73504463919791	0.499193086820257	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE205335	chemokine	within	11	5	6	1	GSE205335	14	q4	-2.61334519312854	0.655779458302622	9	0.0031811995963782	-4.09682139194374	-1.12986899431334	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE189357	chemokine	within	5	3	2	1	GSE189357	14	q4	-0.623630403590148	0.870582525436503	3	0.525511386259156	-3.39421254511011	2.14695173792981	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_meta	chemokine	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-1.25633063672466	0.472164849353577	3	0.0762873284825194	-2.7589699170348	0.246308643585468	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	53.6685542558041	0.0798091592523386	0.481685930869793	-1	TRUE	0.195080931654661
q4q1	STING_core	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.797182014178409	0.299899173007536	29	0.0126502411833874	-1.41054469246451	-0.183819335892313	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1	STING_core	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.802826892122152	0.288697305077352	29	0.00942574291775832	-1.39327917807018	-0.212374606174123	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE123902	STING_core	within	7	4	3	1	GSE123902	8	q4	-1.24525635519972	0.471505771558358	5	0.0459197607182895	-2.45730052696531	-0.0332121834341159	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE131907	STING_core	within	11	6	5	1	GSE131907	8	q4	0.510334383652325	0.381389930184851	9	0.213689501496486	-0.352429578734444	1.37309834603909	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
q4q1_within_GSE205335	STING_core	within	11	5	6	1	GSE205335	8	q4	-2.07695814038222	0.502064873330043	9	0.0025335633324705	-3.21270778977515	-0.941208490989287	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE189357	STING_core	within	5	3	2	1	GSE189357	8	q4	-0.220121884598782	0.284691942742762	3	0.49574221675907	-1.12613870592453	0.685894936726963	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_meta	STING_core	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	8	q4	-0.709318432837677	0.562609201252133	3	0.296527968878216	-2.49979200668115	1.08115514100579	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	85.2400853805906	0.296527968878216	0.562609201252133	-1	TRUE	NA
